LocaleIdentifier,DE
MsgTroubleshootModeIsOnAlert,"Fehlerbehebungsmodus ist AKTIV. Gehen Sie in die Manager-Einstellungen und wählen Sie 'Problemlösungsmodus Aus', um diesen zu DEAKTIVIEREN."
MsgProductName,Produktname
MsgActionCancelled,Aktion Abgebrochen
MsgWaitingForPinPad,Auf PINPad Warten
MsgPurchaseCorrection,Korrektur des Einkaufs
MsgPleaseAskCustomerToPressRedButtonOnPinPad,Bitte fragen Sie den Kunden den roten Knopf auf dem Terminal zu drücken.
MsgPaymentNotAddedToCurrentOrder,Zahlung wurde nicht mit dem aktuellen Auftrag verrechnet. \nBitte den Kundendienst kontaktieren!
MsgPaymentFailedToAddCurrentOrder,Fehler beim Verrechnen der Zahlung zur aktuellen Bestellung. Fehlercode - %d\nBitte kontaktieren Sie den Kundendienst!
MsgUnableToCompletePayment,Sie versuchen die Bestellung von %@ zu schliessen.\nBitte geben Sie den Manager-PIN ein.
MsgUnableToCompletePaymentSwipeCard,Sie versuchen die Bestellung von %@ zu schliessen.\nBitte lesen Sie eine Manager-Karte ein.
MsgUpdating,Aktualisierung
MsgLockingFuelTransaction,Locking fuel transaction
MsgReleasingLock,Verriegelung lösen
MsgPaymentRefundNotSupportedCalliZettleCustomerSupport,Rückerstattung nicht ünterstuzt. Bitte den iZettle Kundendienst kontaktieren.
MsgSyncingToCloud,Synchronisierung mit der Cloud
MsgUINotificationShowingNotificationNumberFromStack,Zeigt 1 von %d
MsgSelected,Ausgewählt
MsgPaypalPaymentMaxAmount,Maximalbetrag für Kreditkartenzahlung ist %@.
MsgPaypalTipAmountExceed,Trinkgeldbetrag darf nicht den Rechnungsbetrag übersteigen.
MsgPayPalOrderHasSplitBills,"Bestellung hat getrennte Rechnungen. Bitte, bezahlen Sie jeder Einzelrechnung getrennt."
MsgCrashTitle,Das Terminal scheint gerade abgestürzt zu sein.
MsgCrashPlaceholder,"Geben Sie bitte kurz an, was Sie vor dem Absturz gemacht haben."
MsgScalesNet,NETTO
MsgScalesMultiplyTare,Verpackungsgewicht Multiplizieren
MsgScalesSetTare,Leergewicht Setzen
MsgScalesEnterWeight,Geben Sie das Gewicht ein
MsgScalesTare,Eigengewicht
MsgScalesOverrideError,"Sie können das Gewicht nur überschreiben wenn es gleich 0,0 ist."
MsgScalesSelectTareCount,Anzahl des Verpackungsgewichtes
MsgScalesCurrentTare,Aktuelles Leergewicht
MsgScalesWeight,Gewicht
MsgScalesPrice,Preis
MsgScalesInputTare,Gewicht Eingabe 
MsgScalesEnterTareWeight,Geben Sie das Gewicht ein
MsgBarcodeScanProduct,Produkt Scannen
MsgBarcodeScanDiscountCode,Rabatt-Code Scannen
MsgBarcodeEnterBarcode,Geben Sie den Barcode ein
MsgBarcodeEnterBarcodeWithTouch,Hier berühren um den Barcode einzugeben.
MsgBarcodeProductNotFound,Produkt mit eingegebenem Barcode\n%@\nkonnte nicht gefunden werden
MsgBarcodeProductCloseMatch,Keine Übereinstimmung gefunden. Ähnliche Barcodes:
MsgBarcodeTheExactMatchesFound,Gefundene Übereinstimmungen:
MsgBarcodeSeveralProductsOrIngredientsWereFound,Diese Produkte und Zutaten wurden gefunden:
MsgBarcodeSelectProduct,Wählen Sie ein Produkt
MsgBarcodeNameorBarcode,Name oder Barcode
MsgBarcodeNameorBarcodePhone,Name/Barcode
MsgBarcodeProductNotActive,Produkt mit eingegebenem Barcode\n%@\nist nicht aktiv
MsgMeasureUnitPounds,Pfund
MsgMeasureUnitKilograms,Kilogram
MsgMeasureUnitLiters,Liter
MsgMeasureUnitGallons,Gallons
MsgMeasureUnitCubicMeters,Kubikmeter
MsgMeasureUnitShortPounds,Lb
MsgMeasureUnitShortKilograms,Kg
MsgMeasureUnitShortLiters,L
MsgMeasureUnitShortGallons,G
MsgMeasureUnitShortCubicMeters,m3
BtnPayTransaction,Transaktion bezahlen
BtnClearTransaction,Transaktion löschen
BtnStackTransaction,Transaktion stapeln
BtnOrderFastCreditShell,Fast\nCredit
BtnOrderFastCashShell,Fast\nCash
BtnGasStationActionBlockPump,Pumpe\n blockieren
BtnGasStationActionUnblockPump,Pumpe\n freigeben
BtnGasStationActionTogglePumpLights,Pumpenlampe\n schalten
BtnGasStationActionStopAllPumps,Alle\nPumpen stoppen
BtnGasStationActionStopPump,Pumpe\n stoppen
BtnGasStationActionReservePump,Pumpe\n reservieren
BtnGasStationActionPrePay,Pre-Pay
BtnGasStationActionCancelReservePump,Reservierung stornieren
BtnGasStationActionAuthorizePump,Pumpe erlauben
BtnGasStationActionCancelAuthorizePump,Erlaubnis\nabbrechen
BtnGasStationActionPausePump,Abgabe\npausieren
BtnGasStationActionResumePump,Abgabe\nwieder aufnehmen
BtnGasStationForecourtConnectionLost,Verbindung mit dem Vorplatz verloren. Verbindung wiederherstellen
BtnGasStationForecourtConnected,Vorplatz verbunden
BtnGasStationFuelling,Auffüllen
MsgGasStationChooseTransactionToWork,Transaktion verwalten:
MsgLockedBy,Blockiert von
MsgReservedBy,Reserviert von
MsgConfirmation,Bestättigung
LblGasStationCurrentTransaction,(Jetziges)
LblGasStationStackTransaction,(Aufgestapelt)
MsgGasStationTransactionInfo,Zahlung INFO:\n\nZahlung #%d\nPumpennummer %d\nzu bezahlen: %@\nMenge: %.2f
MsgGasStationDriveOffTitle,Aufmerksamkeit notwendig für %@
MsgGasStationAttentionRequiredMessage,%@ %.2f %@ / %@ \nDiese Bezahlung am %@ ist nicht bezahlt.\nBitte leiten Sie die erforderlichen Schritte ein.
MsgGasStationDeliveryNotPaid,Lieferung nicht bezahlt.
MsgGasStationRefundTitle,Bitte rückerstatten
MsgGasStationNeedRefund,Rückerstattung notwendig
MsgGasStationNeedClear,Löschung notwendig
MsgGasStationCantHoldTransaction,Kann die Transaktion nicht länger halten. Transaktion umfasst Kraftstoffprodukte.
MsgGasStationCantRemoveTransaction,Kann diese Zahlung nicht löschen. Zahlung umfasst Kraftstoffprodukte.
MsgGasStationStopPumpConfirmation,Möchten Sie wirklich Pumpe %@ stoppen?
MsgGasStationStopAllPumpsConfirmation,Möchten Sie wirklich ALLE Pumpen stoppen?
MsgGasStationConfirmationTitle,Bestätigung:
MsgGasStationCantAddFuelProductHoseBlocked,Kann Kraftstoffprodukt der Transaktion nicht hinzufügen. Der Schlauch ist blockiert
MsgGasStationRefundPrompt,"Kunde bezahlte %@, bekam aber Kraftstoffprodukte nur für %@\nMöchten Sie rückerstatten? %@?"
MsgGasStationTransactionClearPrompt,Transaktion ist beendet aber nicht beglichen.\nMöchten Sie diese begleichen?
MsgGasStationTransactionLockedByTermId,ACHTUNG:\nDiese Transaktion ist gesperrt von Terminal mit ID
MsgGasStationFuelTransactionIsAlreadyInTheOrderCloseCurrent,"Kraftstoffsteuer Nr.%d wurde bereits in Transaktion Nr. %@ bezahlt. Bitte schließen Sie die derzeitige Transaktion, um eine zurückliegende zu öffnen."
MsgGasStationFuelTransactionIsAlreadyInTheOrder,Kraftstoffsteuer Nr.%d wurde bereits in Transaktion Nr. %@ bezahlt.
MsgGasStationFuelGrade,Kraftstoffklasse
MsgGasStationDueAmount,Fälliger Betrag
MsgGasStationVolume,Menge
MsgGasStationFuelTransactionNotFound,Kann Transaktion mit ID %d am %@ nicht finden.
MsgGasStationCanNotLogOutFromEnabler,Abmeldung vom Enabler EMB \n nicht möglich. Bitte versuchen Sie es erneut.
MsgGasStationChooseFuelGradeAndAmount,Bitte nehmen Sie Kraftstoffklasse und Betrag
MsgGasStationForecourtUpdatedRefreshRequired,Vorplatz Kontroller wurde aktualisiert. Bitte verbinden Sie dieses Terminal wieder mit dem Vorplatz.
MsgGasStationNumberOfPumpsHasBeenChanged,Vorplatz Konfiguration wurde aktualisiert. Anzahl der Pumpen wurde geändert.
MsgGasStationErrorForecourtIPisNotSet,Vorplatz Kontrollgerät IP addresse ist nicht eingestellt.\nBitte prüfen Sie die Einstellungen die Management-Konsole.
PaymentPumpTest,Pump Test
MsgGasStationPumpTest,Pump Test - %@
MsgGasStationPumpTestConfirmationMessage,"Target Tank ist nicht gleich wie der Source Tank.\nSind Sie sicher, dass Sie den Kraftstoff in dem anderen Tank zurückgeben möchten?\n\nSource: %@\n\nTarget: %@"
MsgGasStationPumpTestErrorCantProcess,"Bitte, bestellen Sie nur eine Kraftstoffprodukt, um Pumpen-Test durchzuführen."
MsgGasStationPump,Pumpe
MsgGasStationHose,Schlauch
MsgGasStationSourceTank,Source Tank
MsgGasStationTargetTank,Target Tank
MsgGasStationTestAmount,Fälliger Betrag
MsgGasStationClearTypeNormal,Normal
MsgGasStationClearTypeTest,Test
MsgGasStationClearTypeDriveOff,Abfahrt
MsgGasStationClearTypeAttendant,Angestellter
MsgGasStationAuthorizePromptTitle,%@ erlauben?
MsgGasStationCantAuthorizePump,Kann %@ nicht erlauben. Die Pumpe ist blockiert.
MsgGasStationCantManagePump,Kann %@ nicht verwalten. Diese Pumpe wurde reserviert vom Terminal mit der ID %d.
MsgGasStationPumpAskingAuthorization,Die Pumpe bittet um Erlaubnis. Möchten Sie %@ erlauben?
MsgGasStationTransaction#,Transaktionsnr.
MsgGasStationTxn#,St.Nr.
BtnGasStationCancelTransaction,Transaktion abbrechen
BtnGasStationCloseTransaction,Transaktion schliessen
BtnGasStationHoldTransaction,Transaktion halten
BtnGasStationHeaderOrders,Bestellungen
BtnPinLogin,Test
BtnPinClockIn,Anmelden
BtnPinClockOut,Abmelden
BtnPinRefresh,Aktualisieren
BtnPinClear,Löschen
BtnSwipeLogin,Login durch Kartenleser
BtnPinReset,Zurücksetzen
MsgClockOutBreak,Pause
BtnEndBreak,Ende der Pause
MsgOrdersReportWarningOpenUnsyncedOrders,Sie haben offene und/oder nicht synchronisierte Aufträge:
MsgOrdersReportWarningCloseOrders,Bitte schließen und synchronisieren Sie zuerst Ihre Aufträge oder geben Sie den Manager-PIN ein um sich abzumelden.
MsgLengthOfBreak,Länge der Pause
BtnManagerOverride,Manager\nGehnemigung
BtnClockInAsRole,Anmelden als\n%@
MsgPaidBreak,Bezahlte Pause
MsgUnpaidBreak,Unbezahlte Pause
MsgTakeABreak,Nehmen Sie Pause 
MsgPinDataNotDownloaded,Menüdaten wurden nicht vom Server heruntergeladen.
MsgPinRefreshDataTitle,POS aktualisieren
MsgPinRefreshDataContent,Die Aktualisierung kann länger dauern und sollte nur bei Änderungen im Backend vorgenommen werden. Wollen Sie fortfahren?
MsgPinUserNotLocked,Diesem Benutzer ist der Zugriff auf dem Terminal nicht erlaubt.
MsgPinUserIdIsNotAssigned,Benutzer-ID ist nicht zugewiesen. \n Bitte aktualisieren Sie die POS Station
MsgPinUnableToAccessPos,Zugang zum POS fehlgeschlagen.
MsgUserRequireAdminCardSwipe,"Dieser Benutzer muss eine Admin-Karte verwenden, um sich anzumelden."
MsgPinInvalidPin,Sie haben eine ungültige PIN. \nBitte versuchen Sie es erneut.
MsgPinPOSNotSet,Keine Filiale oder POS-Station eingestellt! \n\nBitte aktualisieren!
MsgPinVersion,Version: %@\nMAC Adresse für dieses Gerät:\n%@
MsgPinSelectStation,Wählen Sie eine Station
MsgPinPleaseSelectStation,Station wählen
MsgPinResetConfirm,Alle Daten löschen und die Anwendung zurücksetzen?
MsgPinSentToEmail,Ihre PIN wurde an %@ versendet.
MsgPinPleaseUsePinToLogin,Bitte benutzen Sie “1234” als PIN um sich in der Revel POS App einzuloggen.
MsgPinInvalidIdentification,Ihre POS-Station '%@' ID %@ stimmt nicht mit den Backend-Einstellungen überein.
MsgPinInvalidIPAddress,Die IP-Adresse der POS Station '%@' stimmt nicht mit den Backend-Einstellungen überein.
MsgPinIdentificationUpdateSuccess,POS-Station '%@' ID erfolgreich aktualisiert. Bitte aktualisieren Sie alle Stationen.
MsgPinIdentificationUpdateFail,Fehler beim Aktualisieren der POS-Station '%@' ID.
MsgPinIPAddressUpdateSuccess,IP-Adresse der POS-Station '%@' erfolgreich aktualisiert. Bitte aktualisieren Sie alle Stationen.
MsgPinIPAddressUpdateFail,Fehler beim Aktualisieren der IP-Adresse der POS-Station '%@'.
MsgPinInvalidSettingsTitle,Ihre Einstellungen stimmen nicht überein.
MsgPinInvalidLoginMethod,Bitte loggen Sie sich über das Kartenlesegerät ein. Manuelle Eingabe wird nicht unterstützt.
MsgPinRedirectedPrintersInfo,Sie haben %d umgeleitete Drucker.
MsgUserRequireAdminCard,"Dieser Benutzer muss eine Admin-Karte verwenden, um %@."
MsgProvisionEnterPin,Bereitgestellten PIN Eingeben
MsgProvisionPin,Bereitstellungs-PIN
MsgUseProvisionPin,Provision PIN benutzen
MsgDiningTitle,Restaurants
MsgDiningOrderOptionTitle,Bestelloption
MsgDiningEatInOrTakeOut,Im Restaurant essen oder Zum Mitnehmen?
MsgDiningTakeOut,Zum Mitnehmen
MsgDiningWebOrder,Online-Bestellung
MsgDiningWebInvoice,Web-Rechnung
MsgDiningCatering,Catering
MsgDiningDriveThrough,Drive Through
MsgDiningShipping,Versand
MsgDiningOther,Andere
MsgDiningRetail,Einzelhandel
MsgDiscountTitle,Rabatt
MsgDiscountSelectItemTitle,Wählen Sie einen Artikel für den Rabatt
MsgDiscountSelectDiscount,Wählen Sie den Rabatt
MsgDiscountCreateOrderFirst,Bitte erstellen Sie zuerst die Bestellung.
MsgDiscountItemAmountTooSmall,Der Artikel hat nicht den Mindestwert für den Rabatt.
MsgDiscountAmount,Betrag
MsgDiscountValue,Wert
MsgDiscountAmountOff,Betrag abgezogen
MsgDiscountPercent,Prozent
MsgDiscountReprice,Neuen Preis zuweisen
MsgDiscountAltPrice,AltPreis
MsgDiscountEnterAmount,Betrag Eingeben
MsgDiscountEnterValue,Wert eingeben
MsgDiscountTaxed,Besteuert
MsgDiscountEnterReason,Geben Sie einen Grund an
MsgDiscountEnterReasonAndAmount,Bitte geben Sie sowohl einen Grund als auch einen Betrag an.
MsgDiscountEnterAnotherReason,Bitte geben Sie einen anderen Rabattgrund ein.
MsgDiscountNoDiscountsForCode,Keine aktiven Rabatte für den angegebenen Rabatt-Code gefunden.
MsgDiscountLoaylTreeWait,Warten auf LoyalTree Antwort...
MsgDiscountLoaylTreeTitle,LoyalTree
MsgDiscountLoaylTreeReset,"Um diesen Rabatt anzuwenden, müssen Sie zuerst die LoyalTree Prämien entfernen."
MsgDiscountRegularPrice,Regulärer Preis
MsgDiscountSavingValue,Gespart
MsgDiscountType,Rabatt-Art
MsgNoDiscountsToApply,Es gelten keine Rabatte.
MsgDiscountENTCardAmountHasBeenReturned,ENT Betrag wurde der Karte zurückerstattet
MsgDiscountENTCardDoesntBelongToAnyUser,Ungültige Karte. Diese Karte ist keinem Kunden zugeordnet.
MsgDiscountENTCardDoesntBelongToCurrentUser,Ungültige Karte. Diese Karte gehört nicht %@
MsgDiscountENTCardTipWontBeAppliedForENT,Trinkgeld kann nicht mit ENT Karten bezahlt werden.
MsgDiscountENTCardDisabled,"Bitte, aktivieren Sie ENT Karten in der Management-Konsole um fortzufahren."
MsgPleaseRemoveOrderDiscountToProceedENTCard,"Bitte, entfernen Sie dem Bestellungsrabatt um die ENT Karte zu prozessiren"
MsgDiscountENTCardCantApplyToPartiallyPaid,ENT Karte kann nicht für eine teilbezahlte Rechnung genutzt werden
MsgDiscountENTNotSupported,ENT-Karten sind im aktuellen POS-Modus nicht unterstützt
MsgDiscountENTCardCantUpdate,Saldo der EBT-Karte kann nicht aktualisiert werden
MsgStoreCreditCardCantUpdate,Saldo der EBT-Karte kann nicht aktualisiert werden
BtnDiscountScan,Scannen
BtnDiscountPart,% Rabatt
BtnDiscountNoDiscount,Kein Rabatt
BtnApplyDiscounts,Rabatte Anwenden
MsgChoosePrevailingTaxes,Maßgebliche Steuern auswählen
MsgTitleSelectTaxExeptionReason,Wählen Sie den Grund für die Steuerbefreiung aus
MsgTaxExemptionReasonPaidWithEBT,Bezahlt mit EBT
MsgTaxExemptionReasonColdItem,Kalter Artikel zum Mitnehmen
MsgTaxExemptionReasonColdItemDelivery,Kalter Artikel zum Liefern
MsgTaxExemptionReasonTaxFreeCustomer,Steuerfreier Kunde
MsgTaxExemptionReasonZeroTaxRate,Steuertarif Null
MsgServiceFeeTitle,Service-Gebühr
MsgServiceFeeAmountOff,Betrag hinzugefügt
MsgServiceFeeAmount,Betrag
MsgServiceFeeEnterAmount,Betrag Eingeben
MsgServiceFeeEnterReason,Geben Sie einen Grund an
MsgServiceFeePercent,Prozent
MsgServiceFeeTaxed,Besteuert
MsgServiceFeePostTax,Nach Abzug der Steuer
MsgServiceFeeEnterReasonAndAmount,Bitte geben Sie sowohl einen Grund als auch einen Betrag an.
MsgServiceFeePleaseEnterPositiveServiceFeeValue,Bitte geben Sie einen positiven Wert ein.
BtnServiceFeesTitle,Service-Gebühr
BtnServiceFeesNoServiceFee,Keine Service-Gebühr
MsgServiceFeeWrongName,Eine Service-Gebühr mit demselben Namen besteht bereits. Bitte benennen Sie diese Gebühr um oder wenden eine andere Gebühr an.
MsgServiceFeeAlreadyHasServiceFees,Dieser Auftrag beinhaltet bereits Service- Gebühr(en). \n Bitte ziehen Sie die Gebühren in die Bestellung für die sie angewendet werden sollen.
MsgServiceFeeAdded,Eine Service-Gebühr von %@\nwurde für Zahlung %@ hinzugefügt.
MsgBalanceDue,Offener Betrag
MsgServiceFee,Service-Gebühr
MsgServiceFeeCardType,Service-Gebühr - Kartentyp
MsgServiceFeeChooseCardType,Bitte wählen Sie untenstehend den Kartentyp.
MsgNoFee,Keine Gebühr
MsgServiceFeeForCreditPayments,Es gibt es eine Service-Gebühr für Kreditkarten-Zahlungen.
MsgOldTotal,Alte Gesamtsumme
MsgNewTotal,Neue Gesamtsumme
MsgOrderFieldName,Name
MsgOrderFieldQty,Menge
MsgOrderFieldEach,Jeweils
MsgOrderFieldTotal,Summe
MsgOrderTotalsDiscount,Rabatte insgesamt:
MsgOrderTotalsSubtotal,Teilsaldo:
MsgOrderTotalsSubtotal2,Teilsaldo:
MsgOrderTotalsSurcharge,Zuschlag:
MsgOrderTotalsTax,Steuer:
MsgOrderTotalsTotal,SUMME
MsgOrderTotalsTotal2,Summe:
MsgOrderTotalsDue,Offener Betrag:
MsgOrderInvoiceTitle,Rechnung
MsgOrderInvoiceErrorNoCustomer,Kein Kunde
BtnOrderCancelInvoice,Rechnung Stornieren
BtnOrderOpenInvoice,Rechnung Öffnen
BtnOrderSendInvoice,Rechnung Versenden
BtnOrderHoldInvoice,Rechnung Festhalten
BtnOrderCloseInvoice,Rechnung Schließen
BtnOrderResetMenu,Menü Zurücksetzen
BtnOrderBackMenu,Zurück
BtnOrderPay,Bezahlen
BtnOrderPayAgain,Erneut Bezahlen
BtnOrderSetGuestCount,Gast\nAnzahl
BtnOrderDeliveryClockOut,Fahrer\nAbmelden
BtnOrderDeliveryClockIn,Fahrer\nAnmelden
BtnOrderAddGratuity,Gratifikation\nHinzufügen
BtnOrderRemoveGratuity,Gratifikation\nEntfernen
BtnOrderAutoGratuity,Auto\nGratifikation
BtnOrderFastCredit,Quick Kredit
BtnOrderFastCash,Quick Bargeld
BtnOrderAddExtraItem,Extra Artikel\nHinzufügen
BtnOrderDonate,Spenden
BtnOrderDiscountOrder,Rabatt\nBestellung
BtnOrderDiningOption,Restaurant\nOption
BtnOrderOrderOption,Bestellung\nOption
BtnOrderPrintGuestCheck,Drucken\nKundenbeleg
BtnOrderEnterBarcode,Eingeben\nBarcode
BtnOrderOpenCashDrawer,Kassenlade\nÖffnen
BtnOrderMoveTable,Verschieben\nTisch
BtnOrderTransferOwner,Übertragen\nEigentümer
BtnOrderRemoveTax,Entfernen\nSteuer
BtnOrderAddTax,Hinzufügen\nSteuer
BtnOrderSetTax,Einstellen\nSteuer
BtnOrderAttachCard,Verknüpfen Karte\nmit Bestellung
BtnOrderAttachOtherCard,Verknüpfen Andere\nKarte
BtnUseShipping,Verschicken
BtnOrderScanCoupon,Coupon\nScannen
BtnFindLinkedOrder,Finde verknüpfte\nBestellungen
BtnOrderPrintInvoice,Rechnung\nDrucken
BtnOrderSendToKitchen,An Küche\nVersenden
BtnOrderNextBill,Bargeld Aufrunden
BtnOrderAddStoreCredit,Guthaben speichern
BtnInclude,Zufügen
BtnView,Ansicht
MsgOrderPaidSplitNotAllowed,Bestellung wurde in vollem Umfang bezahlt. Es gibt nichts aufzuteilen.
MsgOrderProductAdded,Artikel hinzugefügt
MsgOrderAddProducts,Artikel hinzfügen
MsgOrderSpeakCancelOrderConfirm,Wollen Sie wirklich die Bestellung stornieren
MsgOrderSpeakCancelInvoiceConfirm,"Sind Sie sicher, dass Sie die Rechnung stornieren möchten?"
BtnPinAccessibilityOn,Zugriff Aktiviert
BtnPinAccessibilityOff,Zugriff Deaktiviert
MsgPinAccessibilityModeIsUnavailable,Zugangsmodus ist nicht verfügbar
MsgOrderClockIn,Anmelden
MsgOrderClockOut,Abmelden
MsgOrderPaidBreak,Bezahlte Pause
MsgOrderUnPaidBreak,Unbezahlte Pause
MsgOrderGoOnBreak,In die Pause gehen
MsgOrderDeliveryTrackingDate,Datum & Zeit
MsgOrderDeliveryTrackingEmployee,Mitarbeiter
MsgOrderDeliveryTrackingEmployeeClockOut,Abmelde-Zeit: %@
MsgOrderDeliveryTrackingInvalidClockInTime,Das Anmelden muss nach dem Abmelden liegen.
MsgOrderItemShare,Teilen
MsgOrderItemSplitWithSeat,Teilen mit Platz %d
MsgOrderItemDiscount,Rabatt
MsgOrderItemNoCourseWithDate,***** Kein Gang %@*****
MsgOrderItemCourseWithDate,***** Gang %d%@ *****
MsgOrderItemSeat,Platz %d
MsgOrderItemS,S%d
MsgOrderItemLayaway,**Zurücklegen**
MsgOrderItemVoided,Storniert
MsgOrderItemComps,Gratis
MsgOrderItemReturned,Retouren
MsgOrderGratuityNonEditableHasPayments,Dieser Auftrag hat Zahlungen. Sie können keine Gratifikation hinzufügen oder entfernen.
MsgOrderGratuityFullAmountAllowed,"Nur vollständige Zahlungen werden unterstützt, wenn die Bestellung eine Gratifikation beinhaltet."
MsgOrderCategory,KATEGORIE
MsgOrderSubCategory,UNTERKATEGORIE
MsgOrderProducts,PRODUKTE
MsgOrderTopMenu,Haupt Menü
MsgOrderNoTipsTitle,Kein Trinkgeld
MsgOrderNoTips,Dieser Auftrag hat keine Punkte.
