LocaleIdentifier,FR
MsgOrderTotalsDue,Solde dû:
MsgOrderInvoiceTitle,Facture
MsgOrderInvoiceErrorNoCustomer,Aucun client
BtnOrderCancelInvoice,Annuler la facture
BtnOrderOpenInvoice,Ouvrir la facture
BtnOrderSendInvoice,Envoyer la facture
BtnOrderHoldInvoice,Suspendre la facture
BtnOrderCloseInvoice,Fermer la facture
BtnOrderResetMenu,Réinitialiser le menu
BtnOrderBackMenu,Retour
BtnOrderPay,Payer
BtnOrderPayAgain,Payer une nouvelle fois
BtnOrderSetGuestCount,Nombre\ndes clients
BtnOrderDeliveryClockOut,Pointage au départ\ndu conducteur
BtnOrderDeliveryClockIn,Pointage à l’arrivée\ndu conducteur
BtnOrderAddGratuity,Ajouter\nun pourboire
BtnOrderRemoveGratuity,Retirer\nle pourboire
BtnOrderAutoGratuity,Pourboire\n automatique
BtnOrderFastCredit,Sélection rapide de crédit
BtnOrderFastCash,Sélection rapide d’espèces
BtnOrderAddExtraItem,Ajouter\nun produit supplémentaire
BtnOrderDonate,Faire un don
BtnOrderDiscountOrder,Commande\nà prix réduit
BtnOrderDiningOption,Option\nde restauration
BtnOrderOrderOption,Option\nde commande
BtnOrderPrintGuestCheck,Imprimer\nReçu du client
BtnOrderEnterBarcode,Saisir\n le code-barres
BtnOrderOpenCashDrawer,Ouvrir\nle tiroir-caisse
BtnOrderMoveTable,Déplacer\nla table
BtnOrderTransferOwner,Transférer\nle titulaire
BtnOrderRemoveTax,Retirer\nla taxe
BtnOrderAddTax,Ajouter\nune taxe
BtnOrderSetTax,Définir\nla taxe
BtnOrderAttachCard,Associer la carte\nà la commande
BtnOrderAttachOtherCard,Associer une autre\ncarte
BtnUseShipping,Expédier
BtnOrderScanCoupon,Scanner\nle coupon
BtnFindLinkedOrder,Trouver des commandes\nliées
BtnOrderPrintInvoice,Imprimer\nla facture
BtnOrderSendToKitchen,Envoyer en\ncuisine
BtnOrderNextBill,Espèces arrondies
BtnOrderAddStoreCredit,Avoir
BtnInclude,Inclure
BtnView,Afficher
MsgOrderPaidSplitNotAllowed,La commande a été payée dans son intégralité. Il n’y a rien à diviser.
MsgOrderProductAdded,Produit ajouté
MsgOrderAddProducts,Ajouter des produits
MsgOrderSpeakCancelOrderConfirm,Voulez-vous vraiment annuler la commande ?
MsgOrderSpeakCancelInvoiceConfirm,Vous êtes sûr de vouloir annuler la facture?
BtnPinAccessibilityOn,Accessibilité activée
BtnPinAccessibilityOff,Accessibilité désactivée
MsgPinAccessibilityModeIsUnavailable,Le mode Accessibilité est indisponible car ce terminal est équipé d’un scanner Bluetooth.
MsgOrderClockIn,Pointer à l’arrivée
MsgOrderClockOut,Pointer au départ
MsgOrderPaidBreak,Pause rémunérée
MsgOrderUnPaidBreak,Pause non rémunérée
MsgOrderGoOnBreak,Aller sur Pause
MsgOrderDeliveryTrackingDate,Date et heure
MsgOrderDeliveryTrackingEmployee,Employé
MsgOrderDeliveryTrackingEmployeeClockOut,Pointage au départ : %@
MsgOrderDeliveryTrackingInvalidClockInTime,L’heure de pointage à l’arrivée doit se trouver après l’heure de pointage au départ.
MsgOrderItemShare,Partager
MsgOrderItemSplitWithSeat,Partager avec la place %d
MsgOrderItemDiscount,Réduction
MsgOrderItemNoCourseWithDate,**** Aucun plat%@ ****
MsgOrderItemCourseWithDate,***** Plat %d%@ *****
MsgOrderItemSeat,Place %d
MsgOrderItemS,S %d
MsgOrderItemLayaway,**Mettre de côté**
MsgOrderItemVoided,Annulé
MsgOrderItemComps,Gratuit
MsgOrderItemReturned,Retourné
MsgOrderGratuityNonEditableHasPayments,Cette commande a des paiements. Vous ne pouvez pas ajouter ou supprimer un pourboire.
MsgOrderGratuityFullAmountAllowed,Seuls les paiements complets sont pris en charge quand la commande inclut un pourboire.
MsgOrderCategory,CATÉGORIE
MsgOrderSubCategory,SOUS-CATÉGORIE
MsgOrderProducts,PRODUITS
MsgOrderTopMenu,MENU
MsgOrderNoTipsTitle,Aucun pourboire
MsgOrderNoTips,Cette commande n’a pas de points.
MsgOrderNoTipsForBill,Certaines additions n’ont pas de pourboire. Laisser la commande ouverte?
BtnLeaveTip,Pourboires LevelUp
BtnCloseOrder,Fermer la commande
MsgOrderRefundExtraAmount,Remboursez le solde en trop avant la clôture.
MsgOrderPayRemainingAmount,Impossible de fermer la commande. Payez le solde restant.
MsgOrderNoItemsForNextCourse,Le prochain plat n’a pas de produits.
MsgOrderEnterPrice,Saisir le prix
MsgOrderSelectSeat,Sélectionner une place
MsgOrderSelectSeatPlease,Sélectionner le nombre de clients.
MsgOrderSeatWithNumber,Place %d
MsgOrderSetSeat,Saisir le numéro de la place
MsgOrderSetGuestCount,Saisir le nombre de clients
MsgOrderSeat,Place
MsgOrderSeats,Places
MsgOrderGuest,Client
MsgOrderGuests,Clients
MsgOrderSelectCourse,Sélectionner un plat
MsgOrderCourseWithNumber,Plat %d
MsgOrderTableCantMoveIsUnsynced,Le déplacement est impossible car la commande de destination n’est pas synchronisée avec le TPV principal.
MsgOrderSplitBillsClear,Les additions divisées seront supprimées. Voulez-vous vraiment continuer?
MsgOrderSplitBillsNumberExceeded,15 additions divisées au maximum seront pris en charge.
MsgOrderSmallAmountForSplitting,Le montant de chaque addition divisée doit être supérieur à %.2f.
MsgOrderAddExtraItemTitle,Produit supplémentaire
MsgOrderAddExtraItemName,Nom
MsgOrderAddExtraItemPrice,Prix
MsgOrderAddExtraItemPricePerUnit,P.U.
MsgOrderAddExtraItemTax,Taxe
BtnOrderAddExtraItemWeight,Poids
BtnOrderAddExtraEnterName,Veuillez saisir le nom du produits
BtnOrderAddExtraEnterPrice,Saisissez le prix avant d’activer la balance
MsgOrderAddExtraItemSelectName,Sélectionner un nom
MsgOrderAddExtraItemSelectNameTax,Taxe: %.1f%%
MsgOrderAddExtraItemSaveToServer,Enregistrer sur le serveur
MsgOrderAddExtraItemTaxFreeItem,Exempt de taxe
MsgOrderAddExtraItemWeightedItem,Produit pesé
MsgOrderAddExtraItemEmbeddedItem,Produit avec prix intégré
MsgOrderAddExtraItemSaving,Enregistrement
MsgOrderAddExtraItemSavingFailed,Le produit n’a pas été enregistré sur le serveur et sera stocké en local.
