LocaleIdentifier,IT
MsgLockedBy,Bloccato da
MsgReservedBy,Riservato da
MsgConfirmation,Confermazione
LblGasStationCurrentTransaction, (Corrente)
LblGasStationStackTransaction, (Impilati)
MsgGasStationTransactionInfo,DETAGLI TRANSAZIONE:\n\nTransazione #%d\nNumero distributore: %d\nImporto dovuto: %@\nQuantità: %.2f
MsgGasStationDriveOffTitle,Attenzione richiesta per %@
MsgGasStationAttentionRequiredMessage,Attenzione!\n%@ %.2f %@ / %@ \nQuesta transazione su %@ non è stata pagata.
MsgGasStationDeliveryNotPaid,Distribuzione non pagata
MsgGasStationRefundTitle,Si prega di rimborsare
MsgGasStationNeedRefund,Bisogna rimborsare
MsgGasStationNeedClear,Bisogna cancellare
MsgGasStationCantHoldTransaction,Non è possibile tenere in sospeso la transazione. La transazione include prodotti carburanti.
MsgGasStationCantRemoveTransaction,Non è possibile cancellare la transazione. La transazione include prodotti carburanti.
MsgGasStationStopPumpConfirmation,Desideri arrestare il distributore %@?
MsgGasStationStopAllPumpsConfirmation,Desideri arrestare TUTTI i distributori?
MsgGasStationConfirmationTitle,Conferma:
MsgGasStationCantAddFuelProductHoseBlocked,Non è possibile aggiungere carburante alla transazione. Il tubo è bloccato
MsgGasStationRefundPrompt,"Il cliente ha pagato %@, ma ha preso solo %@ di carburante\nVuole rimborsare %@?"
MsgGasStationTransactionClearPrompt,"Transaction has finished, but did't clear.\nWould you like to clear it?"
MsgGasStationTransactionLockedByTermId,WARNING:\nThis transaction has locked by terminal with Id
MsgGasStationFuelTransactionIsAlreadyInTheOrderCloseCurrent,Trans. n.%d di carburante è già stata pagata nella transazione #%@. Chiudi la transazione attuale per aprire una transazione precedente.
MsgGasStationFuelTransactionIsAlreadyInTheOrder,Trans. n.%d di carburante è già stata pagata nella transazione #%@.
MsgGasStationFuelGrade,Grado del carburante
MsgGasStationDueAmount,Importo dovuto
MsgGasStationVolume,Quantità
MsgGasStationFuelTransactionNotFound,Impossibile trovare transazione carburante con ID %d su %@
MsgGasStationCanNotLogOutFromEnabler,Non è possibile uscire dal facilitatore EMB.\nRiprovare.
MsgGasStationChooseFuelGradeAndAmount,Scegli il grado del carburante e quantità
MsgGasStationForecourtUpdatedRefreshRequired,Controllore del piazzale e stato aggiornato. Riconneti questo terminale al piazzale.
MsgGasStationNumberOfPumpsHasBeenChanged,La configurazione dell’area di rifornimento è stata aggiornata. Numero dei distributori era modificato.
MsgGasStationErrorForecourtIPisNotSet,L’indirizzo IP di controllore del piazzale non impostato.\nControlla impostazioni del backend.
PaymentPumpTest,Controllo distributore
MsgGasStationPumpTest,Controllo distributore - %@
MsgGasStationPumpTestConfirmationMessage,La cisterna di obiettivo è diversa di quella di origine.\nVuoi restituire carburante alla cisterna diversa?\n\nCist.orig.: %@\n\nCist.obie.: %@
MsgGasStationPumpTestErrorCantProcess,Per trattare la transazione come controllo del distributore aggiungi un solo articolo alla transazione.
MsgGasStationPump,Distributore
MsgGasStationHose,Tubo
MsgGasStationSourceTank,Cisterna di origine
MsgGasStationTargetTank,Cisterna di obiettivo
MsgGasStationTestAmount,Importo dovuto
MsgGasStationClearTypeNormal,Normale
MsgGasStationClearTypeTest,Test
MsgGasStationClearTypeDriveOff,Vendita non pagata
MsgGasStationClearTypeAttendant,Attendant
MsgGasStationAuthorizePromptTitle,Autorizzare %@?
MsgGasStationCantAuthorizePump,Non è possibile autorizzare %@. Il distributore è bloccato.
MsgGasStationCantManagePump,Non è possibile gestire %@. Questa pompa ha prenotato mediante terminale con id %d.
MsgGasStationPumpAskingAuthorization,Il distributore richiede l’autorizzazione. Desideri autorizzare %@?
MsgGasStationTransaction#,Transazione n.
MsgGasStationTxn#,Trans. n.
BtnGasStationCancelTransaction,Anulla transazione
BtnGasStationCloseTransaction,Chiudi transazione
BtnGasStationHoldTransaction,Tenere transazione
BtnGasStationHeaderOrders,TRANSAZIONI
BtnPinLogin,Accedi
BtnPinClockIn,Clock-in
BtnPinClockOut,Clock-out
BtnPinRefresh,Aggiorna
BtnPinClear,Cancella
BtnSwipeLogin,Striscia la carta per accedere
BtnPinReset,Ripristina
MsgClockOutBreak,Pausa
BtnEndBreak,Fine pausa
MsgOrdersReportWarningOpenUnsyncedOrders,Hai degli ordini aperti e/o non sincronizzati:
MsgOrdersReportWarningCloseOrders,"Chiudi i tuoi ordini ed attendi la sincronizzazione, oppure inserisci un PIN amministratore per completare il clock-out."
MsgLengthOfBreak,Lunghezza di pausa
BtnManagerOverride,Modifica\nManager
BtnClockInAsRole,Esegui il clock-in come \n%@
MsgPaidBreak,Pausa pagata
MsgUnpaidBreak,Pausa non pagata
MsgTakeABreak,Fai una pausa
MsgPinDataNotDownloaded,I dati del menu non sono stati scaricati dal server.
MsgPinRefreshDataTitle,Aggiorna il POS
MsgPinRefreshDataContent,L’aggiornamento del POS potrebbe richiedere alcuni minuti e deve essere eseguito soltanto se il backend è stato modificato. Procedere?
MsgPinUserNotLocked,Utente non è collegato a questo POS.
MsgPinUserIdIsNotAssigned,ID utente non assegnato.\nAggiornare il POS
MsgPinUnableToAccessPos,Non è possibile accedere al POS.
MsgUserRequireAdminCardSwipe,L’utente deve usare una carta amministratore per accedere.
MsgPinInvalidPin,Hai inserito un PIN non valido. \nRiprova.
MsgPinPOSNotSet,Nessun punto vendita o POS impostato! \n\nBisogna aggiornare.
MsgPinVersion,Versione: %@\nIndirizzo MAC del dispositivo: \n %@
MsgPinSelectStation,Seleziona una stazione
MsgPinPleaseSelectStation,Seleziona una stazione
MsgPinResetConfirm,Cancella tutti i dati e ripristinare l’applicazione?
MsgPinSentToEmail,Il PIN è stato inviato a %@.
MsgPinPleaseUsePinToLogin,Inserisci 1234 per accedere al POS app dei sistemi Revel.
MsgPinInvalidIdentification,L’impostazioni del POS  %@ ID %@ non corrispondono alle impostazioni sul backend.
MsgPinInvalidIPAddress,L’indirizzo IP del POS %@ non corrisponde alle impostazioni sul backend.
MsgPinIdentificationUpdateSuccess,L’aggiornamento del POS %@ ID è fatto con successo. Aggiorna tutti i POS.
MsgPinIdentificationUpdateFail,Impossibile aggiornare l’ID del POS  %@.
MsgPinIPAddressUpdateSuccess,L’aggiornamento dell’indirizzo IP del POS %@ ID è fatto con successo. Aggiorna tutte le stazioni.
MsgPinIPAddressUpdateFail,Impossibile aggiornare l’indirizzo IP del POS %@.
MsgPinInvalidSettingsTitle,Le impostazioni non corrispondono.
MsgPinInvalidLoginMethod,Striscia la carta per accedere. L’inserimento manuale non è supportato.
MsgPinRedirectedPrintersInfo,Hai %d stampante(i) reindirizzata(e)
MsgUserRequireAdminCard,Questo utente deve usare una carta amministratore per %@.
MsgProvisionEnterPin,Inserisci il PIN di attivazione
MsgProvisionPin,PIN di attivazione
MsgUseProvisionPin,Usa provision PIN
MsgDiningTitle,Opzione ristorazione
MsgDiningOrderOptionTitle,Opzione dell’ordine
MsgDiningEatInOrTakeOut,D'asporto o consuma quì?
MsgDiningTakeOut,Da asporto
MsgDiningWebOrder,Ordine on-line
MsgDiningWebInvoice,Fattura web
MsgDiningCatering,Catering
MsgDiningDriveThrough,Drive Through
MsgDiningShipping,Spedizione
MsgDiningOther,Altro
MsgDiningRetail,Retail
MsgDiscountTitle,Sconto
MsgDiscountSelectItemTitle,Seleziona articolo per lo sconto
MsgDiscountSelectDiscount,Seleziona sconto
MsgDiscountCreateOrderFirst,Crea prima l’ordine.
MsgDiscountItemAmountTooSmall,Prezzo dell’articolo non corrisponde all’importo minimo per lo sconto.
MsgDiscountAmount,Importo
MsgDiscountValue,Valore
MsgDiscountAmountOff,Importo non sufficiente
MsgDiscountPercent,Percento
MsgDiscountReprice,Modifica prezzo
MsgDiscountAltPrice,Prezzo secondario
MsgDiscountEnterAmount,Inserisci importo
MsgDiscountEnterValue,Inserisci valore
MsgDiscountTaxed,Tassato
MsgDiscountEnterReason,Inserisci il motivo
MsgDiscountEnterReasonAndAmount,Inserisci il motivo ed importo.
MsgDiscountEnterAnotherReason,Inserisci un altro motivo per lo sconto
MsgDiscountNoDiscountsForCode,Non sono stati trovati sconti attivi per il codice di sconto fornito.
MsgDiscountLoaylTreeWait,In attesa di risposta LoyalTree...
MsgDiscountLoaylTreeTitle,LoyalTree
MsgDiscountLoaylTreeReset,Prima di applicare questo sconto è necessario annullare i punti LoyalTree.
MsgDiscountRegularPrice,Prezzo regolare
MsgDiscountSavingValue,Risparmi
MsgDiscountType,Tipo di sconto
MsgNoDiscountsToApply,Nessun sconto da applicare.
MsgDiscountENTCardAmountHasBeenReturned,Importo ENT è stato reso alla carta
MsgDiscountENTCardDoesntBelongToAnyUser,Carta non valida. La carta inserita non appartiene a nessun utente.
MsgDiscountENTCardDoesntBelongToCurrentUser,Carta non valida. La carta non appartiene a %@
MsgDiscountENTCardTipWontBeAppliedForENT,Le mance non saranno applicate con carte EBT
MsgDiscountENTCardDisabled,Abilita carte ENT sul backend per procedere
MsgPleaseRemoveOrderDiscountToProceedENTCard,Si prega di rimuovere sconto per procedere carta ENT
MsgDiscountENTCardCantApplyToPartiallyPaid,Carta ENT non può essere applicata a un ordine pagato parzialmente
MsgDiscountENTNotSupported,Carte di ENT non sono supportate in modalità attuale di POS
MsgDiscountENTCardCantUpdate,Saldo di carta ENT non può essere aggiornato
MsgStoreCreditCardCantUpdate,Saldo di carta ENT non può essere aggiornato
BtnDiscountScan,Scansione
BtnDiscountPart,% di sconto
BtnDiscountNoDiscount,Nessun sconto
BtnApplyDiscounts,Applica sconti
MsgChoosePrevailingTaxes,Scegli tassa prevalente
MsgTitleSelectTaxExeptionReason,Seleziona il motivo per l’esenzione fiscale
MsgTaxExemptionReasonPaidWithEBT,Pagato con EBT
MsgTaxExemptionReasonColdItem,Piatto freddo da asporto
MsgTaxExemptionReasonColdItemDelivery,Piatto freddo da consegna
MsgTaxExemptionReasonTaxFreeCustomer,Cliente essente di IVA
MsgTaxExemptionReasonZeroTaxRate,Valore di tassa zero
MsgServiceFeeTitle,Costo di servizio
MsgServiceFeeAmountOff,Importo aggiunto
MsgServiceFeeAmount,Importo
MsgServiceFeeEnterAmount,Inserisci importo
MsgServiceFeeEnterReason,Inserisci il motivo
MsgServiceFeePercent,Percento
MsgServiceFeeTaxed,Tassato
MsgServiceFeePostTax,IVA inclusa
MsgServiceFeeEnterReasonAndAmount,Inserisci il motivo ed importo.
MsgServiceFeePleaseEnterPositiveServiceFeeValue,Inserisci un valore positivo.
BtnServiceFeesTitle,Costo di servizio
BtnServiceFeesNoServiceFee,Nessun costo di servizio
MsgServiceFeeWrongName,Esiste già un servizio a pagamento con lo stesso nome. Rinomina il pagamento o applica una tariffa diversa.
MsgServiceFeeAlreadyHasServiceFees,Questo ordine ha già un costo di servizio(i).\n Trascinali nell’ordine in quale devono essere applicati.
MsgServiceFeeAdded,É stato aggiunto un costo di servizio di %@  \nper %@ il pagamento.
MsgBalanceDue,Saldo dovuto
MsgServiceFee,Costo di servizio
MsgServiceFeeCardType,Costo di servizio - tipo carta
MsgServiceFeeChooseCardType,Seleziona il tipo di carta indicato qui sotto.
MsgNoFee,Nessun costo
MsgServiceFeeForCreditPayments,Cè un costo di servizio per i pagamenti con carta di credito.
MsgOldTotal,Totale precedente
MsgNewTotal,Nuovo totale
MsgOrderFieldName,Nome
MsgOrderFieldQty,Quantità
MsgOrderFieldEach,Ogni
MsgOrderFieldTotal,Totale
MsgOrderTotalsDiscount,Totale sconti:
MsgOrderTotalsSubtotal,Sub totale:
MsgOrderTotalsSubtotal2,Subtotale:
MsgOrderTotalsSurcharge,Sovratassa
MsgOrderTotalsTax,IVA
MsgOrderTotalsTotal,TOTALE:
MsgOrderTotalsTotal2,Totale:
MsgOrderTotalsDue,Saldo dovuto:
MsgOrderInvoiceTitle,Fattura
MsgOrderInvoiceErrorNoCustomer,Nessun cliente
BtnOrderCancelInvoice,Annulla fattura
BtnOrderOpenInvoice,Apri fattura
BtnOrderSendInvoice,Invia fattura
BtnOrderHoldInvoice,Sospendi fattura
BtnOrderCloseInvoice,Chiudi fattura
BtnOrderResetMenu,Ripristina il menu
BtnOrderBackMenu,Indietro
BtnOrderPay,Paga
BtnOrderPayAgain,Effettua nuovamente il pagamento
BtnOrderSetGuestCount,Totale\nospiti
BtnOrderDeliveryClockOut,Autista\nclock-out
BtnOrderDeliveryClockIn,Autista\nclock-in
BtnOrderAddGratuity,Costo\naggiuntivo
BtnOrderRemoveGratuity,Annulla costo\naggiuntivo
BtnOrderAutoGratuity,Costo serv. agg.\nautomatico
BtnOrderFastCredit,Credito rapido
BtnOrderFastCash,Contante rapido
BtnOrderAddExtraItem,Aggiungi\narticolo supplementare
BtnOrderDonate,Donare
BtnOrderDiscountOrder,Sconto\nordine
BtnOrderDiningOption,Opzione\nristorazione
BtnOrderOrderOption,Opzione\nordine
BtnOrderPrintGuestCheck,Stampa\nricevuta ospite
BtnOrderEnterBarcode,Inserisci\ncodice a barre
BtnOrderOpenCashDrawer,Apri\ncassetto
BtnOrderMoveTable,Sposta\nordine
BtnOrderTransferOwner,Trasferisci\naddetto
BtnOrderRemoveTax,Rimuovi\ntassa
BtnOrderAddTax,Aggiungi\ntassa
BtnOrderSetTax,Imposta\ntassa
BtnOrderAttachCard,Collega la carta\nall’ordine
BtnOrderAttachOtherCard,Collega altra\ncarta
BtnUseShipping,Spedizione
BtnOrderScanCoupon,Scansiona\nil buono acquisto
BtnFindLinkedOrder,Trova ordini\ncollegati
BtnOrderPrintInvoice,Stampa\nfattura
BtnOrderSendToKitchen,Invia a\ncucina
BtnOrderNextBill,Arrotondamento importo
BtnOrderAddStoreCredit,Totale carte di credito:
BtnInclude,Includi
BtnView,Visualizza
MsgOrderPaidSplitNotAllowed,L’ordine è stato pagato interamente. Non c’è nulla da suddividere.
MsgOrderProductAdded,Prodotto aggiunto
MsgOrderAddProducts,Aggiungi I prodotti
MsgOrderSpeakCancelOrderConfirm,Annulla ordine?
MsgOrderSpeakCancelInvoiceConfirm,Sei sicuro di voler annullare la fattura?
BtnPinAccessibilityOn,Accessibilità attiva
BtnPinAccessibilityOff,Accessibilità disattiva
MsgPinAccessibilityModeIsUnavailable,La modalità di accesso non è disponibile perchè questa stazione dispone di uno scanner Bluetooth.
MsgOrderClockIn,Clock-in
MsgOrderClockOut,Clock-out
MsgOrderPaidBreak,Pausa pagata
MsgOrderUnPaidBreak,Pausa non pagata
MsgOrderGoOnBreak,Vai in pausa
MsgOrderDeliveryTrackingDate,Data e ora
MsgOrderDeliveryTrackingEmployee,Dipendente
MsgOrderDeliveryTrackingEmployeeClockOut,Registrazione in uscita: %@
MsgOrderDeliveryTrackingInvalidClockInTime,Ora del clock-in deve essere posteriore a quella del clock-out.
MsgOrderItemShare,Condividi
MsgOrderItemSplitWithSeat,Suddividi per posto %d
MsgOrderItemDiscount,Sconto
MsgOrderItemNoCourseWithDate,***** Nessuna portata%@ *****
MsgOrderItemCourseWithDate,***** Portata %d%@ *****
MsgOrderItemSeat,Posto %d
MsgOrderItemS,S%d
MsgOrderItemLayaway,**Merce riservata**
MsgOrderItemVoided,Annullato
MsgOrderItemComps,Omaggi
MsgOrderItemReturned,Reso
MsgOrderGratuityNonEditableHasPayments,Questo ordine ha dei pagamenti. Non è possibile aggiungere o rimuovere costi servizio aggiuntivi.
MsgOrderGratuityFullAmountAllowed,Sono supportati solo pagamenti completi se l’ordine ha dei costi servizio aggiuntivi.
MsgOrderCategory,CATEGORIA
MsgOrderSubCategory,SOTTOCATEGORIA
MsgOrderProducts,PRODOTTI
MsgOrderTopMenu,MENU PRINCIPALE
MsgOrderNoTipsTitle,No mancia
MsgOrderNoTips,Non risultano punti per quest’ordine.
MsgOrderNoTipsForBill,Alcune ricevute sono senza mance. Lasciare gli ordini aperti?
BtnLeaveTip,Mance LevelUp
BtnCloseOrder,Chiudi ordine
MsgOrderRefundExtraAmount,Rimborsa strapagato prima di chiudere l’ordine.
MsgOrderPayRemainingAmount,Impossibile chiudere l’ordine. Necessario pagare l’importo residuo.
MsgOrderNoItemsForNextCourse,La portata successiva non contiene nessun prodotto.
MsgOrderEnterPrice,Inserisci il prezzo
MsgOrderSelectSeat,Seleziona un posto
MsgOrderSelectSeatPlease,Seleziona numero degli ospiti
MsgOrderSeatWithNumber,Posto %d
MsgOrderSetSeat,Inserisci il numero del posto
MsgOrderSetGuestCount,Inserisci il numero degli ospiti
MsgOrderSeat,Posto
MsgOrderSeats,Posti
MsgOrderGuest,Ospite
MsgOrderGuests,Ospiti
MsgOrderSelectCourse,Seleziona una portata
MsgOrderCourseWithNumber,Portata %d
MsgOrderTableCantMoveIsUnsynced,Non è possibile eseguire lo spostamento perchè l’ordine di destinazione non è sincronizzato con il POS principale.
MsgOrderSplitBillsClear,Le ricevute condivise verranno cancellate. Sei sicuro?
MsgOrderSplitBillsNumberExceeded,È permesso un massimo di 15 ricevute.
MsgOrderSmallAmountForSplitting,L’importo di ogni ricevuta condivisa deve superare %.2f.
MsgOrderAddExtraItemTitle,Aggiungi un altro articolo
MsgOrderAddExtraItemName,Nome
MsgOrderAddExtraItemPrice,Prezzo
MsgOrderAddExtraItemPricePerUnit,Prezzo per unità
MsgOrderAddExtraItemTax,Tassa
BtnOrderAddExtraItemWeight,Peso
BtnOrderAddExtraEnterName,Inserisci il nome dell’articolo.
BtnOrderAddExtraEnterPrice,Inserisci il prezzo prima di attivare la scala.
MsgOrderAddExtraItemSelectName,Seleziona un nome dell’articolo
MsgOrderAddExtraItemSelectNameTax,IVA: %.1f%%
MsgOrderAddExtraItemSaveToServer,Salva sul server
MsgOrderAddExtraItemTaxFreeItem,Essente da IVA
MsgOrderAddExtraItemWeightedItem,Articolo ponderato
MsgOrderAddExtraItemEmbeddedItem,Articolo con prezzo unico
MsgOrderAddExtraItemSaving,Salva
MsgOrderAddExtraItemSavingFailed,Il prodotto non è stato salvato sul server e verrà archiviato localmente.
MsgOrderAddExtraItemTaxSavingWarning,Tassa personalizzata non salvata sul server ma aggiunta all’articolo ordinato.
MsgOrderAddExtraItemNoMatchFound,Nessuna corrispondenza trovata
MsgOrderExtraItem,Articolo
BtnOrderAddItem,Aggiungi articolo
MsgOrderAddItemCopying,Copia articoli in corso
MsgOrderPrintReceiptsTitle,Stampa le ricevute
MsgOrderPrintReceiptsPrintWhat,L’ordine ha le ricevute della carta di credito. Quale ricevute desideri stampare?
