LocaleIdentifier,RU
MsgUnableToCompletePaymentSwipeCard,"Вы пытаетесь закрыть запрос, владельцем которого является %@.\nИспользуйте карточку менеджера, чтобы продолжить."
MsgUpdating,Обновление
MsgLockingFuelTransaction,Блокируем топливную транзакцию 
MsgReleasingLock,Снятие блокировки
MsgPaymentRefundNotSupportedCalliZettleCustomerSupport,Возмещение не поддерживается. Обратитесь в службу поддержки клиентов iZettle.
MsgSyncingToCloud,Синхронизация с сервером
MsgUINotificationShowingNotificationNumberFromStack,Показано 1 из %d
MsgSelected,Выбрано
MsgPaypalPaymentMaxAmount,Максимальная сумма для оплаты кредитной картой — %@.
MsgPaypalTipAmountExceed,Размер чаевых не может превышать сумму счета.
MsgPayPalOrderHasSplitBills,В заказе имеется несколько счетов.  Необходимо оплатить каждый счет отдельно.
MsgCrashTitle,Вероятно
MsgCrashPlaceholder,Кратко опишите свои действия
MsgScalesNet,БЕЗ ТАРЫ
MsgScalesMultiplyTare,Добавить еще тару
MsgScalesSetTare,Установить тару
MsgScalesEnterWeight,Введите вес.
MsgScalesTare,Тара
MsgScalesOverrideError,Можно изменить вес
MsgScalesSelectTareCount,Выберите количество тары.
MsgScalesCurrentTare,Текущая тара
MsgScalesWeight,Вес
MsgScalesPrice,Цена
MsgScalesInputTare,Ввести тару
MsgScalesEnterTareWeight,Ввести вес тары.
MsgBarcodeScanProduct,Отсканировать продукт
MsgBarcodeScanDiscountCode,Отсканировать код скидки
MsgBarcodeEnterBarcode,Ввести баркод
MsgBarcodeEnterBarcodeWithTouch,Нажмите здесь для ввода баркода.
MsgBarcodeProductNotFound,Продукт с указанным баркодом\n%@\nне найден.
MsgBarcodeProductCloseMatch,Не найдено точное совпадение. Похожие результаты поиска:
MsgBarcodeTheExactMatchesFound,Найдено совпадений:
MsgBarcodeSeveralProductsOrIngredientsWereFound,Эти товары и ингредиенты были найдены:
MsgBarcodeSelectProduct,Выберите продукт.
MsgBarcodeNameorBarcode,Название или баркод
MsgBarcodeNameorBarcodePhone,Название/баркод
MsgBarcodeProductNotActive,Продукт с указанным баркодом\n%@\nне активен.
MsgMeasureUnitPounds,Фунты
MsgMeasureUnitKilograms,Килограммы
MsgMeasureUnitLiters,Литры
MsgMeasureUnitGallons,Галлоны
MsgMeasureUnitCubicMeters,Куб. метры
MsgMeasureUnitShortPounds,Фунт
MsgMeasureUnitShortKilograms,кг
MsgMeasureUnitShortLiters,л
MsgMeasureUnitShortGallons,гал.
MsgMeasureUnitShortCubicMeters,м3
BtnPayTransaction,Оплатить\nтранзакцию
BtnClearTransaction,Расчет по\nтранзакции
BtnStackTransaction,Поставить в очередь\nтранзакцию
BtnOrderFastCreditShell,Быстрый платеж\nКредит 
BtnOrderFastCashShell,Быстрый платеж\nНаличные
BtnGasStationActionBlockPump,Заблокировать\nколонку
BtnGasStationActionUnblockPump,Разблокировать\nколонку
BtnGasStationActionTogglePumpLights,Включить свет\nна колонке
BtnGasStationActionStopAllPumps,Остановить все\nколонки
BtnGasStationActionStopPump,Остановить\nколонку
BtnGasStationActionReservePump,Забронировать\nколонку
BtnGasStationActionPrePay,Предоплата
BtnGasStationActionCancelReservePump,Отменить\nбронь
BtnGasStationActionAuthorizePump,Активировать\nколонку
BtnGasStationActionCancelAuthorizePump,Отменить\nактивацию
BtnGasStationActionPausePump,Приостановить\nподачу
BtnGasStationActionResumePump,Возобновить\nподачу
BtnGasStationForecourtConnectionLost,Потеряно соединение с заправочным терминалом. Попытка повторного соединения
BtnGasStationForecourtConnected,Установлено соединение с заправочным терминалом.
BtnGasStationFuelling,Идет подача топлива.
MsgGasStationChooseTransactionToWork,Управление транзакцией:
MsgLockedBy,Заблокировано
MsgReservedBy,Зарезервировано
MsgConfirmation,Подтверждение
LblGasStationCurrentTransaction, (Текущий)
LblGasStationStackTransaction,(В очереди)
MsgGasStationTransactionInfo,ИНФОРМАЦИЯ О ТРАНЗАКЦИИ:\n\nТранзакция #%d\nНомер колонки: %d\nСумма: %@\nКол-во: %.2f
MsgGasStationDriveOffTitle,Внимание к %@
MsgGasStationAttentionRequiredMessage,"%@ %.2f %@ / %@ \nТранзакция на %@ не оплачена.\nПожалуйста, немедленно примите меры."
MsgGasStationDeliveryNotPaid,Доставка не оплачена
MsgGasStationRefundTitle,"Пожалуйста, возместите"
MsgGasStationNeedRefund,Нужно возместить
MsgGasStationNeedClear,Нужно очистить
MsgGasStationCantHoldTransaction,Нельзя приостановить транзакцию. В транзакцию включено топливо.
MsgGasStationCantRemoveTransaction,Невозможно удалить текущую транзакцию . Сделка включает в себя топливные продукты
MsgGasStationStopPumpConfirmation,Вы действительно хотите остановить колонку %@?
MsgGasStationStopAllPumpsConfirmation,Вы действительно хотите остановить ВСЕ колонки?
MsgGasStationConfirmationTitle,Подтверждение:
MsgGasStationCantAddFuelProductHoseBlocked,Не удается добавить топливо в транзакцию. Шланг заблокирован.
MsgGasStationRefundPrompt,"Клиент заплатил %@, но заправил на %@\nВозместить %@?"
MsgGasStationTransactionClearPrompt,"Транзакция была завершена, но не очистилась.\nОчистить?"
MsgGasStationTransactionLockedByTermId,ВНИМАНИЕ:\nТерминал с идентификатором заблокировал эту транзакцию
MsgGasStationFuelTransactionIsAlreadyInTheOrderCloseCurrent,"Топливная транзакция № %d уже была оплачена в рамках транзакции№ %@. Закройте текущую транзакцию, чтобы открыть более раннюю."
MsgGasStationFuelTransactionIsAlreadyInTheOrder,Топливная транзакция № %d уже была оплачена в рамках транзакции№ %@.
MsgGasStationFuelGrade,Сорт топлива
MsgGasStationDueAmount,Сумма к оплате
MsgGasStationVolume,Объем
MsgGasStationFuelTransactionNotFound,Не удалось найти топливную транзакцию с %d идентификатором на %@
MsgGasStationCanNotLogOutFromEnabler,Не удается выйти из системы Enabler EMB.\nПовторите попытку.
MsgGasStationChooseFuelGradeAndAmount,Выбрать сорт топлива и количество
MsgGasStationForecourtUpdatedRefreshRequired,"Контроллер Forecourt был обновлен. Пожалуйста, подключите этот терминал к Forecourt."
MsgGasStationNumberOfPumpsHasBeenChanged,Конфигурация Forecourt была обновлена. Количество колонок изменено.
MsgGasStationErrorForecourtIPisNotSet,"IP- адрес контроллера Forecourt не установлен.\nПожалуйста, проверьте бэкенд параметры."
PaymentPumpTest,Тестировка насоса
MsgGasStationPumpTest,Тестировка насоса - %@
MsgGasStationPumpTestConfirmationMessage,"Получающий бак отличается от исходного бака.\nВы уверены, что хотите вернуть топливо в другой бак?\n\nИсходный: %@\n\nПолучающий: %@"
MsgGasStationPumpTestErrorCantProcess,"Выберите один вид топлива, чтобы обработать транзакцию как \""Тестировка Насоса\""."
MsgGasStationPump,Колонка
MsgGasStationHose,Шланг
MsgGasStationSourceTank,Исходный бак
MsgGasStationTargetTank,Получающий бак
MsgGasStationTestAmount,Сумма к оплате
MsgGasStationClearTypeNormal,Стандартный
MsgGasStationClearTypeTest,Тест
MsgGasStationClearTypeDriveOff,Без оплаты
MsgGasStationClearTypeAttendant,Обслуживающее лицо
MsgGasStationAuthorizePromptTitle,Активировать %@?
MsgGasStationCantAuthorizePump,Не удается активировать %@. Колонка заблокирована.
MsgGasStationCantManagePump,Недоступно управление %@. Данная колонка забронирована терминалом № %d.
MsgGasStationPumpAskingAuthorization,Данная колонка запрашивает активацию. Активировать %@?
MsgGasStationTransaction#,Транзакция №
MsgGasStationTxn#,Транзакция №
BtnGasStationCancelTransaction,Отменить транзакцию
BtnGasStationCloseTransaction,Закрыть транзакцию
BtnGasStationHoldTransaction, Приостановить транзакцию
BtnGasStationHeaderOrders,Транзакции
BtnPinLogin,Войти
BtnPinClockIn,Время прихода
BtnPinClockOut,Время ухода
BtnPinRefresh,Обновить
BtnPinClear,Очистить
BtnSwipeLogin,Вход по карте
BtnPinReset,Сбросить
MsgClockOutBreak,Перерыв
BtnEndBreak,Закончить перерыв
MsgOrdersReportWarningOpenUnsyncedOrders,У вас есть открытые и/или несинхронизированные заказы:
MsgOrdersReportWarningCloseOrders,Для регистрации времени ухода сначала завершите свои заказы и дождитесь их синхронизации или введите пинкод администратора.
MsgLengthOfBreak,Длина перерыва
BtnManagerOverride,Корректировка\nменеджером
BtnClockInAsRole,Зарегистрировать приход сотрудника\n%@
MsgPaidBreak,Оплачиваемый перерыв
MsgUnpaidBreak,Неоплачиваемый перерыв
MsgTakeABreak,Сделайте перерыв!
MsgPinDataNotDownloaded,Данные меню не загрузились с сервера.
MsgPinRefreshDataTitle,Обновите конфигурацию POS-станции.
MsgPinRefreshDataContent,Обновление конфигурации POS-станции может занять некоторое время. Ее следует выполнять только при наличии изменений на сервере или при необходимости выбрать другую станцию. Продолжить?
MsgPinUserNotLocked,Пользователь не привязан к данной POS-станции.
MsgPinUserIdIsNotAssigned,Не назначен идентификатор пользователя.\nОбновите POS-станцию.
MsgPinUnableToAccessPos,Нет доступа к POS-станции.
MsgUserRequireAdminCardSwipe,Для входа необходимо использовать карту администратора.
MsgPinInvalidPin,Вы ввели неверный пинкод.\nПопробуйте еще раз.
MsgPinPOSNotSet,Не задана организация или POS-станция!\n\nОбновите конфигурацию станции!
MsgPinVersion,Версия: %@\nMAC-адрес устройства:\n %@
MsgPinSelectStation,Выберите станцию
MsgPinPleaseSelectStation,"Пожалуйста, выберите станцию"
MsgPinResetConfirm,Удалить все данные и сбросить настройки приложения?
MsgPinSentToEmail,Ваш пинкод был отправлен на %@.
MsgPinPleaseUsePinToLogin,Для входа в приложение POS-станций Revel Systems используйте пинкод 1234.
MsgPinInvalidIdentification,Идентификатор %@ вашей POS-станции «%@» не совпадает с настройками на сервере.
MsgPinInvalidIPAddress,IP-адрес POS-станции «%@» не совпадает с настройками на сервере.
MsgPinIdentificationUpdateSuccess,Идентификатор POS-станции «%@» обновлен. Обновите конфигурацию всех станций.
MsgPinIdentificationUpdateFail,Не удалось обновить идентификатор POS-станции «%@».
MsgPinIPAddressUpdateSuccess,IP-адрес POS-станции «%@» обновлен. Обновите конфигурацию всех станций.
MsgPinIPAddressUpdateFail,Не удалось обновить IP-адрес POS-станции «%@».
MsgPinInvalidSettingsTitle,Ваши настройки не совпадают.
MsgPinInvalidLoginMethod,Войдите в систему
MsgPinRedirectedPrintersInfo,У вас %d перенаправленных принтера(-ов).
MsgUserRequireAdminCard,Для %@ необходимо использовать карту администратора.
MsgProvisionEnterPin,Введите резервный пинкод.
MsgProvisionPin,Резервный пинкод
MsgUseProvisionPin,Использовать  Provision PIN
MsgDiningTitle,Тип заказа
MsgDiningOrderOptionTitle,Тип заказа
MsgDiningEatInOrTakeOut,В зале или с собой?
MsgDiningTakeOut,С собой
MsgDiningWebOrder,Онлайн-заказ
MsgDiningWebInvoice,Электронный счет
MsgDiningCatering,Выездной заказ
MsgDiningDriveThrough,Автозаказ
MsgDiningShipping,Доставка
MsgDiningOther,Прочее
MsgDiningRetail,Розница
MsgDiscountTitle,Скидка
MsgDiscountSelectItemTitle,Выберите позицию для применения скидки.
MsgDiscountSelectDiscount,Выберите скидку.
MsgDiscountCreateOrderFirst,Сначала создайте заказ.
MsgDiscountItemAmountTooSmall,Цена товара меньше минимальной суммы для применения скидки.
MsgDiscountAmount,Сумма
MsgDiscountValue,Значение
MsgDiscountAmountOff,Фикс. скидка откл.
MsgDiscountPercent,Процентов
MsgDiscountReprice,Изменить цену
MsgDiscountAltPrice,АлтЦена
MsgDiscountEnterAmount,Введите сумму
MsgDiscountEnterValue,Введите значение.
MsgDiscountTaxed,С налогом
MsgDiscountEnterReason,Укажите причину.
MsgDiscountEnterReasonAndAmount,Укажите причину и сумму.
MsgDiscountEnterAnotherReason,Укажите другую причину применения скидки.
MsgDiscountNoDiscountsForCode,Для введенного кода скидки не найдены действующие акции.
MsgDiscountLoaylTreeWait,Ожидание ответа LoyalTree...
MsgDiscountLoaylTreeTitle,LoyalTree
MsgDiscountLoaylTreeReset,Чтобы применить эту скидку
MsgDiscountRegularPrice,Обычная цена
MsgDiscountSavingValue,Экономия
MsgDiscountType,Тип скидки
MsgNoDiscountsToApply,Нет скидок чтобы применить
MsgDiscountENTCardAmountHasBeenReturned,сумма ENT была возвращена на карту
MsgDiscountENTCardDoesntBelongToAnyUser,Карта недействительна.
MsgDiscountENTCardDoesntBelongToCurrentUser,Карточка недействительна. Использоваемая карточка не принадлежит %@
MsgDiscountENTCardTipWontBeAppliedForENT,чаевые не будут применяться с ENT карточкой
MsgDiscountENTCardDisabled,"Пожалуйста, включите ENT карты на внутреннем интерфейсе , чтобы продолжить"
MsgPleaseRemoveOrderDiscountToProceedENTCard,"Пожалуйста, удалите скидку , чтобы продолжить ENT карты"
MsgDiscountENTCardCantApplyToPartiallyPaid,ENT карточка не может быть применена к частично оплаченному заказу
MsgDiscountENTNotSupported,ENT карты не поддерживаются в текущем режиме POS
MsgDiscountENTCardCantUpdate,Баланс ENT карты не может быть обновлен
MsgStoreCreditCardCantUpdate,Баланс ENT карты не может быть обновлен
BtnDiscountScan,Отсканировать
BtnDiscountPart,% скидки
BtnDiscountNoDiscount,Без скидки
BtnApplyDiscounts,Применить скидки
MsgChoosePrevailingTaxes,Выберите действующие налоги.
MsgTitleSelectTaxExeptionReason,Выберите причину освобождения от налога.
MsgTaxExemptionReasonPaidWithEBT,Оплачено по EBT
MsgTaxExemptionReasonColdItem,Холодное блюдо с собой
MsgTaxExemptionReasonColdItemDelivery,Доставка холодного блюда
MsgTaxExemptionReasonTaxFreeCustomer,Не облагаемый налогом клиент
MsgTaxExemptionReasonZeroTaxRate,Нулевая налоговая ставка
MsgServiceFeeTitle,Сбор за обслуживание
MsgServiceFeeAmountOff,Добавленная сумма
MsgServiceFeeAmount,Сумма
MsgServiceFeeEnterAmount,Введите сумму
MsgServiceFeeEnterReason,Укажите причину.
MsgServiceFeePercent,Процентов
MsgServiceFeeTaxed,С налогом
MsgServiceFeePostTax,С учетом налога
MsgServiceFeeEnterReasonAndAmount,Укажите причину и сумму.
MsgServiceFeePleaseEnterPositiveServiceFeeValue,Введите положительное значение.
BtnServiceFeesTitle,Сбор за обслуживание
BtnServiceFeesNoServiceFee,Без сбора за обслуживание
MsgServiceFeeWrongName,Уже существует сбор за обслуживание с таким же названием. Переименуйте этот сбор или используйте другой.
MsgServiceFeeAlreadyHasServiceFees,К данному заказу уже применен(-ы) сбор(-ы) за обслуживание. \n Перетащите сборы в заказ
MsgServiceFeeAdded,Сбор за обслуживание %@ был добавлен \nк платежу %@.
MsgBalanceDue,К оплате
MsgServiceFee,Сбор за обслуживание
MsgServiceFeeCardType,Сбор за обслуживание — тип карты
MsgServiceFeeChooseCardType,Выберите тип карты ниже.
MsgNoFee,Без сбора
MsgServiceFeeForCreditPayments,К платежам по кредитным картам применяется сбор за обслуживание.
MsgOldTotal,Итого без сбора
MsgNewTotal,Итого со сбором
MsgOrderFieldName,Название
MsgOrderFieldQty,Кол-во
MsgOrderFieldEach,Цена
MsgOrderFieldTotal,Итого
MsgOrderTotalsDiscount,Скидки:
MsgOrderTotalsSubtotal,Промежуточный итог:
MsgOrderTotalsSubtotal2,Подытог:
MsgOrderTotalsSurcharge,Доп. сбор:
MsgOrderTotalsTax,Налог:
MsgOrderTotalsTotal,ИТОГО:
MsgOrderTotalsTotal2,Итого:
MsgOrderTotalsDue,К оплате:
MsgOrderInvoiceTitle,Счет
MsgOrderInvoiceErrorNoCustomer,Нет клиента
BtnOrderCancelInvoice,Отменить счет
BtnOrderOpenInvoice,Открыть счет
BtnOrderSendInvoice,Отправить счет
BtnOrderHoldInvoice,Приостановить счет
BtnOrderCloseInvoice,Закрыть счет
BtnOrderResetMenu,Сброс меню
BtnOrderBackMenu,Назад
BtnOrderPay,Оплатить
BtnOrderPayAgain,Оплатить снова
BtnOrderSetGuestCount,Кол-во\nгостей
BtnOrderDeliveryClockOut,Время ухода\nводителя
BtnOrderDeliveryClockIn,Время прихода\nводителя
BtnOrderAddGratuity,Добавить \nЧаевые
BtnOrderRemoveGratuity,Удалить\nЧаевые
BtnOrderAutoGratuity,Чаевые\nпо умолчанию
BtnOrderFastCredit,Быстрая оплата кред. картой
BtnOrderFastCash,Быстрая оплата наличными
BtnOrderAddExtraItem,Добавить\nдоп. позицию
BtnOrderDonate,Пожертвовать
BtnOrderDiscountOrder,Применить\nскидку
BtnOrderDiningOption,Тип\nзаказа
BtnOrderOrderOption,Тип\nзаказа
BtnOrderPrintGuestCheck,Распечатать\nгостевой чек
BtnOrderEnterBarcode,Ввести\nбаркод
BtnOrderOpenCashDrawer,Открыть\nкассовый аппарат
BtnOrderMoveTable,Перенести\nстолик
BtnOrderTransferOwner,Сменить\nвладельца
BtnOrderRemoveTax,Удалить\nналог
BtnOrderAddTax,Добавить\nналог
BtnOrderSetTax,Установить\nналог
BtnOrderAttachCard,Привязать карту\nк заказу
BtnOrderAttachOtherCard,Привязать другую\nкарту
BtnUseShipping,Отправить
BtnOrderScanCoupon,Отсканировать\nкупон
BtnFindLinkedOrder,Найти связанные\nзаказы
BtnOrderPrintInvoice,Распечатать\nсчет
BtnOrderSendToKitchen,Отправить\nна кухню
BtnOrderNextBill,Округлить сумму
BtnOrderAddStoreCredit,В счет будущих\nпокупок
BtnInclude,содержать в себе
BtnView,Посмотреть
MsgOrderPaidSplitNotAllowed,Заказ оплачен в полном объеме. Нет возможности разделить.
MsgOrderProductAdded,Продукт добавлен1
MsgOrderAddProducts,Добавить продукты
MsgOrderSpeakCancelOrderConfirm,"Вы уверены, что хотите отменить заказ?"
MsgOrderSpeakCancelInvoiceConfirm,"Вы уверены, что хотите отменить счет-фактуру?"
BtnPinAccessibilityOn,Универсальный доступ включен.
BtnPinAccessibilityOff,Универсальный доступ отключен.
MsgPinAccessibilityModeIsUnavailable,Режим универсального доступа не может быть активирован
MsgOrderClockIn,Время прихода
MsgOrderClockOut,Время ухода
MsgOrderPaidBreak,Оплачиваемый перерыв
MsgOrderUnPaidBreak,Неоплачиваемый перерыв
MsgOrderGoOnBreak,Уйти на перерыв
MsgOrderDeliveryTrackingDate,Дата и время
MsgOrderDeliveryTrackingEmployee,Сотрудник
MsgOrderDeliveryTrackingEmployeeClockOut,Время ухода: %@
MsgOrderDeliveryTrackingInvalidClockInTime,Время прихода должно быть после времени ухода.
MsgOrderItemShare,Предоставить общий доступ
MsgOrderItemSplitWithSeat,Разделить с гостем %d
MsgOrderItemDiscount,Скидка
MsgOrderItemNoCourseWithDate,***** Подача не указана%@ *****
MsgOrderItemCourseWithDate,***** Подача %d%@ *****
MsgOrderItemSeat,Гость %d
MsgOrderItemS,Г%d
MsgOrderItemLayaway,**Резервирование**
MsgOrderItemVoided,аннулирована
MsgOrderItemComps,Бесплатный
MsgOrderItemReturned,возвращенный
MsgOrderGratuityNonEditableHasPayments,По данному заказу имеются платежи. Вы не можете добавить или удалить чаевые.
MsgOrderGratuityFullAmountAllowed,Если заказ включает чаевые
MsgOrderCategory,КАТЕГОРИЯ
MsgOrderSubCategory,ПОДКАТЕГОРИЯ
MsgOrderProducts,ПРОДУКТЫ
MsgOrderTopMenu,ВЕРХНЕЕ МЕНЮ
MsgOrderNoTipsTitle,Запретить чаевые
MsgOrderNoTips,По данному заказу баллы не начислены.
MsgOrderNoTipsForBill,В некоторые счета не включены чаевые. Оставить заказ открытым?
BtnLeaveTip,LevelUp чаевые
BtnCloseOrder,Закрыть заказ
MsgOrderRefundExtraAmount,Для завершения заказа необходимо внести недостающую сумму.
MsgOrderPayRemainingAmount,Невозможно завершить заказ. Оплатите остаток.
MsgOrderNoItemsForNextCourse,В следующее блюдо не добавлены позиции.
MsgOrderEnterPrice,Введите цену.
MsgOrderSelectSeat,Выберите гостя.
MsgOrderSelectSeatPlease,Укажите количество гостей.
MsgOrderSeatWithNumber,Гость %d
MsgOrderSetSeat,Введите номер гостя.
MsgOrderSetGuestCount,Введите количество гостей.
MsgOrderSeat,Гость
MsgOrderSeats,Гости
MsgOrderGuest,Гость
MsgOrderGuests,Гости
MsgOrderSelectCourse,Выберите блюдо.
MsgOrderCourseWithNumber,Блюдо %d
MsgOrderTableCantMoveIsUnsynced,Перемещение невозможно
MsgOrderSplitBillsClear,Раздельные счета будут удалены. Вы уверены?
MsgOrderSplitBillsNumberExceeded,Поддерживается до 15 счетов.
MsgOrderSmallAmountForSplitting,Сумма по каждому раздельному счету должна быть не меньше %.2f долларов.
MsgOrderAddExtraItemTitle,Добавить доп. позицию
MsgOrderAddExtraItemName,Название
MsgOrderAddExtraItemPrice,Цена
MsgOrderAddExtraItemPricePerUnit,Цена за единицу
MsgOrderAddExtraItemTax,Налог
BtnOrderAddExtraItemWeight,Вес
BtnOrderAddExtraEnterName,Введите наименование позиции.
BtnOrderAddExtraEnterPrice,Введите цену до активации весов.
MsgOrderAddExtraItemSelectName,Выберите наименование.
MsgOrderAddExtraItemSelectNameTax,Налог: %.1f%%
MsgOrderAddExtraItemSaveToServer,Сохранить на сервере
MsgOrderAddExtraItemTaxFreeItem,Не облагается налогом
MsgOrderAddExtraItemWeightedItem,Взвешенный товар
MsgOrderAddExtraItemEmbeddedItem,Встроенная позиция
MsgOrderAddExtraItemSaving,Сохранение
MsgOrderAddExtraItemSavingFailed,Продукт не был сохранен на сервер и будет храниться локально.
MsgOrderAddExtraItemTaxSavingWarning,"Индивидуальная налоговая ставка не будет сохранена на сервер, а будет привязана к позиции заказа."
MsgOrderAddExtraItemNoMatchFound,Совпадения не найдены.
MsgOrderExtraItem,Позиция
BtnOrderAddItem,Добавить позицию
MsgOrderAddItemCopying,Копирование позиций
MsgOrderPrintReceiptsTitle,Распечатать чеки
MsgOrderPrintReceiptsPrintWhat,Заказ включает чеки на оплату по кредитной карте. Какие чеки требуется распечатать?
MsgOrderPrintReceiptsSplitPrintWhat,Какие чеки требуется распечатать?
BtnOrderPrintReceiptsGuest,Гость
BtnOrderPrintReceiptsSummary,Общая информация
BtnOrderPrintReceiptsCredit,Кред. карта
MsgOrderHappyHour,Happy Hour
MsgOrderRefundCustomer,Оформите возмещение клиенту %@.
MsgOrderRefundCompleted,%@ возмещено %@.
MsgOrderRefundToNewCard,повторить Загрузить подарочную карточку
MsgOrderFailedToAddGiftCard,Не удалось аннулировать подарочную карту.
MsgOrderPrintReceiptTitle,Распечатать чек
MsgOrderPrintGiftReceiptTitle,Распечатать Gift квитанцию ​
MsgOrderPrintReceiptActions,Распечатать чек?
MsgOrderPrintRefundReceiptForActions,Распечатать квитанцию возврата %@?
MsgOrderPrintGiftReceiptActions,Распечатать подарочную квитанцию ?
