LocaleIdentifier,TH
MsgGenServicesNoInvInfo,ไม่พบข้อมูลสินค้าคงเหลือ
MsgGenServicesName,ชื่อ
MsgGenServicesPhone,โทรศัพท์
MsgGenServicesNewUserRegistered,ผู้ใช้ใหม่ที่ลงทะเบียน
MsgGenServicesUserNameEmailPhoneReg,ผู้ใช้ใหม่ที่ลงทะเบียน\n\nชื่อ: %@\nอีเมล: %@\nโทรศัพท์ #: %@
MsgGenServicesYourUserPin,PIN ผู้ใช้ของคุณสำหรับแอปสาธิตระบบ Revel
MsgGenServicesThanksForRegistering,<html>\n<head>\n</head>\n<body>\nเรียน %@<br><br>ขอบคุณสำหรับการลงทะเบียนในระบบ Revel  PIN ผู้ใช้ของคุณคือ<br><br>%d<br><br>หากท่านมีข้อสงสัยใด ๆ โปรดติดต่อเราได้ที่\n (844)584-3316 หรือ info@revelsystems.com<br><br>ทีม Revel Systems <br>Revelsystems.com</body>\n</html>
MsgGenServicesTrainingMode,โหมดการฝึกอบรมเปิดใช้งานแล้ว โปรดปิดการใช้งานในการตั้งค่าเพื่อทำงานอย่างปกติ
MsgGenServicesTrainingModeEmployee,โหมดการฝึกอบรมเปิดใช้งานแล้ว โปรดปิดการใช้งานในการตั้งค่าเพื่อทำงานอย่างปกติ
MsgGenServicesTrainingModeDisable,ขณะนี้โหมดการฝึกอบรมเปิดใช้งานอยู่ คุณต้องการปิดการใช้งานหรือไม่?
MsgGenServicesTrainingModeExit,ออกจากโหมดการฝึกอบรม
MsgGenServicesTrainingModeProcessing,ตรวจสอบเครือข่าย
MsgGenServicesHaveDeclaredTips,คุณได้แจ้งทิปของคุณหรือยัง?
MsgGenServicesClockinBeforeShift,คุณไม่ได้ถูกกำหนดให้ทำงานในเวลานี้\nลงเวลาเข้างานในฐานะ %@ โปรดป้อน PIN ผู้ดูแลระบบ
MsgGenServicesClockinWithUnscheduledRole,คุณถูกกำหนดให้ทำงานในฐานะ %@ \nลงเวลาเข้างานในฐานะ %@ โปรดป้อน PIN ผู้ดูแลระบบ
MsgGenServicesCategoryNameAlreadyExists,หมวดหมู่ที่ใช้ชื่อนี้มีอยู่แล้ว
MsgGenServiceSubcategoryNameAlreadyExists,หมวดหมู่ย่อยที่ใช้ชื่อนี้มีอยู่แล้ว
MsgGenServiceProductFailed,มีปัญหาเครือข่ายระหว่างการบันทึก โปรดลองอีกครั้ง หรือติดต่อฝ่ายสนับสนุนลูกค้า
MsgScreenEnterPIN,ป้อน PIN:
MsgScreenEmailNotValid,อีเมลแอดเดรสไม่ถูกต้อง โปรดป้อนใหม่อีกครั้ง
MsgScreenEmailIsEmpty,โปรดป้อนอีเมลแอดเดรส
MsgScreenThankYou,ขอบคุณ
MsgScreenThankYouWithExclamation,ขอบคุณ!
MsgScreenEmailReceipt,อีเมลใบเสร็จ
MsgScreenEnterRecipientEmail,ป้อนอีเมลผู้รับ
MsgScreenPhotoLibNotAvail,ไม่มีไลบรารีภาพถ่ายอยู่บนอุปกรณ์นี้
MsgScreenExportSuccess,การส่งออกสำเร็จแล้ว
MsgScreenImageNeedsBeSize,ขนาดรูปภาพจำเป็นต้องมีขนาด 
MsgScreenPOSLogoSetup,การติดตั้งโลโก้ POS
MsgScreenOriginalPINLogo,โลโก้ PIN ดั้งเดิม
MsgScreenCustomPINLogo,โลโก้ PIN ที่กำหนดเอง
MsgScreenOriginalOrderLogo,โลโก้คำสั่งซื้อดั้งเดิม
MsgScreenCustomOrderLogo,โลโก้คำสั่งซื้อที่กำหนดเอง
MsgEmailSuccessfullySentTo,ส่งอีเมลไปยัง %@ สำเร็จแล้ว
MsgScreenEmailStoreCredit,ยอดรวมเครดิตที่จัดเก็บ:
MsgDUWelcomeBackCustomer,ยินดีต้อนรับกลับมา %@!
MsgScreenDollars,ดอลลาร์
MsgScreenCurrencySign,$
MsgScreenOtherTotal,ยอดรวมอื่น
MsgScreenSumTotal,ยอดรวมย่อย
MsgScreenTillManagementCheckout,เช็กเอาต์
MsgScreenByBillType,ประเภท\nบิล
MsgScreenByAmount,จำนวนเงิน
MsgScreenByCoinType,ประเภท\nเหรียญ
MsgScreenSetCashDatetime,ลิ้นชักเก็บเงินถูกตั้งค่าบน
MsgScreenTillManagementPayOut,จ่ายออก
MsgScreenTillManagementPayIn,รับเข้า
MsgScreenPayoutReasonEmpty,เหตุผลการจ่ายออกไม่สามารถเว้นว่างได้
MsgScreenPayinReasonEmpty,เหตุผลการรับเข้าไม่สามารถเว้นว่างได้
MsgScreenTillManagementSetTillAmounts,การบริหารจัดการลิ้นชักเก็บเงิน - ตั้งค่าจำนวนเงินในลิ้นชักเก็บเงิน
MsgScreenTillManagementCashDropTitle,เงินสดที่ใส่ไว้
MsgScreenPayIn,รับเข้า
MsgScreenPayout,จ่ายออก
MsgScreenOpenCashDrawer,เปิดลิ้นชักเก็บเงิน
MsgScreenAmountSafe,จำนวนเงินในตู้นิรภัย
MsgScreenTotalEndingCash,ยอดรวมเงินสดสุดท้าย:
MsgScreenEndingCash,เงินสดสุดท้าย:
MsgScreenTotalStartingCash,ยอดรวมเงินสดตั้งต้น:
MsgScreenStartingCash,เงินสดตั้งต้น:
MsgScreenCurrencyData,ข้อมูลสกุลเงิน
MsgScreenDateOpened,วันที่ที่เปิด:
MsgScreenTimeOpened,เวลาที่เปิด:
MsgScreenDateClosed,วันที่ที่ปิด:
MsgScreenTimeClosed,เวลาที่ปิด:
MsgScreenTotalsData,ข้อมูลทั้งหมด
MsgScreenPayOuts,ชำระเงินออก:
MsgScreenPayIns,รับเงินเข้า:
MsgScreenCashTransactions,ธุรกรรมเงินสด:
MsgScreenCoinsDispensed,เหรียญที่จ่ายไป:
MsgScreenExpectedCashTill,เงินที่คาดการณ์ในลิ้นชักเก็บเงิน:
MsgScreenEndingCashTotal,ยอดรวมเงินสดสุดท้าย:
MsgScreenDifference,ผลต่าง:
MsgScreenTotalExpectedAmountTill,ยอดรวมเงินที่คาดการณ์ในลิ้นชักเก็บเงิน
MsgScreenTillCashDrawer,ลิ้นชักเก็บเงิน
MSgScreenTillExceedMoney,การถอนเงินของคุณเกินกว่าค่าที่คาดการณ์ของลิ้นชักเก็บเงิน\n ดำเนินการต่อหรือไม่?
MSgScreenTillExceedMoneyCurrencyName,การถอนเงินของคุณเกินกว่าค่าที่คาดการณ์ของลิ้นชักเก็บเงิน\n ดำเนินการต่อหรือไม่?
MsgSetupTillIsNotAllowedButRequired,ต้องตั้งค่าลิ้นชักเก็บเงิน\nโปรดติดต่อผู้จัดการของคุณ
BtnScreenSetTill,ตั้งค่าลิ้นชักเก็บเงิน
BtnScreenHoldTill,ระงับลิ้นชักเก็บเงิน
MsgScreenSelectTill,เลือกลิ้นชักเก็บเงิน
MsgScreenHeldTill,ระงับลิ้นชักเก็บเงินแล้ว
MsgScreenHeldTillOn,ระงับไว้
MsgScreenSetTillOn,ตั้งค่าสินค้าคงคลัง
MsgScreenSetTillNotSet,ไม่ได้ตั้งค่า
MsgScreenCurrentTill,ลิ้นชักเก็บเงินปัจจุบัน
MsgScreenNewTill,ลิ้นชักเก็บเงินใหม่
MsgScreenTillCheckoutSummary,การบริหารจัดการลิ้นชักเก็บเงิน - สรุปการเช็กเอาต์
MsgScreenTillsVirtualTill,ลิ้นชักเก็บเงินเสมือนจริง
MsgScreenTillsVirtualPayments,การชำระเงินเสมือนจริง
MsgScreenTillsVirtualCash,เงินสดเสมือนจริง
MsgScreenTillsPhysicalTills,ลิ้นชักเก็บเงินจริง
MsgScreenTillsCashDrops,เงินสดที่ใส่ไว้
MsgScreenTillsAmountSet,ชุดจำนวนเงิน
MsgScreenTillsAdjustments,การปรับเปลี่ยนลิ้นชักเก็บเงิน
MsgScreenProcessing,การประมวลผล
MsgScreenTipsDownloadFailed,ดาวน์โหลดทิปล้มเหลว
MsgScreenTipAmount,จำนวนเงินทิป:
MsgScreenTodayDeclaredTip,ทิปที่ได้แจ้งไว้ของวันนี้
MsgScrSettingsOrderID,รหัสคำสั่งซื้อ:
MsgScrSettingsTransaction,ธุรกรรม #:
MsgScrSettingsAmountAuthorized,จำนวนที่ได้รับอนุญาต:
MsgScrSettingsPaymentAmount,จำนวนเงินที่ชำระ:
MsgScrSettingsPaymentTips,ทิป:
MsgScrSettingsProcessorResponse,การตอบสนองของหน่วยประมวลผล:
MsgScrSettingsCardHolderName,ชื่อผู้ถือบัตร:
MsgScrSettingsCardLast4Digits,4 หลักสุดท้ายของบัตร:
MsgScrSettingsDatetime,วันที่และเวลา:
MsgScrSettingsFinancials,การเงิน
MsgScrSettingsTimeManagement,การบริหารจัดการเวลา
MsgScrSettingsBatchProcess,การประมวลผลเชิงกลุ่ม
MsgScrSettingsSAFProcessing,ประมวลผล SAF
MsgScrSettingsDeclinedPayments,การชำระเงินที่ถูกปฏิเสธ
MsgScrSettingsOfflinePayments,การชำระเงินแบบออฟไลน์
MsgScrSettingsCheckNetwork,ตรวจสอบเครือข่าย
MsgScrSettingsLock,ล็อก
MsgScrSettingsLogging,การบันทึก
MsgScrSettingsBluetoothFiltering,การกรองบลูธูท
MsgScrSettingsTableFiltering2,การกรองโต๊ะ
MsgScrSettingsQuestPinPadManager,ค้นหาตัวจัดการ PinPad
MsgScrSettingsPOSSettings,การตั้งค่า POS
MsgScrSettingsPOSSettingsCardSwipes,บัตรรูด
MsgScrSettingsPOSSettingsScales,สเกล
MsgScrSettingsPOSSettingsDisplayUnits,แสดงหน่วย
MsgScrSettingsPOSSettingsKitchenDisplays,การแสดงห้องครัว
MsgScrSettingsPOSSettingsRFIDReaders,เครื่องอ่าน RFID
MsgScrSettingsPOSSettingsScanners,เครื่องสแกน
MsgScrSettingsPOSSettingsSecondaryScanners,เครื่องสแกนรอง
MsgScrSettingsPOSSettingsCoinDispensers,เครื่องจ่ายเหรียญ
MsgScrSettingsTroubleshootMode,โหมดการแก้ปัญหา
MsgScrSettingsDiagnosticTool,เครื่องมือการตรวจวินิจฉัย
MsgScrSettingsDiagnosticsTitle,การตรวจวินิจฉัย
MsgScrSettingsDeviceIpAddress,ที่อยู่ไอพี
MsgScrSettingsDeviceIpAddressColon,ที่อยู่ไอพี
MsgScrSettingsDeviceTitlePlural,อุปกรณ์
MsgScrSettingsDeviceAppVersion,(รุ่น %@)
MsgScrSettingsPosStationTitlePlural,เครื่องบริการ POS
MsgScrSettingsConnectionTestPlural,การเชื่อมต่อ
MsgScrSettingsTroubleshootPacketsSent,ส่งแล้ว:
MsgScrSettingsTroubleshootPacketsReceived,ได้รับแล้ว:
MsgScrSettingsTroubleshootPacketsTimeouts,หมดเวลา:
MsgScrSettingsTroubleshootPacketsErrors,ข้อผิดพลาด:
MsgScrSettingsTroubleshootPacketsAVGPingTime,เฉลี่ย เวลาตรวจสอบการเชื่อมต่อ
MsgScrSettingsTroubleshootPacketsLatencyInformation,ข้อมูลประสิทธิภาพ
MsgScrSettingsTroubleshootSyncingOrders,การซิงก์คำสั่งซื้อ
MsgScrSettingsTroubleshootInternetStatus,สถานะอินเทอร์เน็ต:
MsgScrSettingsTroubleshootDeviceReachableNoResponse,เข้าถึงที่อยู่ไอพีได้ แต่อุปกรณ์ไม่ตอบสนอง
MsgScrSettingsTroubleshootDeviceNotReachable,ไม่สามารถเข้าถึงได้
MsgScrSettingsTroubleshootLocalSyncOff,ปิดการซิงก์ภายใน
MsgScrSettingsTroubleshootCurrentDevice,อุปกรณ์นี้
MsgScrSettingsTroubleshootInternetStatusGood,ตกลง!
MsgScrSettingsTroubleshootInternetStatusSlow,ช้า
MsgScrSettingsTroubleshootInternetStatusBadDNS,DNS ไม่ดี
MsgScrSettingsTroubleshootInternetStatusNoInternet,ไม่มีอินเทอร์เน็ต
MsgScrSettingsTroubleshootNetworkStatusBadWifi,การเชื่อมต่อ Wi-Fi ไม่ดี! - โปรดตรวจสอบ Wi-Fi ของคุณ
MsgScrSettingsTroubleshootNetworkStatusPoorWifi,การเชื่อมต่อ Wi-Fi แย่! - โปรดตรวจสอบการรับสัญญาณ Wi-Fi ของคุณ
MsgScrSettingsTroubleshootNetworkStatusCableProblem,สายเชื่อมต่อมีปัญหา! - โปรดตรวจสอบสายเชื่อมต่อเครื่องพิมพ์ %@ ของคุณ
MsgScrSettingsTroubleshootConfirmResetDevice,อุปกรณ์จะถูกตั้งค่าใหม่ คุณแน่ใจหรือไม่?
MsgScrSettingsTroubleshootDeviceIsReseting,กำลังตั้งค่าอุปกรณ์ใหม่ โปรดรอ 30 วินาที และรีเฟรชอุปกรณ์
MsgScrSettingsTroubleshootDeviceIsResetFail,การตั้งค่าอุปกรณ์ล้มเหลว โปรดตั้งค่าอุปกรณ์ใหม่โดยการปิดเครื่องและเปิดเครื่องใหม่
MsgScrTroubleshootNotificationTroubleshooting,การแก้ปัญหา
MsgScrTroubleshootNotificationConnectionIpadBad,iPad ไม่ได้เชื่อมต่อไปยังเครือข่าย และไม่สามารถสื่อสารกับเครื่องบริการ POS หลัก โปรดเชื่อมต่อ iPad ของคุณไปยังจุดปล่อยสัญญาณไร้สาย หาก iPad เชื่อมต่อกับจุดปล่อยสัญญาณแล้ว แต่ยังคงไม่ทำงาน โปรดรีบูต iPad
MsgScrTroubleshootNotificationConnectionIpadGoodMainBad,iPad หลักไม่ได้เชื่อมต่อกับเครือข่าย โปรดเชื่อมต่อ iPad ของคุณไปยังจุดปล่อยสัญญาณไร้สาย หากปัญหายังคงอยู่ โปรดรีบูต iPad หลัก
MsgScrTroubleshootNotificationConnectionIpadGoodMainGood,สามารถเข้าถึง iPad หลักได้ และควรยอมรับการเชื่อมต่อ หากปัญหายังคงอยู่ โปรดรีบูต iPad หลัก
MsgScrTroubleshootNotificationConnectionIpadGoodMainPoor,iPad หลัก มีการเชื่อมต่อที่ไม่ดีกับจุดปล่อยสัญญาณไร้สาย โปรดตรวจสอบ เพื่อให้แน่ใจว่าเครื่องอยู่ห่างจากจุดปล่อยสัญญาณในระยะ 20 ฟุต และไม่มีสิ่งกีดขวางระหว่าง iPad และจุดปล่อยสัญญาณ
MsgScrTroubleshootNotificationConnectionIpadPoorMainBad,iPad หลักไม่ได้เชื่อมต่อกับเครือข่าย โปรดเชื่อมต่อ iPad หลักของคุณกลับไปยังจุดปล่อยสัญญาณไร้สาย หากปัญหายังคงอยู่ โปรดรีบูต iPad หลัก
MsgScrTroubleshootNotificationConnectionIpadPoorMainGood,iPad เครื่องนี้มีการเชื่อมต่อที่ไม่ดี โปรดตรวจสอบว่าจุดปล่อยสัญญาณกับ iPad ไม่มีสิ่งกีดขวางในระยะ 20 ฟุต  สามารถเข้าถึง iPad หลักได้ และควรยอมรับการเชื่อมต่อ
MsgScrTroubleshootNotificationConnectionIpadPoorMainPoor,ทั้ง iPad เครื่องนี้และ iPad หลักมีการเชื่อมต่อที่ไม่ดี โปรดตรวจสอบว่าจุดปล่อยสัญญาณกับ iPad และ iPad หลัก ไม่มีสิ่งกีดขวางในระยะ 20 ฟุต 
BtnScrTroubleshootTestPacketsDrop,การทดสอบกล่อง
BtnScrTroubleshootTestAllHosts,ตรวจสอบระยะเวลาเชื่อมต่อโฮสต์ ทั้งหมด
BtnScrTroubleshootTestSupportTitle,สนับสนุน
MsgScrTroubleshootTestPacketsDropNoConnection,iPad เครื่องนี้ไม่ได้เชื่อมต่อกับเครือข่าย โปรดเชื่อมต่อ iPad ของคุณไปยังจุดปล่อยสัญญาณไร้สาย หาก iPad เชื่อมต่อกับจุดปล่อยสัญญาณแล้ว แต่ยังคงไม่ทำงาน โปรดรีบูต iPad
MsgScrTroubleshootTestPacketsDropPoorConnection,iPad เครื่องนี้มีการเชื่อมต่อที่ไม่ดีกับจุดปล่อยสัญญาณไร้สาย โปรดตรวจสอบว่าจุดปล่อยสัญญาณกับ iPad ไม่มีสิ่งกีดขวางในระยะ 20 ฟุต 
MsgScrTroubleshootTestPacketsDropGoodConnection,iPad เครื่องนี้มีการเชื่อมต่อที่ดีกับจุดปล่อยสัญญาณไร้สาย
MsgScrTroubleshootTestPacketsDropTestingTitle,การทดสอบ
MsgScrTroubleshootTestAllHosts,การทดสอบการตรวจสอบระยะเวลาเชื่อมต่อโฮสต์ทั้งหมด
MsgScrTroubleshootTestHostReachable,สามารถเข้าถึงได้
MsgScrTroubleshootTestHostNotReachable,ไม่สามารถเข้าถึงได้
MsgScrTroubleshootIpadTitle,iPad
MsgScrTroubleshootRouterTitle,Router
MsgScrTroubleshootInternetTitle,อินเทอร์เน็ต
MsgScrTroubleshootSortByStatus,จัดเรียงโดยสถานะ
MsgScrTroubleshootSortByIp,จัดเรียงโดยไอพี
MsgScrTroubleshootTestComplete,การทดสอบเสร็จสมบูรณ์
MsgScrTroubleshootResponesReceived,การตอบสนองที่ได้รับ
MsgScrTroubleshootNetworkSSID,เครือข่าย SSID:
MsgScrTroubleshootContactSupportTitle,ติดต่อฝ่ายสนับสนุน
MsgScrTroubleshootSupportWebsiteTitle,สนับสนุนเว็บไซต์:
MsgScrTroubleshootSupportWebsite,support.revelsystems.com
MsgScrTroubleshootSupportLineTitle,ติดต่อได้ 24 / 7
MsgScrTroubleshootSupportLineNumber,415.744.1433 - การเชื่อมต่อ 2
MsgScrTroubleshootSupportOnboardingTitle,การปฏิบัติงาน:
MsgScrTroubleshootSupportOnboardingNumber,415.744.1433 - การเชื่อมต่อ 3
MsgScrTroubleshootSupportSubmitCaseQuestion,หากคุณต้องการส่งปัญหา ใช้ปุ่ม ส่งตั๋ว ที่อยู่ด้านล่าง
MsgScrTroubleshootSubmitSupportTicketTitle,ส่ง ตั๋วสนับสนุน
MsgScrTroubleshootSubmitSupportTicketSubmittedText,ปัญหาของท่านมีความสำคัญต่อเราเป็นอย่างยิ่ง และเราจะติดต่อกลับท่านโดยเร็วที่สุด โปรดติดต่อเราได้ตลอดเวลาเพื่อติดตามความคืบหน้า
MsgScrTroubleshootSubmitSupportTicketSubmitFailed,ไม่สามารถส่งตั๋วได้ โปรดตรวจสอบสัญญาณ Wifi และลองใหม่ หรือส่งตั๋วโดยใช้พอร์ทัลระบบส่วนหลัง
MsgScrTroubleshootSubmitTicketFieldsRequired,*จำเป็นต้องกรอกทุกช่อง
MsgScrTroubleshootSubmitTicketLetUsKnow,แจ้งให้เราทราบโดยชัดเจนว่าเกิดอะไรขึ้น!
MsgScrTroubleshootSubmitTicketFirstLastName,ชื่อและนามสกุล
MsgScrTroubleshootSubmitTicketYourEmail,อีเมลแอดเดรสของคุณ
MsgScrTroubleshootSubmitTicketContactPhone,หมายเลขโทรศัพท์ที่ติดต่อได้
MsgScrTroubleshootSubmitTicketYourRevelUrl,URL RevelUp/ ที่อยู่ของคุณ
MsgScrTroubleshootSubmitTicketEstablishment,หมายเลขที่ติดตั้ง
MsgScrTroubleshootSubmitTicketContactReason,เหตุผลในการติดต่อ
MsgScrTroubleshootSubmitTicketServiceType,ประเภทการบริการ
MsgScrTroubleshootSubmitTicketIssueArea,ขอบเขตของปัญหา
MsgScrTroubleshootSubmitTicketIssueAreaSelect,เลือกขอบเขตของปัญหา
MsgScrTroubleshootSubmitTicketMessageSubject,ชื่อเรื่องของข้อความ
MsgScrTroubleshootSubmitTicketTypeMessage,พิมพ์ข้อความของคุณที่นี่
MsgScrSettingsCheckSyncStatus,ตรวจสอบสถานะการซิงก์
MsgScrSettingsInventory,สินค้าคงเหลือ
MsgScrSettingsSendNewProducts,ส่งผลิตภัณฑ์ใหม่
MsgScrSettingsManagerSettings,การตั้งค่าผู้จัดการ
MsgScrSettingsBluetoothPrinting,การพิมพ์บลูธูท
MsgScrSettingsCashCreditLog,บันทึกเงินสดและเครดิต
MsgScrSettingsClockInClockOutOptions,ตัวเลือกการลงเวลาเข้า/เวลาออกงาน
MsgScrSettingsSaveClockInPhotosLibrary,บันทึกภาพถ่ายในไลบรารีภาพถ่าย
MsgScrSettingsTills,ลิ้นชักเก็บเงิน
MsgScrSettingsCurrentTill,ลิ้นชักเก็บเงินปัจจุบัน
MsgScrSettingsCashDrawers,ลิ้นชักเก็บเงิน
MsgScrSettingsOfflineCreditCards,บัตรเครดิตแบบออฟไลน์
MsgScrSettingsPaymentConfiguration,การกำหนดค่าการชำระเงิน
MsgScrSettingsSystemInfo,ข้อมูลระบบ
MsgScrSettingsPrevailingTax,ภาษีทั่วไป
MsgScrSettingsTrainingMode,โหมดการฝึกอบรม
MsgScrSettingsEnableTrainingMode,ออกจากโหมดการฝึกอบรม
MsgScrSettingsEnableTemplateTestMode,เปิดใช้งานโหมดการทดสอบ
MsgScrSettingsTrainingTemplatesMode,โหมดการฝึกอบรม
MsgScrSettingsAutologout,ออกจากระบบอัตโนมัติ
MsgScrSettingsFonts,ตัวอักษร
MsgScrSettingsProductBoxFontSize,ขนาดตัวอักษรกล่องผลิตภัณฑ์
MsgScrSettingsPrinting,การพิมพ์
MsgScrSettingsCardSwipeType,ประเภทบัตรรูด
MsgScrSettingsVersion,รุ่น
MsgScrSettingsEstablishmentID,รหัสเครื่องที่ติดตั้ง
MsgScrSettingsStationName,ชื่อเครื่องบริการ
MsgScrSettingsBackendTaxCurTax,ภาษีส่วนหลัง: %.3f%% ภาษีปัจจุบัน: %.3f%%
MsgScrSettingsTax,เก็บภาษี:
MsgScrSettingsSavePhotoPhotoLibrary,บันทึกภาพถ่ายในไลบรารีภาพถ่าย
MsgScrSettingsAllowEmployeesSetTills,อนุญาตให้พนักงานตั้งค่าลิ้นชักเก็บเงิน
MsgScrSettingsAllowEmployeesSetCashDrawer,อนุญาตให้พนักงานตั้งค่าลิ้นชักเก็บเงิน
MsgScrSettingsEnable2CashDrawers,เปิดใช้งานสองลิ้นชักเก็บเงิน
MsgScrSettingsDisableOfflineCreditCards,ปิดการใช้งานบัตรเครดิตแบบออฟไลน์
MsgScrSettingsCreditCardConnectionTimeout,หมดเวลาการเชื่อมต่อบัตรเครดิต (วินาที)
MsgScrSettingsMaxTotalForAllUnprocessedOfflinePayments,ยอดรวมสูงสุดสำหรับการชำระเงินแบบออฟไลน์ที่ไม่ได้ดำเนินการ
MsgScrSettingsMaxTotalForAllUnprocessedDeclinePayments,ยอดรวมสูงสุดสำหรับการชำระเงินที่ถูกปฏิเสธที่ไม่ได้ดำเนินการ
MsgScrSettingsAcceptOfflineCC,บัตรเครดิตแบบออฟไลน์
MsgScrSettingsMaxAmountForOfflinePayment,จำนวนเงินสูงสุดสำหรับการชำระเงินแบบออฟไลน์
MsgScrSettingsPromptSetTills,แจ้งให้ทำการตั้งค่าลิ้นชักเก็บเงิน
MsgScrSettingsEnableTestMode,เปิดใช้งานโหมดการทดสอบ
MsgScrSettingsKitchenPrintForTestMode,ใบพิมพ์สำหรับห้องครัว
MsgScrSettingsTimeoutValueShouldNotBeZero,ค่าหมดเวลาไม่ควรเป็นศูนย์
MsgScrSettingsAmountValueShouldNotBeZero,ค่าจำนวนเงินไม่ควรเป็นศูนย์
MsgScrSettingsTaxRate10,อัตราภาษี: 10 %
MsgScrSettingsDisableClockInRequired,จำเป็นต้องปิดใช้งานการลงเวลาเข้า
MsgScrSettingsAutologoutOnDone,การออกจากระบบโดยอัตโนมัติ ‘เสร็จแล้ว’
MsgScrSettingsTOTALCASH,ยอดรวมเงินสด
MsgScrSettingsTOTALCREDIT,ยอดรวมเครดิต
MsgScrSettingsTOTALCHECK,ยอดรวมเช็ค
MsgScrSettingsTOTALGIFTCERT,ยอดรวมบัตรกำนัล
MsgScrSettingsEmailReceipt,อีเมลใบเสร็จ
MsgScrSettingsChooseADrawer,เลือกลิ้นชัก
BtnScrSettingsDrawer,ลิ้นชัก
MsgScrSettingsSelectDateRange,เลือกช่วงวันที่
MsgScrSettingsTotalCashReports,รายงานยอดรวมเงินสด
MsgScrSettingsPrintCashLog,พิมพ์บันทึกเงินสด
MsgScrSettingsPrintCashLog2,พิมพ์\nบันทึกเงินสด
MsgScrSettingsEmailPaymentLog,อีเมลบันทึกการชำระเงิน
MsgScrSettingsPrintPaymentSummary,พิมพ์ยอดสรุปการชำระเงิน
MsgScrSettingsPrintPaymentLog,พิมพ์บันทึกการชำระเงิน
MsgScrSettingsPrintSalesReport,พิมพ์รายงานยอดขาย
MsgScrSettingsOverridePrevailingTax,ภาษีทั่วไป
MsgScrSettingsPrevailingTaxAmount,ภาษีทั่วไป
MsgScrSettingsFailedLoadTimeSheet,โหลดแผ่นงานเวลาล้มเหลว
MsgScrSettingsFailedLoadTimeSheetOffline,ไม่สามารถเชื่อมต่อเซิร์ฟเวอร์
MsgScrSettingsPages,หน้า %d จาก %d
MsgScrSettingsClockInClockOut,การลงเวลาเข้า: %@ การลงเวลาออกงาน: %@
MsgScrSettingsEditTipsAllStations,แก้ไขทิป - เครื่องบริการทั้งหมด
MsgScrSettingsCaptureThisStation,เก็บข้อมูลเครื่องบริการนี้
MsgScrSettingsCapture,เก็บข้อมูล
MsgScrSettingsSort,คัดแยก
MsgScrSettingsCaptureAllView,เก็บข้อมูลการเรียกดูทั้งหมด
MsgScrSettingsAllStations,เครื่องบริการทั้งหมด
MsgScrSettingsThisStation,เครื่องบริการนี้
MsgScrSettingsOrderID2,รหัสคำสั่งซื้อ
MsgScrSettingsPaymentDateTime,วันที่/เวลาการชำระเงิน
MsgScrSettingsBusyProcessingBatch,ไม่ว่างเนื่องจากกำลังดำเนินการประมวลผลแบบกลุ่ม... โปรดกลับมาภายหลัง
MsgScrSettingsTrNrOrderIdCardL4D,"หมายเลขธุรกรรม, รหัสคำสั่งซื้อ, 4 หลักสุดท้ายของบัตร, ชื่อของผู้ถือบัตร หรือนามสกุลของผู้ถือบัตร"
MsgScrSettingsSomeTrNotAppr,ธุรกรรม %d ไม่ได้รับการอนุมัติ ตรวจสอบหน้าจอการชำระเงินที่ถูกปฏิเสธสำหรับรายละเอียด
MsgScrSettingsProcessed,ดำเนินการแล้ว
MsgScrSettingsAutoCaptureFailed,การเก็บข้อมูลอัตโนมัติล้มเหลว เนื่องจากหน้าจอการประมวลผลเชิงกลุ่มกำลังทำงานอยู่ โปรดดำเนินการเก็บข้อมูลทั้งหมดด้วยตนเอง
MsgScrSettingsSomeFailed2Capture,%d ล้มเหลวในการเก็บข้อมูล
MsgScrSettingsCaptureFailed,การเก็บข้อมูลล้มเหลว
MsgScrSettingsTransactionCaptureFailed,การเก็บข้อมูลธุรกรรมล้มเหลว โปรดลองอีกครั้งในภายหลัง
MsgScrSettingsCaptureAllStations,เก็บข้อมูลเครื่องบริการทั้งหมด
MsgScrSettingsDoUWant2CaptueAllPayments,คุณต้องการเก็บข้อมูลการชำระเงินที่ถูกซิงก์กับเครื่องบริการ POS ทั้งหมดหรือไม่? โปรดแน่ใจว่า เครื่องบริการ POS อื่นยังคงทำงานอยู่ และมีการเชื่อมต่อกับอินเทอร์เน็ต
MsgScrSettingsCaptureAllTransaction,เก็บข้อมูลธุรกรรมทั้งหมด
MsgScrSettingsEnsureAllInfoIsCorr,โปรดแน่ใจว่า ข้อมูลทั้งหมดนั้นถูกต้อง ก่อนที่จะดำเนินการนี้ การดำเนินการนี้อาจใช้เวลาสักครู่ โดยขึ้นอยู่กับจำนวนของธุรกรรมและการเชื่อมต่ออินเทอร์เน็ต\n\nมี %d ของธุรกรรมที่ต้องเก็บข้อมูล\n\nคุณต้องการดำเนินการกับงานนี้หรือไม่?
MsgScrSettingsNothingToCapture,ไม่มีสิ่งใดให้เก็บข้อมูล
MsgScrSettingsCaptureAllCaptureView,การเก็บข้อมูลสามารถทำได้เฉพาะมุมมองการเก็บข้อมูลเท่านั้น
MsgScrSettingsNoPaymentsFound,ไม่พบการชำระเงิน
MsgScrSettingsNrPayments,%d การชำระเงิน
MsgScrSettingsCaptureAll,เก็บข้อมูลทั้งหมด
