LocaleIdentifier,QA
BtnADDTIP,ЖADD TIP
BtnOptions,ЖOptions
BtnFinalize,ЖFinalize
BtnLogout,ЖLogout
BtnInventory,ЖInventory
BtnDefault,ЖDefault
BtnClosed,ЖClosed
BtnWait,ЖWait
BtnDriveOff,ЖMark as\nDrive-Off
BtnGoToTransaction,ЖGo to\nTransaction
BtnProceed,ЖProceed
BtnNext,ЖNext
BtnNegative,ЖNegative
BtnSetTip,ЖSet Tip
BtnNoReceipt,ЖNo Receipt
BtnEmail,ЖEmail
BtnFind,ЖFind
BtnOther,ЖOther
BtnAddNew,ЖAdd New
BtnOwn,ЖOwn
BtnResetAll,ЖReset All
BtnReset,ЖReset
BtnChange,ЖChange
BtnContinue,ЖContinue
BtnStartOver,ЖStart Over
BtnNoThanks,ЖNo Thanks
BtnConfirm,ЖConfirm
BtnCancelPayment,ЖCancel\nPayment
BtnCancelServiceFee,ЖCancel\nService Fee
BtnSubmitTicket,ЖSubmit Ticket
BtnSendTicket,ЖSend Ticket
MsgSearch,ЖSearch
MsgConnecting,ЖConnecting...
MsgInvalidPIN,ЖInvalid PIN
MsgInvalidPassword,ЖInvalid Password
MsgDebugMode,ЖDEBUG MODE
MsgEnterAmount,ЖEnter Amount
MsgTipIncluded,ЖIncluded
MsgTipIncludedShort,ЖSvc. Chg. Inc.
MsgConnectionFailed,ЖConnection Failed
MsgErrorOnPrinting,ЖAn error occurred while printing.
BtnTextSMS,ЖSMS
BtnRemove,ЖRemove
BtnExpensify,ЖExpensify
BtnBegin,ЖBegin
BtnPrintPDF,ЖPrint PDF
BtnIUnderstand,ЖI Understand
BtnEnterNewEmail,ЖEnter New Email
MsgUnknownError,ЖUnknown error
MsgDeleted,ЖDeleted
MsgMainNotFound,ЖNo Main
MsgMainFound,ЖOnline
MsgPlainNew,ЖNew
BtnTimeClock,ЖTime Clock
MsgYes,ЖYes
MsgNo,ЖNo
MsgWith,Жwith
MsgWithAbbreviation,Жw/
MsgEachAbbreviation,Жea.
MsgNote,ЖNote
MsgDoYouWantToContinue,ЖDo you want to continue?
MsgApplicationIsDisabled,"ЖIt appears that operating system of this device has been modified. In order to maintain security, Revel POS requires this to be corrected in order to run. Please contact Revel support."
MsgPaymentDueWarning,"ЖYour monthly bill remains unpaid, despite multiple reminders. If this is not resolved immediately, your POS application access will be terminated.\n\nTo continue transacting, please make your payment using our billing portal by clicking on the link located at the top right end corner of your Revel management console. If you are not able to pay through the portal, please call our billing team between 9 AM and 6 PM PST at 415-744-1433 ext 3.\n\nThank you,\n\nRevel Systems"
MsgPaymentDueWarningDisableBackend,ЖIMMEDIATE ACTION REQUIRED: Account Deactivation Imminent
MsgPaymentDueWarningDisableFrontend,ЖIMMEDIATE ACTION REQUIRED: Account Has Been Deactivated. Please Contact Revel Billing at 415-744-1433 ext 3
MsgWrongVersion,ЖPOS station version %@ differs from main station version %@. Make sure versions match to restore communication between stations.
MsgWrongTime,ЖPOS station time %@ differs from main station time %@. Make sure time matches to restore communication between stations.
MsgMainStationAbsent,ЖPlease set main to communicate with server.
MsgInvalidNetwork,ЖPrinter and card swipe will not work unless you connect to the correct Revel Wireless Network.
MsgSettingsRefreshRequired,ЖSettings refresh required.  Please log out and refresh will start automatically.
MsgTroubleshootModeIsOnAlert,ЖTroubleshoot Mode is ON. Go to Manager Settings and select Troubleshoot Mode to turn it OFF.
MsgFiscalReceiptOrderTotalIsZero,ЖOrder total is zero. No fiscal receipt is going to be printed.
MsgFiscalReceiptOrderHasZeroItem,ЖOrder contains item priced as zero. No fiscal receipt is going to be printed. Remove this item to print the receipt.
MsgProductName,ЖProduct Name
MsgActionCancelled,ЖAction Cancelled
MsgWaitingForPinPad,ЖWaiting for PinPad
MsgPurchaseCorrection,ЖPurchase Correction
MsgPleaseAskCustomerToPressRedButtonOnPinPad,ЖPlease ask customer to press Red button on PinPad
MsgPaymentNotAddedToCurrentOrder,ЖPayment was not added to current order.\nPlease contact customer support!
MsgPaymentFailedToAddCurrentOrder,ЖFailed to add payment to current order. Error code - %d\nPlease contact customer support!
MsgUnableToCompletePayment,ЖYou are trying to close a ticket owned by %@.\nPlease enter a Manager PIN to proceed.
MsgUnableToCompletePaymentSwipeCard,ЖYou are trying to close a ticket owned by %@.\nPlease swipe a Manager card to proceed.
MsgUpdating,ЖUpdating
MsgLockingFuelTransaction,ЖLocking fuel transaction
MsgReleasingLock,ЖReleasing lock
MsgPaymentRefundNotSupportedCalliZettleCustomerSupport,ЖRefund is not supported. Please contact iZettle customer support!
MsgVoidRefundDisabledWhenFiscalPrinted,ЖYou can not perform this action when fiscal receipt is printed.
MsgSyncingToCloud,ЖSyncing to the cloud
MsgUINotificationShowingNotificationNumberFromStack,ЖShowing 1 of %d
MsgSelected,ЖSelected
MsgPaypalEnterName,ЖEnter Name
MsgPaypalSelectCustomer,ЖSelect Customer
MsgPaypalCustomers,ЖChecked In Customers
MsgPaypalInvoiceCreateFailed,ЖPayment Failed\n[%d %@]
MsgPaypalLocationsFetchFailed,ЖPayPal server is not available.
MsgPaypalPaymentConfirm,ЖCharge %@ to %@ using PayPal?%@
MsgPaypalPaymentApprovedTitle,ЖTransaction Approved
MsgPaypalPaymentApprovedText,Ж%@ charged to %@ using PayPal.
MsgPaypalPaymentDeniedTitle,ЖTransaction Denied
MsgPaypalPaymentDeniedText,Ж%@ was not charged to %@ using PayPal.
MsgPaypalPaymentMinAmount,ЖMinimum amount for credit card payment is %@.
MsgPaypalPaymentMaxAmount,ЖMaximum amount for credit card payment is %@.
MsgPaypalTipAmountExceed,ЖTip amount cannot exceed the amount of the receipt.
MsgPaypalUnauthRequest,ЖUnauthorized Request
MsgPaypalTenderByOtherMeans,ЖTENDER BY OTHER MEANS
MsgPaypalCorrection,ЖCorrection
MsgPaypalCheckSettings,ЖPlease check your settings...
MsgPaypalCorrelationId,ЖCorrelation ID
MsgPaypalUnknownError,ЖUnknown Error
MsgPayPalOrderHasSplitBills,"ЖOrder has split bills. Please, pay each split bill separately"
MsgCrashTitle,ЖIt looks like the POS just crashed.
MsgCrashPlaceholder,ЖPlease briefly state what you were doing when the crash occurred.
MsgScalesNet,ЖNET 
MsgScalesMultiplyTare,ЖMultiply Tare
MsgScalesSetTare,ЖSet Tare
MsgScalesEnterWeight,ЖEnter Weight
MsgScalesTare,ЖTare
MsgScalesOverrideError,ЖYou can only override the weight when the displayed weight equals 0.0.
MsgScalesSelectTareCount,ЖSelect Tare Count
MsgScalesCurrentTare,ЖCurrent Tare
MsgScalesWeight,ЖWeight
MsgScalesPrice,ЖPrice
MsgScalesInputTare,ЖInput Tare
MsgScalesEnterTareWeight,ЖEnter Tare Weight
MsgBarcodeScanProduct,ЖScan Product
MsgBarcodeScanDiscountCode,ЖScan Discount Code
MsgBarcodeEnterBarcode,ЖEnter Barcode
MsgBarcodeEnterBarcodeWithTouch,ЖTouch here to enter barcode.
MsgBarcodeProductNotFound,ЖProduct with entered barcode\n%@\nwas not found
MsgBarcodeProductCloseMatch,ЖNo exact match found. Near matches:
MsgBarcodeTheExactMatchesFound,ЖMatches found:
MsgBarcodeSeveralProductsOrIngredientsWereFound,ЖThese Products and Ingredients were found:
MsgBarcodeSelectProduct,ЖSelect product
MsgBarcodeNameorBarcode,ЖName or Barcode
MsgBarcodeNameorBarcodePhone,ЖName/Barcode
MsgBarcodeProductNotActive,ЖProduct with entered barcode\n%@\nis not active
MsgBarcodePleaseClosePayView,ЖCannot add item. Please close Pay Screen to add items to the order.
MsgMeasureUnitPounds,ЖPounds
MsgMeasureUnitKilograms,ЖKilograms
MsgMeasureUnitLiters,ЖLiters
MsgMeasureUnitGallons,ЖGallons
MsgMeasureUnitCubicMeters,ЖCubic Meters
MsgMeasureUnitShortPounds,ЖLb
MsgMeasureUnitShortKilograms,ЖKg
MsgMeasureUnitShortLiters,ЖL
MsgMeasureUnitShortGallons,ЖG
MsgMeasureUnitShortCubicMeters,Жm3
BtnPayTransaction,ЖPay\nTransaction
BtnClearTransaction,ЖClear\nTransaction
BtnStackTransaction,ЖStack\nTransaction
BtnOrderFastCreditShell,ЖFast\nCredit
BtnOrderFastCashShell,ЖFast\nCash
BtnGasStationActionBlockPump,ЖDisable\nPump
BtnGasStationActionUnblockPump,ЖEnable\nPump
BtnGasStationActionTogglePumpLights,ЖToggle\nPump Lights
BtnGasStationActionStopAllPumps,ЖStop All\nPumps
BtnGasStationActionStopPump,ЖStop\nPump
BtnGasStationActionReservePump,ЖReserve\nPump
BtnGasStationActionPrePay,ЖPre-Pay
BtnGasStationActionCancelReservePump,ЖCancel\nReserve
BtnGasStationActionAuthorizePump,ЖAuthorize\nPump
BtnGasStationActionCancelAuthorizePump,ЖCancel\nAuthorize
BtnGasStationActionPausePump,ЖPause\nDispensing
BtnGasStationActionResumePump,ЖResume\nDispensing
BtnGasStationForecourtConnectionLost,ЖForecourt connection lost. Reconnecting
BtnGasStationForecourtConnected,ЖForecourt connected
BtnGasStationFuelling,ЖFuelling
MsgGasStationChooseTransactionToWork,ЖManage Transaction(s):
MsgLockedBy,ЖLocked by
MsgReservedBy,ЖReserved by
MsgConfirmation,ЖConfirmation
LblGasStationCurrentTransaction,Ж (Current)
LblGasStationStackTransaction,Ж (Stacked)
MsgGasStationTransactionInfo,ЖTRANSACTION INFO:\n\nTransaction #%d\nPump number: %d\nDue Amount: %@\nVolume: %.2f
MsgGasStationDriveOffTitle,ЖAttention Required on %@
MsgGasStationAttentionRequiredMessage,Ж%@ %.2f %@ / %@ \nThis transaction on %@ has not been paid.\nPlease take action immediately.
MsgGasStationDeliveryNotPaid,ЖDelivery Not Paid
MsgGasStationRefundTitle,ЖPlease Refund
MsgGasStationNeedRefund,ЖNeed to Refund
MsgGasStationNeedClear,ЖNeed to Clear
MsgGasStationCantHoldTransaction,ЖCan't hold transaction. Transaction includes fuel products.
MsgGasStationCantRemoveTransaction,ЖCan't remove current transaction. Transaction includes fuel products.
MsgGasStationStopPumpConfirmation,ЖDo you really want to stop pump %@?
MsgGasStationStopAllPumpsConfirmation,ЖDo you really want to stop ALL pumps?
MsgGasStationConfirmationTitle,ЖConfirmation:
MsgGasStationCantAddFuelProductHoseBlocked,ЖCan't add Fuel Product to the transaction. The Hose is Blocked
MsgGasStationRefundPrompt,"ЖCustomer paid %@, but get fuel only for %@\nDo you want to refund %@?"
MsgGasStationTransactionClearPrompt,ЖTransaction has finished but did't clear.\nWould you like to clear it?
MsgGasStationTransactionLockedByTermId,ЖWARNING:\nThis transaction has locked by terminal with Id
MsgGasStationFuelTransactionIsAlreadyInTheOrderCloseCurrent,ЖFuel Txn #%d has already been paid in Transaction #%@. Please close the current transaction to open a past transaction.
MsgGasStationFuelTransactionIsAlreadyInTheOrder,ЖFuel Txn #%d has already been paid in Transaction #%@.
MsgGasStationPumpHasReserverByThisTerminal,Ж%@ has reserved by this terminal. Please cancel reservation.
MsgGasStationPumpHasReserverTransactionByThisTerminal,Ж%@ has current transaction with id %d reserved by this terminal. Please cancel reservation.
MsgGasStationPumpHasStackTransactionReservedBytThisTerminal,Ж%@ has stack transaction with id %d reserved by this terminal. Please cancel reservation.
MsgGasStationFuelGrade,ЖFuel Grade
MsgGasStationDueAmount,ЖDue Amount
MsgGasStationVolume,ЖVolume
MsgGasStationFuelTransactionNotFound,ЖCan't find fuel transaction with id %d on %@
MsgGasStationCanNotLogOutFromEnabler,ЖCan't logout from Enabler EMB.\nPlease try again.
MsgGasStationChooseFuelGradeAndAmount,ЖChoose Fuel Grade & Amount
MsgGasStationForecourtUpdatedRefreshRequired,ЖForecourt controller has been updated. Please reconnect this terminal to Forecourt.
MsgGasStationNumberOfPumpsHasBeenChanged,ЖForecourt configuration has been updated. Number of Pumps has been changed.
MsgGasStationErrorForecourtIPisNotSet,ЖForecourt Controller IP address is not set.\nPlease check backend settings.
PaymentPumpTest,ЖPump Test
MsgGasStationPumpTest,ЖPump Test - %@
MsgGasStationPumpTestMessage,ЖTest Amount: %.2f %@\n\nSource Tank: %@\n\nTarget Tank:
MsgGasStationPumpTestConfirmationMessage,ЖThe Target Tank is different from the Source Tank.\nAre you sure you want to return fuel to a different tank?\n\nSource: %@\n\nTarget: %@
MsgGasStationPumpTestErrorCantProcess,"ЖTo process the transaction as a Pump Test, please have only a single fuel item in the transaction."
MsgGasStationPump,ЖPump
MsgGasStationHose,ЖHose
MsgGasStationSourceTank,ЖSource Tank
MsgGasStationTargetTank,ЖTarget Tank
MsgGasStationClearTypeNormal,ЖNormal
MsgGasStationClearTypeTest,ЖTest
MsgGasStationClearTypeDriveOff,ЖDrive Off
MsgGasStationClearTypeAttendant,ЖAttendant
MsgGasStationAuthorizePromptTitle,ЖAuthorize %@?
MsgGasStationCantAuthorizePump,ЖCan't authorize %@. The pump is blocked.
MsgGasStationCantManagePump,ЖCan't manage %@. This pump has reserved by terminal with id %d.
MsgGasStationPumpAskingAuthorization,ЖThis pump is asking for authorization. Would you like to authorize %@?
MsgGasStationTransaction#,ЖTransaction #
MsgGasStationTxn#,ЖTxn #
BtnGasStationCancelTransaction,ЖCancel Transaction
BtnGasStationCloseTransaction,ЖClose Transaction
BtnGasStationHoldTransaction,ЖHold Transaction
BtnGasStationHeaderOrders,ЖTransactions
BtnPinLogin,ЖLogin
BtnPinClockIn,ЖClock In
BtnPinClockOut,ЖClock Out
BtnPinRefresh,ЖRefresh
BtnPinClear,ЖClear
BtnSwipeLogin,ЖLogin by Swipe
BtnPinReset,ЖReset
MsgClockOutBreak,ЖBreak
BtnEndBreak,ЖEnd Break
MsgOrdersReportWarningOpenUnsyncedOrders,ЖYou have open and/or unsynced orders:
MsgOrdersReportWarningCloseOrders,"ЖPlease close your orders first and wait for them to sync, or input a Manager PIN to complete clock out."
MsgLengthOfBreak,ЖLength of Break
BtnManagerOverride,ЖManager\nOverride
BtnClockInAsRole,ЖClock In as\n%@
MsgPaidBreak,ЖPaid Break
MsgUnpaidBreak,ЖUnpaid Break
MsgTakeABreak,ЖTake a Break
MsgPinDataNotDownloaded,ЖMenu data has not downloaded from the server.
MsgPinRefreshDataTitle,ЖRefresh POS
MsgPinRefreshDataContent,ЖRefreshing the POS may take a while and should only be performed when the backend has changed. Do you want to continue?
MsgPinUserNotLocked,ЖUser is not locked to this POS.
MsgPinUserIdIsNotAssigned,ЖUser id is not assigned.\nPlease refresh POS station
MsgPinUnableToAccessPos,ЖUnable to access the POS.
MsgUserRequireAdminCardSwipe,ЖThis user must use an admin card to log in.
MsgPinInvalidPin,ЖYou have entered an invalid PIN.\nPlease try again.
MsgPinPOSNotSet,ЖNo Establishment or POS Station set!\n\nPlease Refresh!
MsgPinVersion,ЖVersion: %@\nMAC Address For This Device:\n %@
MsgPinSelectStation,ЖSelect a Station
MsgPinPleaseSelectStation,ЖPlease select a station
MsgPinResetConfirm,ЖErase all data and reset the application?
MsgPinSentToEmail,ЖYour PIN has been sent to %@.
MsgPinPleaseUsePinToLogin,ЖPlease use 1234 to login Revel Systems POS app.
MsgPinInvalidIdentification,ЖYour POS station '%@' ID %@ does not match the backend settings.
MsgPinInvalidIPAddress,ЖThe IP address of POS station '%@' does not match backend settings.
MsgPinIdentificationUpdateSuccess,ЖUpdated POS station '%@' ID successfully. Please refresh all stations.
MsgPinIdentificationUpdateFail,ЖFailed to update POS station '%@' ID.
MsgPinIPAddressUpdateSuccess,ЖUpdated POS station '%@' IP address successfully. Please refresh all stations
MsgPinIPAddressUpdateFail,ЖFailed to update POS station '%@' IP address.
MsgPinInvalidSettingsTitle,ЖYour settings do not match.
MsgPinInvalidLoginMethod,ЖPlease login via card swipe.  Manual input is not supported.
MsgPinRedirectedPrintersInfo,ЖYou have %d redirected printer(s)
MsgPinMaxFailedLoginAttemptPOSLocked,ЖPOS locked due to excessive login failures
MsgUserRequireAdminCard,ЖThis user must use an admin card to %@.
MsgProvisionEnterPin,ЖEnter Provision PIN
MsgProvisionPin,ЖProvision PIN
MsgUseProvisionPin,ЖUse Provision PIN
MsgDiningTitle,ЖDining Option
MsgDiningOrderOptionTitle,ЖOrder Option
MsgDiningEatInOrTakeOut,ЖEat in or take out?
MsgDiningTakeOut,ЖTake Out
MsgDiningWebOrder,ЖOnline Order
MsgDiningWebInvoice,ЖOnline Invoice
MsgDiningCatering,ЖCatering
MsgDiningDriveThrough,ЖDrive Through
MsgDiningShipping,ЖShipping
MsgDiningOther,ЖOther
MsgDiningRetail,ЖRetail
MsgDiscountTitle,ЖDiscount
MsgDiscountSelectItemTitle,ЖSelect Item for Discount
MsgDiscountSelectDiscount,ЖSelect Discount
MsgDiscountCreateOrderFirst,ЖPlease create the order first.
MsgDiscountItemAmountTooSmall,ЖItem does not meet minimum amount for discount.
MsgDiscountAmount,ЖAmount
MsgDiscountValue,ЖValue
MsgDiscountAmountOff,ЖAmount off
MsgDiscountPercent,ЖPercent
MsgDiscountReprice,ЖReprice
MsgDiscountAltPrice,ЖAltPrice
MsgDiscountEnterAmount,ЖEnter Amount
MsgDiscountEnterValue,ЖEnter Value
MsgDiscountTaxed,ЖTaxed
MsgDiscountEnterReason,ЖEnter Reason
MsgDiscountEnterReasonAndAmount,ЖPlease enter both a reason and an amount.
MsgDiscountEnterAnotherReason,ЖPlease enter another discount reason.
MsgDiscountNoDiscountsForCode,ЖNo active discounts found for the supplied discount code.
MsgDiscountLoaylTreeWait,ЖWaiting for LoyalTree response...
MsgDiscountLoaylTreeTitle,ЖLoyalTree
MsgDiscountLoaylTreeReset,ЖTo apply this discount you must first cancel LoyalTree rewards.
MsgDiscountRegularPrice,ЖRegular Price
MsgDiscountSavingValue,ЖSavings
MsgDiscountType,ЖDiscount Type
MsgNoDiscountsToApply,ЖNo discounts to apply.
MsgDiscountENTCardAmountHasBeenReturned,ЖENT amount has been returned to the card
MsgDiscountENTCardDoesntBelongToAnyUser,ЖInvalid Card. The card entered does not belong to any user.
MsgDiscountENTCardDoesntBelongToCurrentUser,ЖInvalid Card. The card entered does not belong to %@
MsgDiscountENTCardTipWontBeAppliedForENT,ЖTips will not be applied with ENT Cards
MsgDiscountENTCardDisabled,ЖPlease enable ENT Cards on the backend to proceed
MsgPleaseRemoveOrderDiscountToProceedENTCard,ЖPlease remove order discount to proceed ENT card
MsgDiscountENTCardCantApplyToPartiallyPaid,ЖENT card can't be applied to partially paid order
MsgDiscountENTNotSupported,ЖENT Cards are not supported in current POS mode
MsgDiscountENTCardCantUpdate,ЖBalance of ENT card can't be updated
MsgStoreCreditCardCantUpdate,ЖBalance of Store Credit card can't be updated
BtnDiscountScan,ЖScan
BtnDiscountPart,Ж% Discount
BtnDiscountNoDiscount,ЖNo Discount
BtnApplyDiscounts,ЖApply Discounts
MsgChoosePrevailingTaxes,ЖChoose Prevailing Taxes
MsgTitleSelectTaxExeptionReason,ЖSelect Tax Exemption Reason
MsgTaxExemptionReasonPaidWithEBT,ЖPaid for with EBT
MsgTaxExemptionReasonColdItem,ЖCold Item To Go
MsgTaxExemptionReasonColdItemDelivery,ЖCold Item Delivery
MsgTaxExemptionReasonTaxFreeCustomer,ЖTax Free Customer
MsgTaxExemptionReasonZeroTaxRate,ЖZero Tax Rate
MsgServiceFeeTitle,ЖService Fee
MsgServiceFeeAmountOff,ЖAmount Added
MsgServiceFeeAmount,ЖAmount
MsgServiceFeeEnterAmount,ЖEnter Amount
MsgServiceFeeEnterReason,ЖEnter Reason
MsgServiceFeePercent,ЖPercent
MsgServiceFeeTaxed,ЖTaxed
MsgServiceFeePostTax,ЖPost Tax
MsgServiceFeeEnterReasonAndAmount,ЖPlease enter both a reason and an amount.
MsgServiceFeePleaseEnterPositiveServiceFeeValue,ЖPlease enter a positive value.
BtnServiceFeesTitle,ЖService Fee
BtnServiceFeesNoServiceFee,ЖNo Service Fee
MsgServiceFeeWrongName,ЖA service fee with the same name already exists. Please rename this fee or apply a different fee.
MsgServiceFeeAlreadyHasServiceFees,ЖThis order already has service fee(s).\n Please drag the fees into the order they should be applied.
MsgServiceFeeAdded,ЖA service fee of %@ has been added \nfor %@ payment.
MsgBalanceDue,ЖBalance Due
MsgServiceFee,ЖService Fee
MsgServiceFeeCardType,ЖService Fee - Card Type
MsgServiceFeeChooseCardType,ЖPlease choose the Card Type below.
MsgNoFee,ЖNo Fee
MsgServiceFeeForCreditPayments,ЖThere is a service fee for credit payments.
MsgOldTotal,ЖOld Total
MsgNewTotal,ЖNew Total
MsgOrderFieldName,ЖName
MsgOrderFieldQty,ЖQty
MsgOrderFieldEach,ЖEach
MsgOrderFieldTotal,ЖTotal
MsgOrderTotalsDiscount,ЖTotal Discounts:
MsgOrderTotalsSubtotal,ЖSub Total:
MsgOrderTotalsSubtotal2,ЖSubtotal:
MsgOrderTotalsSurcharge,ЖSurcharge:
MsgOrderTotalsTax,ЖTax:
MsgOrderTotalsTotal,ЖTOTAL:
MsgOrderTotalsTotal2,ЖTotal:
MsgOrderTotalsDue,ЖBalance Due:
MsgOrderInvoiceTitle,ЖInvoice
MsgOrderInvoiceErrorNoCustomer,ЖNo Customer
BtnOrderCancelInvoice,ЖCancel Inv.
BtnOrderCancelOrder,ЖCancel Order
BtnOrderPayOrder,ЖPay Order
BtnOrderHoldOrder,ЖHold Order
BtnOrderOpenOrder,ЖOpen Order
BtnOrderOpenInvoice,ЖOpen Inv.
BtnOrderSendOrder,ЖSend Order
BtnOrderSendInvoice,ЖSend Inv.
BtnOrderHoldInvoice,ЖHold Inv.
BtnOrderCloseInvoice,ЖClose Inv.
BtnOrderSaveOrder,ЖSave Order
BtnOrderResetMenu,ЖReset Menu
BtnOrderBackMenu,ЖBack
BtnOrderPay,ЖPay
BtnOrderPayAgain,ЖPay Again
BtnOrderSetGuestCount,ЖGuest\nCount
BtnOrderDeliveryClockOut,ЖDriver\nClock Out
BtnOrderDeliveryClockIn,ЖDriver\nClock In
BtnOrderAddGratuity,ЖAdd\nGratuity
BtnOrderRemoveGratuity,ЖRemove\nGratuity
BtnOrderAutoGratuity,ЖAuto\nGratuity
BtnOrderFastCredit,ЖFast Credit
BtnOrderFastCash,ЖFast Cash
BtnOrderAddExtraItem,ЖAdd\nExtra Item
BtnOrderDonate,ЖDonate
BtnOrderDiscountOrder,ЖDiscount\nOrder
BtnOrderDiningOption,ЖDining\nOption
BtnOrderOrderOption,ЖOrder\nOption
BtnOrderPrintGuestCheck,ЖPrint\nGuest Check
BtnOrderEnterBarcode,ЖEnter\nBarcode
BtnOrderOpenCashDrawer,ЖOpen\nCash Drawer
BtnOrderMoveTable,ЖMove\nTable
BtnOrderTransferOwner,ЖTransfer\nOwner
BtnOrderRemoveTax,ЖRemove\nTax
BtnOrderAddTax,ЖAdd\nTax
BtnOrderSetTax,ЖSet\nTax
BtnOrderAttachCard,ЖLink Card\nto Order
BtnOrderAttachOtherCard,ЖLink Other\nCard
BtnUseShipping,ЖShip
BtnOrderScanCoupon,ЖScan\nCoupon
BtnFindLinkedOrder,ЖFind Linked\nOrders
BtnOrderPrintInvoice,ЖPrint\nInvoice
BtnOrderSendToKitchen,ЖSend to\nKitchen
BtnOrderNextBill,ЖRound Up Cash
BtnOrderAddStoreCredit,ЖAdd\nStore Credit
BtnInclude,ЖInclude
BtnView,ЖView
MsgOrderPaidSplitNotAllowed,ЖOrder has been paid in full. There is nothing to split.
MsgOrderSpeakShowDiscountScreen,ЖSelect a Product Discount
MsgOrderSpeakSelectedDiscount,ЖSelected discount is %@.
MsgOrderSpeakSelectedDiscountIsTheFirst,ЖSelected discount is the first one.
MsgOrderSpeakSelectedDiscountIsTheLast,ЖSelected discount is the last one.
MsgOrderSpeakDiscountApplied,ЖDiscount %@ has been applied to the order.
MsgOrderSpeakShowHeldOrdersScreen,ЖSelect a Held Order.
MsgOrderSpeakNoHeldOrder,ЖThere are no held orders.
MsgOrderSpeakSelectedOrder,ЖSelected order is %@.
MsgOrderSpeakSelectedOrderIsTheFirst,ЖSelected order is the first one.
MsgOrderSpeakSelectedOrderIsTheLast,ЖSelected order is the last one.
MsgOrderSpeakShowModifierScreen,ЖSelect a Modifier.
MsgOrderSpeakSelectedModifier,ЖSelected modifier is %@.
MsgOrderSpeakSelectedModifierIsTheFirst,ЖSelected modifier is the first one.
MsgOrderSpeakSelectedModifierIsTheLast,ЖSelected modifier is the last one.
MsgOrderSpeakModifierAdded,ЖModifier %@ added to the order.
MsgOrderSpeakModifierRemoved,ЖModifier %@ removed from the order.
MsgOrderSpeakSelectedGroup,ЖSelected group is %@.
MsgOrderSpeakSelectedGroupIsTheFirst,ЖSelected group is the first one.
MsgOrderSpeakSelectedGroupIsTheLast,ЖSelected group is the last one.
MsgOrderSpeakAmountDue,ЖAmount due is %@.
MsgOrderSpeakOrderCloseSuccess,ЖOrder was closed.
MsgOrderSpeakOrderCloseFail,ЖOrder cannot be closed.
MsgOrderSpeakPaymentDone,ЖPayment complete. Amount due is %@. Change is %@.
MsgOrderSpeakOrderLoading,ЖLoading Order %@
MsgOrderSpeakOrderLoadingOK,ЖOrder %@ was loaded.
MsgOrderSpeakOrderLoadingFail,ЖOrder %@ could not be loaded.
MsgOrderSpeakCashPay,ЖAmount tendered %@.
MsgOrderSpeakEntered,ЖYou entered %@.
MsgOrderSpeakCCPay,ЖSwipe credit card. Amount due is %@.
MsgOrderSpeakHasItems,ЖOrder has following items:
MsgOrderSpeakItem,ЖItem %d. %@
