LocaleIdentifier,PL
MsgWrongTime,"Wersja stanowiska POS %@ różni się od wersji głównej %@. Upewnij się, żeby wersje pasowały, aby przywrócić komunikację pomiędzy stanowiskami"
MsgMainStationAbsent,Proszę ustawić główną komunikację z konsolą zarządzania
MsgInvalidNetwork,"Drukarka i czytnik do kart magnetycznych nie będzie działać, dopóki niepołączysz się z prawidłową siecią bezprzewodową Revel."
MsgSettingsRefreshRequired,Wymagane odświeżenie ustawień.  Proszę się wylogować i odświeżenie nastąpi automatycznie.
MsgTroubleshootModeIsOnAlert,"Tryb rozwiązania problemów jest włączony. Przejdź do ustawień menedżera i wybierz opcję trybu rozwiązania problemów, aby go wyłączyć."
MsgFiscalReceiptOrderTotalIsZero,Wartość transakcji wynosi zero. Paragon fiskalny nie zostanie wydrukowany.
MsgFiscalReceiptOrderHasZeroItem,Wartość transakcji wynosi zero. Paragon fiskalny nie zostanie wydrukowany.
MsgProductName,Nazwa towaru
MsgActionCancelled,Operacja anulowana
MsgWaitingForPinPad,Oczekiwanie na PinPad
MsgPurchaseCorrection,Korekta zakupu
MsgPleaseAskCustomerToPressRedButtonOnPinPad,"Poproś klienta, aby wcisnął czerwony przycisk na pinpadzie"
MsgPaymentNotAddedToCurrentOrder,Płatność nie została dodana do obecnej transakcji.\nProsimy o kontakt z działem obsługi klienta!
MsgPaymentFailedToAddCurrentOrder,Nie udało się dodać płatności do obecnej transakcji. Kod błędu - %d\nProsimy o kontakt z działem obsługi klienta!
MsgUnableToCompletePayment,"Próbujesz zamknąć bilet należący do %@.\nProszę wprowadzić hasło PIN administratora, aby kontynuować."
MsgUnableToCompletePaymentSwipeCard,"Próbujesz zamknąć bilet należący do %@.\nPrzesuń przez czytnik kartę administracyjną, aby kontynuować"
MsgUpdating,Aktualizacja
MsgLockingFuelTransaction,Blokowanie transakcji paliwa
MsgReleasingLock,Zwalnianie blokady
MsgPaymentRefundNotSupportedCalliZettleCustomerSupport,Zwrot niepoparty w systemie. Prosimy o kontakt z iZettle z działem obsługi klienta!
MsgVoidRefundDisabledWhenFiscalPrinted,"Nie można wykonać tej czynności, gdy jest drukowany paragon fiskalny."
MsgSyncingToCloud,Synchronizacja z chmurą
MsgUINotificationShowingNotificationNumberFromStack,Pokazuje 1 z %d
MsgSelected,Wybrany
MsgPaypalPaymentMaxAmount,Maksymalna kwota płatności kartą kredytową jest %@.
MsgPaypalTipAmountExceed,Kwota napiwku nie może przekroczyć kwoty na paragonie.
MsgPayPalOrderHasSplitBills,"Transakcja posiada rozdzielone rachunki. Proszę, zapłacić każdy rachunek podziału oddzielnie"
MsgCrashTitle,Awaria systemu POS.
MsgCrashPlaceholder,"Opisz krótko, co robiłeś w chwili awarii."
MsgScalesNet,BRUTTO 
MsgScalesMultiplyTare,Pomnóż tare
MsgScalesSetTare,Ustaw tare
MsgScalesEnterWeight,Wprowadź wagę
MsgScalesTare,Tara
MsgScalesOverrideError,"Wagę można zastąpić tylko wtedy, gdy wyświetlana wartość jest równa 0.0."
MsgScalesSelectTareCount,Wybierz wartość tary
MsgScalesCurrentTare,Obecna tara
MsgScalesWeight,Waga
MsgScalesPrice,Cena
MsgScalesInputTare,Ustaw tare
MsgScalesEnterTareWeight,Wprowadź wagę
MsgBarcodeScanProduct,Skanuj towar
MsgBarcodeScanDiscountCode,Skanuj kod rabatu
MsgBarcodeEnterBarcode,Wprowadź kod kreskowy
MsgBarcodeEnterBarcodeWithTouch,"Dotknij tutaj, aby wprowadzić kod kreskowy."
MsgBarcodeProductNotFound,Towar z wprowadzonym kodem kreskowym.\n%@\nnie został znaleziony
MsgBarcodeProductCloseMatch,Nie znaleziono dokładnego dopasowania. Podobne odpowiedniki:
MsgBarcodeTheExactMatchesFound,Znaleziono odpowiedniki:
MsgBarcodeSeveralProductsOrIngredientsWereFound,Znaleziono te towary i składniki:
MsgBarcodeSelectProduct,Wybierz towar
MsgBarcodeNameorBarcode,Nazwa lub kod kreskowy
MsgBarcodeNameorBarcodePhone,Nazwa/kod kreskowy
MsgBarcodeProductNotActive,Towar z wprowadzonym kodem kreskowym\n%@\nnie jest aktywny
MsgBarcodePleaseClosePayView,"Nie można dodać pozycji. Proszę zamknąć ekran płatności, aby dodać pozycję do transakcji."
MsgMeasureUnitPounds,Funty
MsgMeasureUnitKilograms,Kilogramy
MsgMeasureUnitLiters,Litry
MsgMeasureUnitGallons,Galony
MsgMeasureUnitCubicMeters,Metry sześcienne
MsgMeasureUnitShortPounds,Funt
MsgMeasureUnitShortKilograms,Kg
MsgMeasureUnitShortLiters,L
MsgMeasureUnitShortGallons,G
MsgMeasureUnitShortCubicMeters,m3
BtnPayTransaction,Zapłać\ntransakcję
BtnClearTransaction,Wyczyść\ntransakcję
BtnStackTransaction,Przetrzymanie\nTransakcji
BtnOrderFastCreditShell,Szybki\nKredyt
BtnOrderFastCashShell,Szybka\nGotówka
BtnGasStationActionBlockPump,Zablokuj\npompę
BtnGasStationActionUnblockPump,Odblokuj\nPompę
BtnGasStationActionTogglePumpLights,Przełącz\nŚwiatła pomp
BtnGasStationActionStopAllPumps,Zatrzymaj wszystkie\nPompy
BtnGasStationActionStopPump,Zatrzymaj\ntankowanie z pompy
BtnGasStationActionReservePump,Zarezerwuj\nPompę
BtnGasStationActionPrePay,Przedpłata
BtnGasStationActionCancelReservePump,Anuluj\nRezerwację
BtnGasStationActionAuthorizePump,Autoryzuj\nPompę
BtnGasStationActionCancelAuthorizePump,Anuluj\nAutoryzację
BtnGasStationActionPausePump,Wstrzymaj\ndozowanie
BtnGasStationActionResumePump,Wznów\nDozowanie
BtnGasStationForecourtConnectionLost,Utracono połączenie z kontrolerem podjazdu. Ponowienie połączenia
BtnGasStationForecourtConnected,Kontroler podjazdu połączony
BtnGasStationFuelling,Tankowanie
MsgGasStationChooseTransactionToWork,Zarządzaj transakcją:
MsgLockedBy,Zablokowany przez
MsgReservedBy,Zarezerwowany przez
MsgConfirmation,Potwierdzenie
LblGasStationCurrentTransaction, (Bieżąca)
LblGasStationStackTransaction, (Stertowana)
MsgGasStationTransactionInfo,INFORMACJA O TRANSAKCJI:\n\nTransakcja nr%d\nNumer pompy: %d\nNależna kwota: %@\nIlość: %.2f
MsgGasStationDriveOffTitle,Wymagana uwaga dla %@
MsgGasStationAttentionRequiredMessage,%@ %.2f %@ / %@ \nTransakcja na %@ nie została zapłacona.\nNależy podjąć natychmiastowe działanie.
MsgGasStationDeliveryNotPaid,Dostawa nie zapłacona
MsgGasStationRefundTitle,Proszę zwrócić
MsgGasStationNeedRefund,Neleży zwrócić
MsgGasStationNeedClear,Należy wyczyścić
MsgGasStationCantHoldTransaction,Nie można wstrzymać transakcji. Transakcja obejmuje towary paliwowe.
MsgGasStationCantRemoveTransaction,Nie można usunąć bieżącej transakcji. Transakcja obejmuje towary paliwowe.
MsgGasStationStopPumpConfirmation,Czy na pewno chcesz zatrzymać tankowanie z pompy %@?
MsgGasStationStopAllPumpsConfirmation,Czy naprawdę chcesz zatrzymać wszystkie pompy?
MsgGasStationConfirmationTitle,Potwierdzenie:
MsgGasStationCantAddFuelProductHoseBlocked,Nie można dodać towaru paliwa do transakcji. Pistolet jest zablokowany
MsgGasStationRefundPrompt,"Klient zapłacił %@, ale dostał paliwa tylko %@\nCzy chcesz zwrócić %@?"
MsgGasStationTransactionClearPrompt,"Transakcja została zakończona, ale nie jest wyczyszczona,\nCzy chciałbyś, aby ją wyczyścić?"
MsgGasStationTransactionLockedByTermId,UWAGA:\nTransakcja jest zablokowana przez terminal z nr
MsgGasStationFuelTransactionIsAlreadyInTheOrderCloseCurrent,Paliwo Txn #%d zostało już opłacone w transakcji #%@. Proszę zamknąć bieżącą transakcję aby otworzyć przeszłe transakcje.
MsgGasStationFuelTransactionIsAlreadyInTheOrder,Paliwo Txn #%d zostało już opłacone w transakcji #%@.
MsgGasStationFuelGrade,Rodzaj paliwa
MsgGasStationDueAmount,Kwota do zapłaty
MsgGasStationVolume,Ilość
MsgGasStationFuelTransactionNotFound,Nie można znaleźć transakcję paliwa o ID %d na %@
MsgGasStationCanNotLogOutFromEnabler,Nie można wylogować się z Enabler EMB.\nProszę spróbować ponownie.
MsgGasStationChooseFuelGradeAndAmount,Wybierz gatunek paliwa i ilość
MsgGasStationForecourtUpdatedRefreshRequired,Kontroler podjazdu został uaktualniony. Proszę podłączyć ponownie ten terminal do kontrolera podjazdu.
MsgGasStationNumberOfPumpsHasBeenChanged,Konfiguracja kontrolera podjazdu została uaktualniona. Ilość pomp została zmieniona.
MsgGasStationErrorForecourtIPisNotSet,IP adres kontrolera podjazdu nie jest ustawiony.\nProszę sprawdzić ustawienia konsoli zarządzania.
PaymentPumpTest,Test pompy
MsgGasStationPumpTest,Test pompy - %@
MsgGasStationPumpTestConfirmationMessage,"Zbiornik docelowy jest inny niż zbiornik źródłowy.\nCzy jesteś pewien, że chcesz zwrócić paliwo do innego zbiornika?\n\nŹródło: %@\n\nCel: %@"
MsgGasStationPumpTestErrorCantProcess,"Aby przetworzyć transakcję jako test pompy, należy mieć tylko jeden element paliwowy w transakcji."
MsgGasStationPump,Pompa
MsgGasStationHose,Pistolet
MsgGasStationSourceTank,Zbiornik źródłowy
MsgGasStationTargetTank,Zbiornik docelowy
MsgGasStationTestAmount,Kwota do zapłaty
MsgGasStationClearTypeNormal,Normalny
MsgGasStationClearTypeTest,Test
MsgGasStationClearTypeDriveOff,Ucieczka
MsgGasStationClearTypeAttendant,Pracownik obsługi
MsgGasStationAuthorizePromptTitle,Autoryzować %@?
MsgGasStationCantAuthorizePump,Nie można zautoryzować %@. Pompa jest zablokowana.
MsgGasStationCantManagePump,Nie można zarządzać %@. Pompa jest zarezerwowana przez terminal z nr %d.
MsgGasStationPumpAskingAuthorization,Użycie tek pompy wymaga autoryzacji. Czy chciałbyś autoryzować %@?
MsgGasStationTransaction#,Transakcja nr
MsgGasStationTxn#,Txn #
BtnGasStationCancelTransaction,Anuluj transakcję
BtnGasStationCloseTransaction,Zamknij transakcję
BtnGasStationHoldTransaction,Wstrzymaj transakcję
BtnGasStationHeaderOrders,Transakcje
BtnPinLogin,Zaloguj
BtnPinClockIn,Rozpocznij zmianę
BtnPinClockOut,Zakończ zmianę
BtnPinRefresh,Odśwież
BtnPinClear,Wyczyść
BtnSwipeLogin,"Zaloguj się, przeciągając kartę"
BtnPinReset,Zresetuj
MsgClockOutBreak,Przerwa
BtnEndBreak,Koniec przerwy
MsgOrdersReportWarningOpenUnsyncedOrders,Otwarte i/lub niezsynchronizowane transakcje:
MsgOrdersReportWarningCloseOrders,"Zamknij transakcje i zaczekaj na ich synchronizację lub wprowadź PIN administratora, aby zakończyć zmianę."
MsgLengthOfBreak,Długość przerwy
BtnManagerOverride,Wykonaj jako\nmenedżer
BtnClockInAsRole,Rozpocznij zmianę jako\n%@
MsgPaidBreak,Płatna przerwa
MsgUnpaidBreak,Niepłatna przerwa
MsgTakeABreak,Zrób przerwę
MsgPinDataNotDownloaded,Nie pobrano danych menu z serwera.
MsgPinRefreshDataTitle,Odśwież POS
MsgPinRefreshDataContent,Odświeżenie POS może chwilę potrwać i należy je wykonać tylko w przypadku zmian w konsoli zarządzania. Czy chcesz kontynuować?
MsgPinUserNotLocked,Użytkownik nie jest zablokowany w tym POS.
MsgPinUserIdIsNotAssigned,ID użytkownika nie jest przypisane.\nProszę odświeżyć stanowisko POS
MsgPinUnableToAccessPos,Brak dostępu do POS.
MsgUserRequireAdminCardSwipe,Do zalogowania wymagana jest karta administratora.
MsgPinInvalidPin,Nieprawidłowy kod PIN.\nSpróbuj ponownie.
MsgPinPOSNotSet,Nie ustawiono lokalu ani stanowiska POS!\n\nOdśwież!
MsgPinVersion,Wersja: %@\nAdres MAC urządzenia:\n %@
MsgPinSelectStation,Wybierz stanowisko
MsgPinPleaseSelectStation,Proszę wybrać stację
MsgPinResetConfirm,Usunąć wszystkie dane i zresetować aplikację?
MsgPinSentToEmail,Kod PIN został przesłany do %@.
MsgPinPleaseUsePinToLogin,"Wpisz 1234, aby zalogować się do aplikacji Revel Systems POS."
MsgPinInvalidIdentification,ID %@ stanowiska POS '%@' jest niezgodne z ustawieniami konsoli zarządzania.
MsgPinInvalidIPAddress,Adres IP stanowiska POS '%@' jest niezgodny z ustawieniami konsoli zarządzania.
MsgPinIdentificationUpdateSuccess,Aktualizacja ID stanowiska POS '%@' powiodła się. Odśwież wszystkie stanowiska.
MsgPinIdentificationUpdateFail,Aktualizacja ID stanowiska POS '%@' nieudana.
MsgPinIPAddressUpdateSuccess,Aktualizacja adresu IP stanowiska POS '%@' powiodła się. Odśwież wszystkie stanowiska
MsgPinIPAddressUpdateFail,Aktualizacja adresu IP stanowiska POS '%@' nieudana.
MsgPinInvalidSettingsTitle,Niezgodne ustawienia.
MsgPinInvalidLoginMethod,"Zaloguj się, przeciągając kartę.  Ręczne wprowadzanie nieobsługiwane."
MsgPinRedirectedPrintersInfo,Liczba przekierowanych drukarek: %d
MsgPinMaxFailedLoginAttemptPOSLocked,POS zablokowany z powodu nadmiernych niepowodzeń logowania
MsgUserRequireAdminCard,Do %@ wymagana jest karta administratora.
MsgProvisionEnterPin,Wprowadź PIN aktywujący
MsgProvisionPin,PIN aktywujący
MsgUseProvisionPin,Użyj dostępu kodu PIN
MsgDiningTitle,Posiłek
MsgDiningOrderOptionTitle,Opcja transakcja
MsgDiningEatInOrTakeOut,Na miejscu lub na wynos?
MsgDiningTakeOut,Na wynos
MsgDiningWebOrder,Transakcja online
MsgDiningWebInvoice,Faktura online
MsgDiningCatering,Catering
MsgDiningDriveThrough,Drive Through
MsgDiningShipping,Wysyłka
MsgDiningOther,Inne
MsgDiningRetail,Detalicznie
MsgDiscountTitle,Rabat
MsgDiscountSelectItemTitle,Wybierz pozycję z rabatem
MsgDiscountSelectDiscount,Wybierz rabat
MsgDiscountCreateOrderFirst,Proszę najpierw utworzyć transakcję.
MsgDiscountItemAmountTooSmall,"Wartość pozycji jest zbyt niska, aby uzyskać rabat."
MsgDiscountAmount,Kwota
MsgDiscountValue,Wartość
MsgDiscountAmountOff,Ilość
MsgDiscountPercent,Procent
MsgDiscountReprice,Zmiana ceny
MsgDiscountAltPrice,Alternatywna cena
MsgDiscountEnterAmount,Wpisz kwotę
MsgDiscountEnterValue,Wprowadź wartość
MsgDiscountTaxed,Opodatkowane
MsgDiscountEnterReason,Wprowadź przyczynę
MsgDiscountEnterReasonAndAmount,Wprowadź przyczynę i kwotę.
MsgDiscountEnterAnotherReason,Wprowadź inną przyczynę rabatu.
MsgDiscountNoDiscountsForCode,Brak aktywnych rabatów dla podanego kodu.
MsgDiscountLoaylTreeWait,Oczekiwanie na odpowiedź LoyalTree...
MsgDiscountLoaylTreeTitle,LoyalTree
MsgDiscountLoaylTreeReset,"Aby wprowadzić rabat, anuluj bonus LoyalTree."
MsgDiscountRegularPrice,Podstawowa cena
MsgDiscountSavingValue,Oszczędności
MsgDiscountType,Typ rabatu
MsgNoDiscountsToApply,Brak możliwości zastosowania rabatu.
MsgDiscountENTCardAmountHasBeenReturned,"WPROWADŹ kwotę, jaka została zwrócona na kartę"
MsgDiscountENTCardDoesntBelongToAnyUser,Nieprawidłowa karta. Wprowadzona karta nie należy do każdego użytkownika.
MsgDiscountENTCardDoesntBelongToCurrentUser,Nieprawidłowa karta. Wprowadzona karta nie należy do %@
MsgDiscountENTCardTipWontBeAppliedForENT,Napiwki nie będą naliczone dla kart ENT
MsgDiscountENTCardDisabled,"Proszę włączyć kartę ENT na konsoli zarządzania, aby kontynuować"
MsgPleaseRemoveOrderDiscountToProceedENTCard,"Prosimy o usunięcie rabatu transakcji, aby kontynuować transakcję z kartą ENT"
MsgDiscountENTCardCantApplyToPartiallyPaid,ENT karta nie może być użyta do częściowo zapłaconej transakcji
MsgDiscountENTNotSupported,Karty ENT nie są obsługiwane w bieżącym trybie POS
MsgDiscountENTCardCantUpdate,Nie można zaktualizować salda karty EBT
MsgStoreCreditCardCantUpdate,Bilans sklepowej karty kredytowej nie może być aktualizowany
BtnDiscountScan,Skanuj
BtnDiscountPart,% rabat
BtnDiscountNoDiscount,Brak rabatu
BtnApplyDiscounts,Zastosuj rabat
MsgChoosePrevailingTaxes,Wybierz podstawowe stawki podatku
MsgTitleSelectTaxExeptionReason,Wybierz ogólne stawki podatku
MsgTaxExemptionReasonPaidWithEBT,Zapłacono za pomocą EBT
MsgTaxExemptionReasonColdItem,Zimny towar na wynos
MsgTaxExemptionReasonColdItemDelivery,Dostawa zimnego towaru
MsgTaxExemptionReasonTaxFreeCustomer,Klient zwolniony z podatku
MsgTaxExemptionReasonZeroTaxRate,Zerowa stawka podatku
MsgServiceFeeTitle,Opłata serwisowa
MsgServiceFeeAmountOff,Kwota dodana
MsgServiceFeeAmount,Kwota
MsgServiceFeeEnterAmount,Wpisz kwotę
MsgServiceFeeEnterReason,Wprowadź przyczynę
MsgServiceFeePercent,Procent
MsgServiceFeeTaxed,Opodatkowane
MsgServiceFeePostTax,Po odl. podatku
MsgServiceFeeEnterReasonAndAmount,Wprowadź przyczynę i kwotę.
MsgServiceFeePleaseEnterPositiveServiceFeeValue,Wprowadź wartość dodatnią.
BtnServiceFeesTitle,Opłata serwisowa
BtnServiceFeesNoServiceFee,Brak opłaty serwisowej
MsgServiceFeeWrongName,Opłata serwisowa o tej nazwie już istnieje. Zmień nazwę opłaty lub zastosuj inną.
MsgServiceFeeAlreadyHasServiceFees,"Do zamówienia przypisano już opłatę(y) serwisową(e).\n Umieść je w zamówieniach, do których należą."
MsgServiceFeeAdded,Dodano opłatę serwisową %@\ndo płatności %@.
MsgBalanceDue,Należność
MsgServiceFee,Opłata serwisowa
MsgServiceFeeCardType,Opłata serwisowa – typ karty
MsgServiceFeeChooseCardType,Wybierz typ karty.
MsgNoFee,Brak opłat
MsgServiceFeeForCreditPayments,W przypadku płatności kartą kredytową wymagana jest opłata serwisowa.
MsgOldTotal,Poprzednia wartość łączna
MsgNewTotal,Nowa wartość łączna
MsgOrderFieldName,Nazwa
MsgOrderFieldQty,Liczba
MsgOrderFieldEach,Każdy
MsgOrderFieldTotal,Łącznie
MsgOrderTotalsDiscount,Rabaty łącznie:
MsgOrderTotalsSubtotal,Łączna podsuma:
MsgOrderTotalsSubtotal2,Podsuma:
MsgOrderTotalsSurcharge,Dopłata:
MsgOrderTotalsTax,Podatek:
MsgOrderTotalsTotal,ŁĄCZNIE:
MsgOrderTotalsTotal2,Łącznie:
MsgOrderTotalsDue,Należność:
MsgOrderInvoiceTitle,Faktura
MsgOrderInvoiceErrorNoCustomer,Brak klienta
BtnOrderCancelInvoice,Anuluj fakt.
BtnOrderOpenInvoice,Otwórz fakturę
BtnOrderSendInvoice,Wyślij fakt.
BtnOrderHoldInvoice,Wstrzymaj fakt.
BtnOrderCloseInvoice,Zamknij fakt.
BtnOrderResetMenu,Resetuj menu
BtnOrderBackMenu,Wstecz
BtnOrderPay,Zapłać
BtnOrderPayAgain,Zapłać jeszcze raz
BtnOrderSetGuestCount,Gość\nliczba
BtnOrderDeliveryClockOut,Zakończenie zmiany\nkierowcy
BtnOrderDeliveryClockIn,Rozpoczęcie zmiany\nkierowcy
BtnOrderAddGratuity,Dodaj\nnapiwek
BtnOrderRemoveGratuity,Usuń\nNapiwek
BtnOrderAutoGratuity,Automatyczny\nnapiwek
BtnOrderFastCredit,Szybka płatność kartą kr.
BtnOrderFastCash,Szybka płatność gotówką
BtnOrderAddExtraItem,Dodaj\ndodatkową pozycję
BtnOrderDonate,Przekaż
BtnOrderDiscountOrder,Rabat\ntransakcji
BtnOrderDiningOption,Opcja\nposiłku
BtnOrderOrderOption,Opcja\ntransakcji
BtnOrderPrintGuestCheck,Drukuj\nrachunek gościa
BtnOrderEnterBarcode,Wprowadź\nkod kreskowy
BtnOrderOpenCashDrawer,Otwórz\nszufladę kasową
BtnOrderMoveTable,Przenieś\nstolik
BtnOrderTransferOwner,Zmień osobę\nobsługującą
BtnOrderRemoveTax,Usuń\npodatek
BtnOrderAddTax,Dodaj\npodatek
BtnOrderSetTax,Ustaw\npodatek
BtnOrderAttachCard,Przypisz kartę\ndo transakcji
BtnOrderAttachOtherCard,Przypisz\ninną kartę
BtnUseShipping,Wysyłka
BtnOrderScanCoupon,Skanuj\nkupon
BtnFindLinkedOrder,Znajdź powiązane\ntransakcje
BtnOrderPrintInvoice,Drukuj\nfakturę
BtnOrderSendToKitchen,Wyślij do\nkuchni
BtnOrderNextBill,Zaokrąglona suma gotówki
BtnOrderAddStoreCredit,Dodaj\nkredyt sklepowy
BtnInclude,Uwzględnij
BtnView,Widok
MsgOrderPaidSplitNotAllowed,Transakcja w pełni opłacona. Brak elementów do podziału.
MsgOrderProductAdded,Towar dodany
MsgOrderAddProducts,Dodaj towary
MsgOrderSpeakCancelOrderConfirm,Czy na pewno chcesz anulować transakcję?
MsgOrderSpeakCancelInvoiceConfirm,Czy na pewno chcesz anulować fakturę?
BtnPinAccessibilityOn,Dostępność włączona
BtnPinAccessibilityOff,Dostępność wyłączona
MsgPinAccessibilityModeIsUnavailable,"Tryb dostępności nie jest aktywny, ponieważ stanowisko posiada czytnik Bluetooth."
MsgOrderClockIn,Rozpocznij zmianę
MsgOrderClockOut,Zakończ zmianę
MsgOrderPaidBreak,Płatna przerwa
MsgOrderUnPaidBreak,Niepłatna przerwa
MsgOrderGoOnBreak,Zacznij przerwę
MsgOrderDeliveryTrackingDate,Data i godzina
MsgOrderDeliveryTrackingEmployee,Pracownik
MsgOrderDeliveryTrackingEmployeeClockOut,Zakończ zmianę: %@
