LocaleIdentifier,ET
BtnContinue,Jätka
BtnStartOver,Alusta uuesti
BtnConfirm,Kinnita
BtnCancelPayment,Tühista\nmakse
BtnCancelServiceFee,Tühista\nteenustasu
BtnSubmitTicket,Esita pilet
BtnSendTicket,Saada pilet
MsgSearch,Otsi
MsgConnecting,Ühendan...
MsgInvalidPIN,Vale PIN
MsgInvalidPassword,Kehtetu parool
MsgDebugMode,SILUMISREŽIIM
MsgEnterAmount,Sisestage summa
MsgTipIncluded,Kaasa arvatud
MsgTipIncludedShort,Svc. Chg. Inc.
MsgConnectionFailed,Ühenduse loomine ebaõnnestus
MsgConnectionLost,Ühendused
MsgErrorOnPrinting,Printimisel tekkis tõrge.
BtnTextSMS,SMS
BtnRemove,Eemalda
BtnExpensify,Expensify
BtnBegin,Alusta
BtnPrintPDF,Prdindi pdf vormingus
BtnIUnderstand,Saan aru
BtnEnterNewEmail,Sisestage e-post
MsgUnknownError,Tundmatu tõrge
MsgDeleted,Kustutatud
MsgMainNotFound,Peamist ei leitud
MsgMainFound,Võrgus
MsgPlainNew,Uus
BtnMenu,PÕHIMENÜÜ
BtnCashDrawerTills,Kassasahtlid
BtnAccess,Nõustu
BtnNetworkSync,Proovige uuesti sünkroonida
BtnManagementConsole,Halduskonsool
MsgYes,Jah
MsgNo,Ei
MsgWith,koos järgmisega
MsgWithAbbreviation,koos
MsgEachAbbreviation,iga lühend
MsgNote,Märge
MsgPaymentDueWarning,"Teie igakuine arve on jätkuvalt tasumata, vaatamata korduvatele meeldetuletustele. Kui küsimust koheselt ei lahendata, katkestatakse teie POS rakenduse juurdepääs.\n\nTehingute sõlmimise jätkamiseks sooritage makse meie arvelduportaali kaudu, klõpsates oma Reveli halduskonsooli ülemises parempoolses nurgas asuvale lingile. Kui te ei saa tasuda portaali kaudu, palun helistage meie arveldusosakonnale ajavahemikus kell 9.00 kuni 18.00 PST, telefonil 415-744-1433 (laiend 3).\n\nLugupidamisega\n\nRevel Systems"
MsgPaymentDueWarningDisableBackend,KOHENE TEGUTSEMINE VAJALIK: Konto deaktiveerimine on saabumas
MsgPaymentDueWarningDisableFrontend,KOHENE TEGUTSEMINE VAJALIK: Konto on deaktiveeritud. Palun kontakteeruge Reveli esindajaga telefonil 5414-1432
MsgWrongVersion,Kassajaama versioon %@ erineb põhijaama versioonist %@. Jaamadevahelise side taastamiseks tagage versioonide ühilduvus.
MsgWrongTime,Kassajaama versioon %@ erineb põhijaama versioonist %@. Jaamadevahelise side taastamiseks tagage versioonide ühilduvus.
MsgMainStationAbsent,Serveriga suhtlemiseks määrake peamine üksus.
MsgInvalidNetwork,Printer ja magnetkaardilugeja ei tööta
MsgSettingsRefreshRequired,Nõutav on seadete värskendamine.  Logige välja
MsgTroubleshootModeIsOnAlert,"Tõrkeotsingurežiim on sisse lülitatud. Avage Halduriseaded ja valige Tõrkeotsingurežiim, et see välja lülitada."
MsgFiscalReceiptOrderTotalIsZero,Tellimuse summa on null. Kviitungit ei prindita.
MsgProductName,Toote nimi
MsgActionCancelled,Toiming on tühistatud
MsgWaitingForPinPad,Sõrmistiku ootel
MsgPurchaseCorrection,Ostu korrigeerimine
MsgPleaseAskCustomerToPressRedButtonOnPinPad,Paluge kliendil vajutada Pin-nupustiku punasele nupule
MsgPaymentNotAddedToCurrentOrder,Makset ei lisatud praegusele tellimusele.\nVõtke ühendust klienditoega.
MsgPaymentFailedToAddCurrentOrder,Makse lisamine praegusele tellimusele nurjus. Tõrkekood – %d\nVõtke ühendust klienditoega.
MsgUnableToCompletePayment,"Püüate sulgeda piletit, mille omanik on %@.\nJätkamiseks sisestage juhataja PIN."
MsgUnableToCompletePaymentSwipeCard,"Püüate sulgeda piletit, mille omanik on %@.\nJätkamseks tõmmake lugejast läbi juhataja kaart."
MsgUpdating,Uuendamine
MsgLockingFuelTransaction,Lukustan kütusetehingu
MsgReleasingLock,Deblokeerin
MsgPaymentRefundNotSupportedCalliZettleCustomerSupport,Tagasimakset ei toetata. Võtke ühendust iZettle‘i klienditoega.
MsgSyncingToCloud,Sünkroniseerin pilve
MsgUINotificationShowingNotificationNumberFromStack,Kuvatud on 1/%d
MsgSelected,Valitud
MsgPaypalPaymentMaxAmount,Krediitkaardimakse maksimaalne summa on %@.
MsgPaypalTipAmountExceed,Jootraha summa ületab kviitungi summat.
MsgPayPalOrderHasSplitBills,Tellimusel on jagatud arved. Tasuge iga jagatud arve eraldi
MsgCrashTitle,"Paistab, et kassa läks krahhi."
MsgCrashPlaceholder,"Kirjeldage lühidalt, mida krahhihetkel tegite."
MsgScalesNet,NETO 
MsgScalesMultiplyTare,Korrutage taara
MsgScalesSetTare,Määrake taara
MsgScalesEnterWeight,Sisestage kaal
MsgScalesTare,Taara
MsgScalesOverrideError,"Saate kaalu alistada ainult siis, kui kuvatav kaal on 0,0."
MsgScalesSelectTareCount,Valige taara kogus
MsgScalesCurrentTare,Praegune taara
MsgScalesWeight,Kaal
MsgScalesPrice,Hind
MsgScalesInputTare,Määrake taara
MsgScalesEnterTareWeight,Sisestage kaal
MsgBarcodeScanProduct,Skannige toode
MsgBarcodeScanDiscountCode,Skannige allahindluskood
MsgBarcodeEnterBarcode,Sisestage vöötkood
MsgBarcodeEnterBarcodeWithTouch,Puudutage vöötkoodi sisestamiseks siin.
MsgBarcodeProductNotFound,Sisestatud vöötkoodiga\n%@\ntoodet ei leitud
MsgBarcodeProductCloseMatch,Täpset vastet ei leitud. Lähedased vasted:
MsgBarcodeTheExactMatchesFound,Leitud vasted:
MsgBarcodeSeveralProductsOrIngredientsWereFound,Leiti järgmised Tooted ja Koostisosad:
MsgBarcodeSelectProduct,Valige toode
MsgBarcodeNameorBarcode,Nimi või vöötkood
MsgBarcodeNameorBarcodePhone,Nimi/vöötkood
MsgBarcodeProductNotActive,Sisestatud vöötkoodiga\n%@\ntoode pole aktiivne
MsgBarcodePleaseClosePayView,Ei saa artiklit lisada. Artikli lisamiseks sulge Makse Kuva.
MsgMeasureUnitPounds,Naelsterlingid
MsgMeasureUnitKilograms,Kilogrammid
MsgMeasureUnitLiters,Liitrid
MsgMeasureUnitGallons,Gallonid
MsgMeasureUnitCubicMeters,Kuupmeetrid
MsgMeasureUnitShortPounds,Lb
MsgMeasureUnitShortKilograms,kg
MsgMeasureUnitShortLiters,l
MsgMeasureUnitShortGallons,gallon
MsgMeasureUnitShortCubicMeters,m3
BtnPayTransaction,Tasu\ntehingu eest
BtnClearTransaction,Tühista\ntehing
BtnStackTransaction,Virnasta\ntehing
BtnOrderFastCreditShell,Kiirmakse\nKrediit
BtnOrderFastCashShell,Kiirmakse\nSularaha
BtnGasStationActionBlockPump,Blokeeri\npump
BtnGasStationActionUnblockPump,Deblokeeri\npump
BtnGasStationActionTogglePumpLights,Vaheta\npumba tuled
BtnGasStationActionStopAllPumps,Seiska kõik\npumbad
BtnGasStationActionStopPump,Seiska\npump
BtnGasStationActionReservePump,Broneeri\npump
BtnGasStationActionPrePay,Ettemaks
BtnGasStationActionCancelReservePump,Tühista\nBroneeri
BtnGasStationActionAuthorizePump,Anna pumbale\nluba
BtnGasStationActionCancelAuthorizePump,Tühista\nluba
BtnGasStationActionPausePump,Peata\njagamine
BtnGasStationActionResumePump,Jätka\njagamist
BtnGasStationForecourtConnectionLost,Kadus ühendus platsiga. Taasühendan
BtnGasStationForecourtConnected,Plats on ühenduses
BtnGasStationFuelling,Tankimine
MsgGasStationChooseTransactionToWork,Halda tehingut (tehinguid):
MsgLockedBy,Lukustaja:
MsgReservedBy,Broneerija:
MsgConfirmation,Kinnitus
LblGasStationCurrentTransaction, (Aktiivne)
LblGasStationStackTransaction, (Virnastatud)
MsgGasStationTransactionInfo,TEHINGU:\n\nTehing #%d\nPumba number: %d\nKuulub tasumisele: %@\nMaht: %.2f
MsgGasStationDriveOffTitle,Vajab tähelepanu: %@
MsgGasStationAttentionRequiredMessage,%@ %.2f %@ / %@ \nSelle tehingu: %@ eest ei ole tasutud.\nTegutsege koheselt.
MsgGasStationDeliveryNotPaid,Kohaletoimetuse eest pole tasutud
MsgGasStationRefundTitle,Palun makske tagasi
MsgGasStationNeedRefund,Tuleb hüvitada
MsgGasStationNeedClear,Tuleb tasaarvelda
MsgGasStationCantHoldTransaction,Tehingut ei saa kinnitada. Tehing hõlmab kütusetooteid.
MsgGasStationCantRemoveTransaction,Tehingut ei saa eemaldada. Tehing hõlmab kütusetooteid.
MsgGasStationStopPumpConfirmation,"Kas olete kindel, et soovite seisata pumba %@?"
MsgGasStationStopAllPumpsConfirmation,Kas soovite tõesti seisata KÕIK pumbad?
MsgGasStationConfirmationTitle,Kinnitus:
MsgGasStationCantAddFuelProductHoseBlocked,Tehingule ei saa kütusetoodet lisada. Voolik on blokeeritud
MsgGasStationRefundPrompt,"Klient tasus %@, kuid sai kütust üksnes %@ eest\nKas soovite %@ tagasi maksta?"
MsgGasStationTransactionClearPrompt,"Tehing lõpetati, kuid jäi lähtestamata.\nKas sooviksite tasaarveldada?"
MsgGasStationTransactionLockedByTermId,"HOIATUS:\nSee tehing on lukustatud teriminali poolt, mille id on"
MsgGasStationFuelTransactionIsAlreadyInTheOrderCloseCurrent,Kütuse Txn #%d on juba tasutud tehingus #%@. Lõpetatud tehingu avamiseks sulgege jooksev tehing.
MsgGasStationFuelTransactionIsAlreadyInTheOrder,Kütuse Txn #%d on juba tasutud tehingus #%@.
MsgGasStationFuelGrade,Kütuse sort
MsgGasStationDueAmount,Tähtaegunud võlasumma
MsgGasStationVolume,Maht
MsgGasStationFuelTransactionNotFound,"Ei leia kütusetehingut, mille id on %d ja toimumisaeg %@"
MsgGasStationCanNotLogOutFromEnabler,Ei saa logida välja Enabler EMB süsteemist.\nPalun proovige uuesti.
MsgGasStationChooseFuelGradeAndAmount,Valige välja kütuse sort ja kogus
MsgGasStationForecourtUpdatedRefreshRequired,Platsi juhtimisseadet on värskendatud. Taasühendage see terminal platsiga.
MsgGasStationNumberOfPumpsHasBeenChanged,Platsi konfiguratsiooni on värskendatud. Pumpade arv on muutunud.
MsgGasStationErrorForecourtIPisNotSet,Platsi juhtimisseadme IP aadressi ei ole määratud.\nKontrollige tagaserveri sätteid.
PaymentPumpTest,Pumbatest
MsgGasStationPumpTest,Pumbatest - %@
MsgGasStationPumpTestConfirmationMessage,"Sihtmahuti erineb lähtemahutist.\nKas olete kindel, et soovite tagastada kütuse erinevasse mahutisse?\n\nLähtemahuti: %@\n\nSihtmahuti: %@"
MsgGasStationPumpTestErrorCantProcess,Tehingu töötlemiseks pumbatestina peab tehingus olema üksainus kütuseartikkel.
MsgGasStationPump,Pump
MsgGasStationHose,Voolik
MsgGasStationSourceTank,Lähtemahuti
MsgGasStationTargetTank,Sihtmahuti
MsgGasStationTestAmount,Tähtaegunud võlasumma
MsgGasStationClearTypeNormal,Tavaline
MsgGasStationClearTypeTest,Test
MsgGasStationClearTypeDriveOff,Ärasõit
MsgGasStationClearTypeAttendant,Teenindaja
MsgGasStationAuthorizePromptTitle,Kinnitage %@?
MsgGasStationCantAuthorizePump,Ei saa kinnitada %@. Pump on blokeeritud.
MsgGasStationCantManagePump,"Pumpa %@ ei saa hallata. See pump on broneeritud terminali poolt, mille id on %d."
MsgGasStationPumpAskingAuthorization,See pump nõuab kinnitamist. Kas kinnitate %@?
MsgGasStationTransaction#,Tehing #
MsgGasStationTxn#,Tehing nr
BtnGasStationCancelTransaction,Tühista tehing
BtnGasStationCloseTransaction,Sulge tehing
BtnGasStationHoldTransaction,Peata tehing
BtnGasStationHeaderOrders,Tehingud
BtnPinLogin,Logi sisse
BtnPinClockIn,Saabumine
BtnPinClockOut,Lahkumine
BtnPinRefresh,Värskenda
BtnPinClear,Kustuta
BtnSwipeLogin,Logi sisse magnetkaardiga
BtnPinReset,Lähtesta
MsgClockOutBreak,Paus
BtnEndBreak,Pausi lõpp
MsgOrdersReportWarningOpenUnsyncedOrders,Teil on avatud ja/või sünkroonimata tellimusi:
MsgOrdersReportWarningCloseOrders,Sulgege esmalt oma tellimused ja oodake
MsgLengthOfBreak,Pausi kestvus
BtnManagerOverride,Juhataja\nalistamine
BtnClockInAsRole,Saabumine kui\n%@
MsgPaidBreak,Tasuline paus
MsgUnpaidBreak,Tasuta paus
MsgTakeABreak,Tehke paus!
MsgPinDataNotDownloaded,Menüüandmeid pole serverist alla laaditud.
MsgPinRefreshDataTitle,Värskenda kassat
MsgPinRefreshDataContent,"Kassa värskendamine võib võtta veidi aega ja seda tohib teha ainult siis, kui tagaliideses on andmeid muudetud. Kas soovid jätkata?"
MsgPinUserNotLocked,Kasutaja pole selle kassa puhul lukustatud.
MsgPinUserIdIsNotAssigned,Kasutaja ID ei ole kinnistatud.\nVärskendage müügipunkti jaama
MsgPinUnableToAccessPos,Müügipunkt ei ole juurdepääsetav.
MsgUserRequireAdminCardSwipe,See kasutaja peab kasutama sisselogimiseks halduspersonali kaarti.
MsgPinInvalidPin,Sisestasite vale PIN-koodi.\nProovige uuesti.
MsgPinPOSNotSet,Ühtki Asutust või POS jaama pole määratud!\n\nPalun värskendage!
MsgPinVersion,Versioon: %@\nSelle seadme MAC-aadress:\n %@
MsgPinSelectStation,Valige jaam
MsgPinPleaseSelectStation,Valige jaam
MsgPinResetConfirm,Kas kustutada kõik andmed ja lähtestada rakendus?
MsgPinSentToEmail,Teie PIN-kood saadeti aadressile %@.
MsgPinPleaseUsePinToLogin,Kasutage Revel Systemsi kassarakendusse sisselogimiseks PIN-koodi 1234.
MsgPinInvalidIdentification,Teie kassajaama %@ ID %@ ei ühti tagaliidese seadetega.
MsgPinInvalidIPAddress,Kassajaama %@ IP-aadress ei ühti tagaliidese seadetega.
MsgPinIdentificationUpdateSuccess,Kassajaama %@ ID uuendamine õnnestus. Värskendage kõiki jaamu.
MsgPinIdentificationUpdateFail,Kassajaama %@ ID uuendamine nurjus.
MsgPinIPAddressUpdateSuccess,Kassajaama %@ IP-aadressi uuendamine õnnestus. Värskendage kõiki jaamu.
MsgPinIPAddressUpdateFail,Kassajaama %@ IP-aadressi uuendamine nurjus.
MsgPinInvalidSettingsTitle,Teie seaded ei ühti.
MsgPinInvalidLoginMethod,Logige sisse magnetkaardiga.  Käsitsi sisestust ei toetata.
MsgPinRedirectedPrintersInfo,Teil on %d ümbersuunatud printer(it)
MsgUserRequireAdminCard,See kasutaja peab kasutama halduspersonali kaarti järgmise toimingu sooritamiseks: %@.
MsgProvisionEnterPin,Sisestage ajutine PIN
MsgProvisionPin,Ajutine PIN
MsgUseProvisionPin,Kasuta ajutist PIN-koodi
MsgDiningTitle,Einestamine
MsgDiningOrderOptionTitle,Tellimuse valik
MsgDiningEatInOrTakeOut,Kohapeal või kaasa?
MsgDiningTakeOut,Kaasa
MsgDiningWebOrder,Veebitellimus
MsgDiningWebInvoice,Veebiarve
MsgDiningCatering,Toitlustamine
MsgDiningDriveThrough,Autoteenindus
MsgDiningShipping,Tarne
MsgDiningOther,Muu
MsgDiningRetail,Jaemüük
MsgDiscountTitle,Allahindlus
MsgDiscountSelectItemTitle,Valige allahinnatav üksus
MsgDiscountSelectDiscount,Valige allahindlus
MsgDiscountCreateOrderFirst,Looge esmalt tellimus.
MsgDiscountItemAmountTooSmall,Üksus ei vasta allahindluse minimaalsele summale.
MsgDiscountAmount,Summa
MsgDiscountValue,Väärtus
MsgDiscountAmountOff,Mahaarvestatav summa
MsgDiscountPercent,Protsent
MsgDiscountReprice,Uus hind
MsgDiscountAltPrice,AltHind
MsgDiscountEnterAmount,Sisestage summa
MsgDiscountEnterValue,Sisestage väärtus
MsgDiscountTaxed,Maksuga
MsgDiscountEnterReason,Sisestage põhjus
MsgDiscountEnterReasonAndAmount,Sisestage nii põhjus kui ka summa.
MsgDiscountEnterAnotherReason,Sisestage teine allahindluse põhjus.
MsgDiscountNoDiscountsForCode,Esitatud allahindluskoodiga ei leitud ühtegi aktiivset allahindlust.
MsgDiscountLoaylTreeWait,LoyalTree vastuse ootel...
MsgDiscountLoaylTreeTitle,LoyalTree
MsgDiscountLoaylTreeReset,Selle allahindluse rakendamiseks peate esmalt tühistama LoyalTree preemiad
MsgDiscountRegularPrice,Tavahind
MsgDiscountSavingValue,Sääst
MsgDiscountType,Allahindluse tüüp
MsgNoDiscountsToApply,Kohaldatavad allahindlused puuduvad.
MsgDiscountENTCardAmountHasBeenReturned,ENT summa kanti kaardile tagasi
MsgDiscountENTCardDoesntBelongToAnyUser,Kaart on kehtetu. Sisestatud kaart ei kuulu ühelegi kasutajale.
MsgDiscountENTCardDoesntBelongToCurrentUser,Kaart on kehtetu. Sisestatud kaart ei kuulu: %@
MsgDiscountENTCardTipWontBeAppliedForENT,ENT kaartidega jootraha ei kohaldata
MsgDiscountENTCardDisabled,Jätkamiseks deblokeerige tagaserveril ENT kaardid
MsgPleaseRemoveOrderDiscountToProceedENTCard,ENT kaardiga jätkamiseks eemaldage tellimuse hinnaalandus
MsgDiscountENTCardCantApplyToPartiallyPaid,ENT kaarti ei saa kohaldada osaliselt tasutud tellimusele
MsgDiscountENTNotSupported,ENT kaartidel ei ole aktiivses POS (müügipunkt) töörežiimis tuge
MsgDiscountENTCardCantUpdate,ENT kaardi saldot ei saa värskendada
MsgStoreCreditCardCantUpdate,Poekrediidi saldot ei saa uuendada
BtnDiscountScan,Skanni
BtnDiscountPart,Allahindlusprotsent
BtnDiscountNoDiscount,Allahindlus puudub
BtnApplyDiscounts,Rakenda allahindlused
MsgChoosePrevailingTaxes,Valige välja kehtivad maksud
MsgTitleSelectTaxExeptionReason,Valige maksuvabastuse põhjus
MsgTaxExemptionReasonPaidWithEBT,Tasutud EBT-ga
MsgTaxExemptionReasonColdItem,"Külm üksus, mille juurde minna"
MsgTaxExemptionReasonColdItemDelivery,Külma üksuse kohaletoimetamine
MsgTaxExemptionReasonTaxFreeCustomer,Maksuvaba klient
MsgTaxExemptionReasonZeroTaxRate,Nullmaksumäär
MsgServiceFeeTitle,Teenustasu
MsgServiceFeeAmountOff,Lisatud summa
MsgServiceFeeAmount,Summa
MsgServiceFeeEnterAmount,Sisestage summa
MsgServiceFeeEnterReason,Sisestage põhjus
MsgServiceFeePercent,Protsent
MsgServiceFeeTaxed,Maksuga
MsgServiceFeePostTax,Postitusmaks
MsgServiceFeeEnterReasonAndAmount,Sisestage nii põhjus kui ka summa.
MsgServiceFeePleaseEnterPositiveServiceFeeValue,Sisestage positiivne väärtus.
BtnServiceFeesTitle,Teenustasu
BtnServiceFeesNoServiceFee,Teenustasuta
MsgServiceFeeWrongName,Sama nimega teenustasu on juba olemas. Nimetage see tasu ümber või rakendage muud tasu.
MsgServiceFeeAlreadyHasServiceFees,"Sellel tellimusel on juba teenustasu(d).\nLohistage tasud tellimusse, millele see (need) tuleks rakendada."
MsgServiceFeeAdded,Teenustasu %@ on lisatud\n%@-maksele.
MsgBalanceDue,Tasumata saldo
MsgServiceFee,Teenustasu
MsgServiceFeeCardType,Teenustasu – kaardi tüüp
MsgServiceFeeChooseCardType,Valige altpoolt kaardi tüüp.
MsgNoFee,Tasu puudub
MsgServiceFeeForCreditPayments,Krediitmaksete puhul kehtib teenustasu.
MsgOldTotal,Vana kogusumma
MsgNewTotal,Uus kogusumma
MsgOrderFieldName,Nimi
MsgOrderFieldQty,Kogus
MsgOrderFieldEach,Tk
MsgOrderFieldTotal,Kokku
MsgOrderTotalsDiscount,Allahindlus:
MsgOrderTotalsSubtotal,Vahesumma:
MsgOrderTotalsSubtotal2,Vahesumma:
MsgOrderTotalsSurcharge,Lisatasu:
MsgOrderTotalsTax,Maks:
MsgOrderTotalsTotal,KOKKU:
MsgOrderTotalsTotal2,Kokku:
MsgOrderTotalsDue,Tasumata:
MsgOrderInvoiceTitle,Arve
MsgOrderInvoiceErrorNoCustomer,Klient puudub
BtnOrderCancelInvoice,Tühista arve
BtnOrderOpenInvoice,Ava arve
BtnOrderSendInvoice,Saada arve
BtnOrderHoldInvoice,Arve ootele
BtnOrderCloseInvoice,Sulge arve
BtnOrderResetMenu,Lähtesta menüü
BtnOrderBackMenu,Tagasi
BtnOrderPay,Maksa
BtnOrderPayAgain,Maksa uuesti
BtnOrderSetGuestCount,Külastajate\narv
BtnOrderDeliveryClockOut,Autojuhi\nlahkumine
BtnOrderDeliveryClockIn,Autojuhi\nsaabumine
BtnOrderAddGratuity,Lisa\njootraha
BtnOrderRemoveGratuity,Eemalda\njootraha
BtnOrderAutoGratuity,Automaatne\njootraha
BtnOrderFastCredit,Kiirkrediit
BtnOrderFastCash,Kiirsularaha
BtnOrderAddExtraItem,Lisa\nüksus
BtnOrderDonate,Anneta
BtnOrderDiscountOrder,Tellimuse\nallah.
BtnOrderDiningOption,Einestamise\nvalik
BtnOrderOrderOption,Tellimuse\nvalik
BtnOrderPrintGuestCheck,Prindi\nkülastaja tšekk
BtnOrderEnterBarcode,Sisesta\nvöötkood
BtnOrderOpenCashDrawer,Ava\nkassasahtel
BtnOrderMoveTable,Vaheta\nlauda
BtnOrderTransferOwner,Vaheta\nomanikku
BtnOrderRemoveTax,Eemalda\nmaks
BtnOrderAddTax,Lisa\nmaks
BtnOrderSetTax,Määra\nmaks
BtnOrderAttachCard,Seo kaart\ntellimusega
BtnOrderAttachOtherCard,Seo teine\nkaart
BtnUseShipping,Saada teele
BtnOrderScanCoupon,Skanni\nkupong
BtnFindLinkedOrder,Leia seotud\ntellimused
BtnOrderPrintInvoice,Prindi\narve
BtnOrderSendToKitchen,Saada\nkööki
BtnOrderNextBill,Ümarda sularaha
BtnOrderAddStoreCredit,Lisa\nPoekrediit
BtnInclude,Lisa
BtnView,Vaata
MsgOrderPaidSplitNotAllowed,Tellimus on täielikult tasutud. Midagi pole tükeldada.
MsgOrderProductAdded,Toode lisatud
MsgOrderAddProducts,Lisa tooted
MsgOrderSpeakCancelOrderConfirm,"Kas olete kindel, et soovite tellimuse tühistada?"
MsgOrderSpeakCancelInvoiceConfirm,"Kas olete kindel, et soovite arve tühistada?"
BtnPinAccessibilityOn,Hõlbustus sees
BtnPinAccessibilityOff,Hõlbustus väljas
MsgPinAccessibilityModeIsUnavailable,"Hõlbustusrežiim pole saadaval, kuna sellel jaamal on Bluetooth-skanner."
MsgOrderClockIn,Saabumine
MsgOrderClockOut,Lahkumine
MsgOrderPaidBreak,Tasuline paus
MsgOrderUnPaidBreak,Tasuta paus
MsgOrderGoOnBreak,Minge pausile
MsgOrderDeliveryTrackingDate,Kuupäev ja kellaaeg
MsgOrderDeliveryTrackingEmployee,Töötaja
MsgOrderDeliveryTrackingEmployeeClockOut,Lahkumine: %@
MsgOrderDeliveryTrackingInvalidClockInTime,Saabumisaeg peab olema pärast lahkumisaega.
MsgOrderItemShare,Jaga
MsgOrderItemSplitWithSeat,Jaga kohaga %d
MsgOrderItemDiscount,Allahindlus
MsgOrderItemNoCourseWithDate,***** Käiguta%@ *****
MsgOrderItemCourseWithDate,***** Käik %d%@ *****
MsgOrderItemSeat,Koht %d
MsgOrderItemS,K%d
MsgOrderItemLayaway,**Reserveerimine tasumiseni**
MsgOrderItemVoided,Tühistatud
MsgOrderItemComps,Koondid
MsgOrderItemReturned,Tagastatud
MsgOrderGratuityNonEditableHasPayments,Sellel tellimusel on makseid. Jootraha ei saa lisada ega eemaldada.
MsgOrderGratuityFullAmountAllowed,"Kui tellimusel on jootraha, toetatakse ainult täielikke makseid."
MsgOrderCategory,KATEG.
MsgOrderSubCategory,ALAMKATEG.
MsgOrderProducts,TOOTED
MsgOrderTopMenu,PÕHIMENÜÜ
MsgOrderNoTipsTitle,Jootraha pole
MsgOrderNoTips,Sellel tellimusel pole punkte.
MsgOrderNoTipsForBill,Mõnel arvel puudub jootraha. Kas jätta tellimus avatuks?
BtnLeaveTip,Tasemetõusu jootraja
BtnCloseOrder,Sulge tellimus
MsgOrderRefundExtraAmount,Makske lisasaldo enne sulgemist tagasi.
MsgOrderPayRemainingAmount,Tellimust ei saa sulgeda. Tasuge ülejäänud saldo.
MsgOrderNoItemsForNextCourse,Järgmisel käigul pole üksuseid.
MsgOrderEnterPrice,Sisestage hind
MsgOrderSelectSeat,Valige koht
MsgOrderSelectSeatPlease,Valige külastajate arv
MsgOrderSeatWithNumber,Koht %d
MsgOrderSetSeat,Sisestage koha number
MsgOrderSetGuestCount,Sisestage külaliste arv
MsgOrderSeat,Koht
MsgOrderSeats,Kohti
MsgOrderGuest,külaline
MsgOrderGuests,külalist
MsgOrderSelectCourse,Valige käik
MsgOrderCourseWithNumber,%d. käik
MsgOrderTableCantMoveIsUnsynced,"Liigutamine pole võimalik, kuna sihttellimus pole põhikassaga sünkroonitud."
MsgOrderSplitBillsClear,Tükeldatud arved kustutatakse. Kas olete kindel?
MsgOrderSplitBillsNumberExceeded,Toetatakse kuni 15 tšekki.
