LocaleIdentifier,LT
BtnDriveOff,Žymėti kaip\nDrive-Off
BtnGoToTransaction,Eiti į\nTransaction
BtnProceed,Tęsti
BtnNext,Pirmyn
BtnNegative,Neigiamas
BtnSetTip,Nustatyti arbatpinigius
BtnNoReceipt,Nereikia kvito
BtnEmail,El. paštas
BtnFind,Ieškoti
BtnOther,Kita
BtnAddNew,Pridėti naują
BtnOwn,Valdyti
BtnResetAllBalances,Atkurti visus
BtnReset,Atkurti
BtnChange,Grąža
BtnContinue,Tęsti
BtnStartOver,Pradėti iš pradžių
BtnConfirm,Patvirtinti
BtnCancelPayment,Atšaukti\nmokėjimą
BtnCancelServiceFee,Atšaukti\naptarnavimo mokestį
BtnSubmitTicket,Pateikti bilietą
BtnSendTicket,Siųsti bilietą
MsgSearch,Paieška
MsgConnecting,Jungiamasi...
MsgInvalidPIN,Klaidingas PIN kodas
MsgInvalidPassword,Klaidingas slaptažodis
MsgDebugMode,DERINIMO VEIKSENA
MsgEnterAmount,Įvesti sumą
MsgTipIncluded,Įskaičiuota
MsgTipIncludedShort,Svc. Chg. Inc.
MsgConnectionFailed,Nepavyko prisijungti
MsgConnectionLost,Jungtys
MsgErrorOnPrinting,Spausdinant įvyko klaida.
BtnTextSMS,SMS
BtnRemove,Pašalinti
BtnExpensify,Expensify
BtnBegin,Pradėti
BtnPrintPDF,Spausdinti PDF
BtnIUnderstand,Aš suprantu
BtnEnterNewEmail,Įvesti el. pašto adresą
MsgUnknownError,Nežinoma klaida
MsgDeleted,Ištrinta
MsgMainNotFound,Neprisijungęs prie pagrind.
MsgMainFound,Prisijungęs
BtnMenu,TOP MENIU
BtnCashDrawerTills,Grynųjų pinigų stalčiai
BtnAccess,Patvirtinti
BtnNetworkSync,Sinchronizuoti iš naujo
BtnManagementConsole,Valdymo konsolė
MsgYes,Taip
MsgNo,Ne
MsgWith,su
MsgWithAbbreviation,su
MsgEachAbbreviation,vnt.
MsgNote,Pastaba
MsgPaymentDueWarning,"Nepaisant keletos priminimų, Jūsų sąskaita dar neapmokėta. Jei nedelsiant neapmokėsite sąskaitos, priėjimas prie kasos aplikacijos bus išjungtas. \nKad galėtumėte toliau dirbti, sumokėkite naudodamiesi mūsų mokėjimų portalu, kurį galite pasiekti nuėję į savo Revel valdymo puslapį ir paspaudę ant nuorodos viršuje, dešinėje pusėje. Jei negalite apmokėti naudodamiesi portalu, skambinkite mūsų mokėjimų komandai nuo 9.00 iki 18.00 PST, numeriu 415-744-1433, 3 pasirinkimas. \n\nAčiū, \n\nRevel Systems \n"
MsgPaymentDueWarningDisableBackend,DĖMESIO: Jūsų paslauga netrukus bus išjungta. 
MsgPaymentDueWarningDisableFrontend,"DĖMESIO: Jūsų paslauga buvo išjungta. Susisiekite su Revel mokėjimų komanda numeriu 415-733-1433, pasirinkimas 3. "
MsgWrongVersion,Šio kasos terminalo POS sistemos %@ versija nesutampa su jos %@ versija pagrindiniame kasos terminale. Kad ryšys veiktų
MsgWrongTime,Šio kasos terminalo POS sistemos %@ versija nesutampa su jos %@ versija pagrindiniame kasos terminale. Kad ryšys veiktų
MsgMainStationAbsent,Nustatykite pagrindinio kasos terminalo ryšį su serveriu.
MsgInvalidNetwork,Spausdintuvas ir mokėjimo kortelių skaitytuvas veikia tik prisijungus prie tinkamo „Revel“ belaidžio tinklo.
MsgSettingsRefreshRequired,Būtina atnaujinti nuostatas. Atsijunkite
MsgTroubleshootModeIsOnAlert,"Trikčių šalinimo veiksena ĮJUNGTA. Eikite į „Vadovo nuostatos“ ir pasirinkite „Trikčių šalinimo veiksena“, kad ją IŠJUNGTUMĖTE."
MsgFiscalReceiptOrderTotalIsZero,Užsakymo suma lygi nuliui. Fiskalinis čekis nebus atspausdintas.
MsgFiscalReceiptOrderHasZeroItem,Užsakymo suma lygi nuliui. Fiskalinis čekis nebus atspausdintas.
MsgProductName,Produkto pavadinimas
MsgActionCancelled,Veiksmas atšauktas
MsgWaitingForPinPad,Laukiama PIN klaviatūros
MsgPurchaseCorrection,Pirkimo operacijos koregavimas
MsgPleaseAskCustomerToPressRedButtonOnPinPad,Paprašykite kliento paspausti raudoną mygtuką ant PIN klaviatūros
MsgPaymentNotAddedToCurrentOrder,Mokėjimas nebuvo įtrauktas į dabartinį užsakymą.\nPrašome kreiptis į klientų aptarnavimo skyrių!
MsgPaymentFailedToAddCurrentOrder,Nepavyko įtraukti mokėjimo į dabartinį užsakymą. Trikties kodas %d.\nPrašome kreiptis į klientų aptarnavimo skyrių!
MsgUnableToCompletePayment,"Bandote užverti bilietą, kurį valdo %@. \n Norėdami tęsti, įveskite admin. slaptažodį."
MsgUnableToCompletePaymentSwipeCard,"Bandote užverti bilietą, kurį valdo %@.  \nNorėdami tęsti, perbraukite admin. kortelę."
MsgUpdating,Atnaujinama.
MsgLockingFuelTransaction,Užrakinama degalų transakcija
MsgReleasingLock,Atrakinama
MsgPaymentRefundNotSupportedCalliZettleCustomerSupport,Grąžinimas nepalaikomas. Susisiekite su iZettle klientų aptarnavimu!
MsgSyncingToCloud,Sinchronizuojama su debesimi
MsgUINotificationShowingNotificationNumberFromStack,Rodomas (-a) 1 iš %d
MsgSelected,Pasirinktas (-a / -i)
MsgPaypalPaymentMaxAmount,Kreditine kortele daugiausiai galima sumokėti %@.
MsgPaypalTipAmountExceed,Arbatpinigių suma negali viršyti kvito sumos.
MsgPayPalOrderHasSplitBills,Užsakymas turi padalytas sąskaitas. Apmokėkite jas atskirai
MsgCrashTitle,"Panašu, kad POS sistema užstrigo"
MsgCrashPlaceholder,"Glaustai aprašykite, ką tuo metu darėte"
MsgScalesNet,NETO
MsgScalesMultiplyTare,Padauginti taros vnt.
MsgScalesSetTare,Nustatyti taros svorį
MsgScalesEnterWeight,Įvesti svorį
MsgScalesTare,Tara
MsgScalesOverrideError,"Tik jei rodomas svoris lygus 0,0, jį galima perrašyti."
MsgScalesSelectTareCount,Pasirinkti taros vnt. skaičių
MsgScalesCurrentTare,Dabartinė tara
MsgScalesWeight,Svoris
MsgScalesPrice,Kaina
MsgScalesInputTare,Įveskite tarą
MsgScalesEnterTareWeight,Įveskite taros svorį
MsgBarcodeScanProduct,Nuskaityti produktą
MsgBarcodeScanDiscountCode,Nuskaityti nuolaidos kodą
MsgBarcodeEnterBarcode,Įvesti brūkšninį kodą
MsgBarcodeEnterBarcodeWithTouch,"Palieskite čia, norėdami įvesti brūkšninį kodą."
MsgBarcodeProductNotFound,Nepavyko rasti produkto įvestu\n%@\nbrūkšniniu kodu.
MsgBarcodeProductCloseMatch,Nepavyko rasti tikslaus atitikmens. Netikslūs atitikmenys:
MsgBarcodeTheExactMatchesFound,Rasti atitikmenys:
MsgBarcodeSeveralProductsOrIngredientsWereFound,Buvo rasti šie produktai ir ingredientai:
MsgBarcodeSelectProduct,Pasirinkti produktą
MsgBarcodeNameorBarcode,Pavadinimas arba brūkšninis kodas
MsgBarcodeNameorBarcodePhone,Pavadinimas / brūkšninis kodas
MsgBarcodeProductNotActive,Produktas įvestu\n%@\nbrūkšniniu kodu neaktyvus.
MsgBarcodePleaseClosePayView,"Prekės pridėti negalima. Uždarykite mokėjimų langą, kad galėtumėte pridėti prekes į užsakymą. "
MsgMeasureUnitPounds,Svarai
MsgMeasureUnitKilograms,Kilogramai
MsgMeasureUnitLiters,Litrai
MsgMeasureUnitGallons,Galonai
MsgMeasureUnitCubicMeters,Kubiniai metrai
MsgMeasureUnitShortPounds,svar.
MsgMeasureUnitShortKilograms,Kg
MsgMeasureUnitShortLiters,L
MsgMeasureUnitShortGallons,G
MsgMeasureUnitShortCubicMeters,m3
BtnPayTransaction,Apokėti\nOperaciją
BtnClearTransaction,Valyti\nOperaciją
BtnStackTransaction,Kaupti\nOperaciją
BtnOrderFastCreditShell,Greitasis\nkreditas
BtnOrderFastCashShell,Greitasis\nkreditas
BtnGasStationActionBlockPump,Išjungti\npompą
BtnGasStationActionUnblockPump,Įjungti\npompą
BtnGasStationActionTogglePumpLights,Perjungti\npompos apšvietimą
BtnGasStationActionStopAllPumps,Sustabdyti visas\npompas
BtnGasStationActionStopPump,Sustabdyti\npompą
BtnGasStationActionReservePump,Rezervuoti\nPompą
BtnGasStationActionPrePay,Išankstinis mokėjimas
BtnGasStationActionCancelReservePump,Panaikinti \nrezervą
BtnGasStationActionAuthorizePump,Autorizuoti\npompą
BtnGasStationActionCancelAuthorizePump,Baigti\nautorizavimą
BtnGasStationActionPausePump,Sustabdyti\ndozavimą
BtnGasStationActionResumePump,Atnaujinti\ndozavimą
BtnGasStationForecourtConnectionLost,Nutrūko ryšys su pompų valdikliu. Jungiamasi..
BtnGasStationForecourtConnected,Prisijungta prie pompų valdiklio
BtnGasStationFuelling,Pildomas kuras
MsgGasStationChooseTransactionToWork,Valdyti operaciją(-as)
MsgLockedBy,Užrakinta:
MsgReservedBy,Rezervuota:
MsgConfirmation,Patvirtinimas
LblGasStationCurrentTransaction,(Einamasis)
LblGasStationStackTransaction,(Sukauptas)
MsgGasStationTransactionInfo,OPERACIJOS INFO:\n\nOperacija #%d\nPompos nr.: %d\nBendra suma: %@\nKiekis: %.2f
MsgGasStationDriveOffTitle,Atkreipkite dėmesį į %@
MsgGasStationAttentionRequiredMessage,%@ %.2f %@ / %@ \nŠi operacija %@ nėra apmokėta.\nPrašome imtis veiksmų ndelsiant!
MsgGasStationDeliveryNotPaid,Pristatymas neapmokėtas
MsgGasStationRefundTitle,Prašome grąžinti pinigus
MsgGasStationNeedRefund,Reikalingas pinigų grąžinimas
MsgGasStationNeedClear,Reikia išvalyti
MsgGasStationCantHoldTransaction,"Negalima atidėti operacijos, nes yra įtrauktų degalų produktų."
MsgGasStationCantRemoveTransaction,"Negalima pašalinti operacijos, nes yra įtruktų degalų produktų."
MsgGasStationStopPumpConfirmation,Ar tikrai norite sustabdyti %@ pompą?
MsgGasStationStopAllPumpsConfirmation,Ar tikrai norite stabdyti visas pompas?
MsgGasStationConfirmationTitle,Patvirtinimas:
MsgGasStationCantAddFuelProductHoseBlocked,Negalima įtraukti degalų produktų į operaciją. Žarna blokuota.
MsgGasStationRefundPrompt,"Kl. sumokėjo %@, bet užsipylė kuro tik už %@\nAr norite grąžinti permoką? %@?"
MsgGasStationTransactionClearPrompt,Operacija baigėsi.\nAr norite išvalyti?
MsgGasStationTransactionLockedByTermId,ĮSPĖJIMAS:\nŠią operaciją užrakino terminalas nr.
MsgGasStationFuelTransactionIsAlreadyInTheOrderCloseCurrent,"Operacija #%d jau apmokėta #%@. Prašome uždaryti šią operaciją, kad galėtumėte atidaryti buvusią operaciją."
MsgGasStationFuelTransactionIsAlreadyInTheOrder,Degalai #%d apmokėti operacijoje: #%@.
MsgGasStationFuelGrade,Degalų klasė
MsgGasStationDueAmount,Galutinė suma
MsgGasStationVolume,Tūris
MsgGasStationFuelTransactionNotFound,Nerasta operacijų numeriu %d iš %@
MsgGasStationCanNotLogOutFromEnabler,Negalima atsijungti iš Enabler EMB.\nBandykite vėliau.
MsgGasStationChooseFuelGradeAndAmount,Pasirinkite dagalų klasę ir kiekį
MsgGasStationForecourtUpdatedRefreshRequired,Pompų valdiklis atsinaujino. Prašome perjungti terminalą prie pompų valdiklio iš naujo.
MsgGasStationNumberOfPumpsHasBeenChanged,Atnaujinta pompų valdiklio konfigūracija. Pasikeitė pompų skaičius.
MsgGasStationErrorForecourtIPisNotSet,Pompų valdiklio IP adresas nenustatytas.\nPrašome patikrinti nustatymus.
PaymentPumpTest,Pompos bandymas
MsgGasStationPumpTest,Pompos bandymas - %@
MsgGasStationPumpTestConfirmationMessage,"Paėmimo ir išleidimo rezervuarai yra skirtingi.\nAr jūs esate tikras, kad norite grąžinti degalus į kitą rezervuarą?\n\nPaėm.: %@\n\nIšleid.: %@"
MsgGasStationPumpTestErrorCantProcess,"Jei norite operaciją naudoti kaip pompos bandymą (testą), įsitikinkite, kad operacijoje yra tik vienas degalų produktas."
MsgGasStationPump,Pompa
MsgGasStationHose,Žarna
MsgGasStationSourceTank,Paėmimo rezerv.
MsgGasStationTargetTank,Išleidimo rezerv.
MsgGasStationTestAmount,Galutinė suma
MsgGasStationClearTypeNormal,Normalus
MsgGasStationClearTypeTest,Testas
MsgGasStationClearTypeDriveOff,Pasišalinti
MsgGasStationClearTypeAttendant,Aptarnautojas
MsgGasStationAuthorizePromptTitle,Autorizuoti %@?
MsgGasStationCantAuthorizePump,Neįmanoma autorizuoti %@. Pompa užblokuota.
MsgGasStationCantManagePump,Negalima valdyti %@. Ši pompa rezervuota terminalo %d.
MsgGasStationPumpAskingAuthorization,Pompa prašo autorizacijos. Ar norite autorizuoti %@?
MsgGasStationTransaction#,Operacija #
MsgGasStationTxn#,Txn #
BtnGasStationCancelTransaction,Nutraukti operaciją
BtnGasStationCloseTransaction,Uždaryti operaciją
BtnGasStationHoldTransaction,Atidėti operaciją
BtnGasStationHeaderOrders,Operacijos
BtnPinLogin,Prisijungti
BtnPinClockIn,Pradėti seansą
BtnPinClockOut,Užbaigti seansą
BtnPinRefresh,Atnaujinti
BtnPinClear,Išvalyti
BtnSwipeLogin,Prisijungti perbraukiant
BtnPinReset,Atkurti
MsgClockOutBreak,Pertrauka
BtnEndBreak,Pertraukos pabaiga
MsgOrdersReportWarningOpenUnsyncedOrders,Yra atidarytų ir (arba) nesusinchronizuotų užsakymų:
MsgOrdersReportWarningCloseOrders,Uždarykite užsakymus ir palaukite
MsgLengthOfBreak,Pertraukos ilgis
BtnManagerOverride,Vadovas\nPerrašyti
BtnClockInAsRole,Pradėti seansą prisijungus kaip\n%@
MsgPaidBreak,Apmokama pertrauka
MsgUnpaidBreak,Neapmokama pertrauka
MsgTakeABreak,Imti pertraukėlę
MsgPinDataNotDownloaded,Nepavyko iš serverio atsisiųsti meniu duomenų.
MsgPinRefreshDataTitle,Atnaujinti POS sistemą
MsgPinRefreshDataContent,Atnaujinti POS sistemą šiek tiek užtrunka. Ar norite tęsti?
MsgPinUserNotLocked,Naudotojas nesusietas užraktu su šia POS sistema.
MsgPinUserIdIsNotAssigned,Vartotojo ID nepriskirtas.\nPrašome atnaujinti POS sistemą. 
MsgPinUnableToAccessPos,Nepavyksta pasiekti pirkimo užsakymų.
MsgUserRequireAdminCardSwipe,"Norėdamas prisijungti, šis naudotojas privalo naudoti administratoriaus kortelę."
MsgPinInvalidPin,Įvedėte klaidingą PIN kodą.\nBandykite dar kartą.
MsgPinPOSNotSet,Nenustatyta įstaiga arba POS terminalas!\n\nAtnaujinkite!
MsgPinVersion,Versija: %@\nŠio įrenginio MAC adresas:\n %@
MsgPinSelectStation,Pasirinkti kasos terminalą
MsgPinPleaseSelectStation,Prašome pasirinkti kasos terminalą
MsgPinResetConfirm,Ištrinti visus duomenis ir atkurti programą?
MsgPinSentToEmail,Jūsų PIN kodas išsiųstas adresu %@.
MsgPinPleaseUsePinToLogin,Norėdami prisijungti prie „Revel Systems“ POS programos įveskite „1234“.
MsgPinInvalidIdentification,Jūsų POS terminalo ‚%@‘ kodas %@ neatitinka nuostatų duomenų bazių serveryje.
MsgPinInvalidIPAddress,Šio POS terminalo ‚%@‘ IP adresas neatitinka nuostatų duomenų bazių serveryje.
MsgPinIdentificationUpdateSuccess,Šio POS terminalo ‚%@‘ kodas sėkmingai atnaujintas. Atnaujinkite visų kasos terminalų sistemas.
MsgPinIdentificationUpdateFail,Nepavyko atnaujinti POS terminalo ‚%@‘ kodo.
MsgPinIPAddressUpdateSuccess,POS terminalo ‚%@‘ IP adresas sėkmingai atnaujintas. Atnaujinkite visų kasos terminalų sistemas.
MsgPinIPAddressUpdateFail,Nepavyko atnaujinti POS terminalo ‚%@‘ IP adreso.
MsgPinInvalidSettingsTitle,Jūsų nuostatos nesutampa.
MsgPinInvalidLoginMethod,Prisijunkite perbraukdami kortelę.  Įvedimas ranka negalimas.
MsgPinRedirectedPrintersInfo,Peradresuotų spausdintuvų yra %d.
MsgUserRequireAdminCard,Vartotojas turi naudoti administratoriaus kortelę su %@.
MsgProvisionEnterPin,Įvesti laikinąjį PIN kodą
MsgProvisionPin,Laikinasis PIN kodas
MsgUseProvisionPin,Naudoti laikinąjį PIN kodą
MsgDiningTitle,Pietūs
MsgDiningOrderOptionTitle,Užsakymo parinktys
MsgDiningEatInOrTakeOut,Vietoje ar išsinešti?
MsgDiningTakeOut,Išsinešti
MsgDiningWebOrder,Užsakymas internetu
MsgDiningWebInvoice,Internetinė sąskaita faktūra
MsgDiningCatering,Su aptarnavimu
MsgDiningDriveThrough,Atsiimti įvažiavus automobiliu
MsgDiningShipping,Užsakymo siuntimas
MsgDiningOther,Kita
MsgDiningRetail,Prekyba mažmena
MsgDiscountTitle,Nuolaida
MsgDiscountSelectItemTitle,"Pasirinkti produktą, kuriam taikyti nuolaidą"
MsgDiscountSelectDiscount,Pasirinkti nuolaidą
MsgDiscountCreateOrderFirst,Pirmiau sukurkite užsakymą.
MsgDiscountItemAmountTooSmall,Dėl per mažos sumos nuolaida šiam produktui negali būti taikoma.
MsgDiscountAmount,Suma
MsgDiscountValue,Vertė
MsgDiscountAmountOff,Kiekis
MsgDiscountPercent,Proc.
MsgDiscountReprice,Perskaičiuoti kainą
MsgDiscountAltPrice,Alternatyvi kaina
MsgDiscountEnterAmount,Įvesti sumą
MsgDiscountEnterValue,Įveskite vertę
MsgDiscountTaxed,Apmokestinama
MsgDiscountEnterReason,Įvesti priežastį
MsgDiscountEnterReasonAndAmount,Įveskite priežastį ir sumą.
MsgDiscountEnterAnotherReason,Įveskite kitą nuolaidos pritaikymo priežastį.
MsgDiscountNoDiscountsForCode,Pagal nurodytą kodą aktyvių nuolaidų nerasta.
MsgDiscountLoaylTreeWait,Laukiama „LoyalTree“ atsakymo...
MsgDiscountLoaylTreeTitle,„LoyalTree“
MsgDiscountLoaylTreeReset,"Norėdami pritaikyti šią nuolaidą, pirma turite atšaukti „LoyalTree“ lojalumo taškus."
MsgDiscountRegularPrice,Įprasta kaina
MsgDiscountSavingValue,Sutaupyta
MsgDiscountType,Nuolaidos tipas
MsgNoDiscountsToApply,Nėra galimų pritaikyti nuolaidų
MsgDiscountENTCardAmountHasBeenReturned,ENT suma grąžinta į kortelę
MsgDiscountENTCardDoesntBelongToAnyUser,Klaidinga kortelė. Kortelė nepriklauso jokiam klientui.
MsgDiscountENTCardDoesntBelongToCurrentUser,Klaidinga kortelė. Kortelė nepriklauso %@
MsgDiscountENTCardTipWontBeAppliedForENT,Arbatpinigiai negali būti taikomi su ENT kortelėmis
MsgDiscountENTCardDisabled,Prašome įgalinti ENT korteles duomenų bazėje
MsgPleaseRemoveOrderDiscountToProceedENTCard,"Pašalinkite nuolaidą užsakymui, jei norite tęsti su ENT kortele"
MsgDiscountENTCardCantApplyToPartiallyPaid,ENT kortelė nepritaikoma dalinai apmokėtam užsakymui
MsgDiscountENTNotSupported,ENT kortelė nepalaikoma dabartėje POS veiksenoje
MsgDiscountENTCardCantUpdate,ENT kortelės likutis negali būti atnaujintas
MsgStoreCreditCardCantUpdate,ENT kortelės likutis negali būti atnaujintas
BtnDiscountScan,Nuskaityti
BtnDiscountPart,% nuolaida
BtnDiscountNoDiscount,Be nuolaidos
BtnApplyDiscounts,Pritaikyti nuolaidas:
MsgChoosePrevailingTaxes,Pasirinkti vyraujančius mokesčius
MsgTitleSelectTaxExeptionReason,Pasirinkti mokesčių netaikymo priežastį
MsgTaxExemptionReasonPaidWithEBT,Sumokėta EBT kortele.
MsgTaxExemptionReasonColdItem,Šaltas produktas išsinešti
MsgTaxExemptionReasonColdItemDelivery,Šaltas produktas pristatyti
MsgTaxExemptionReasonTaxFreeCustomer,Neapmokestinamas pirkėjas
MsgTaxExemptionReasonZeroTaxRate,Nulinis mokesčio tarifas
MsgServiceFeeTitle,Aptarnavimo mokestis
MsgServiceFeeAmountOff,Pridėta suma
MsgServiceFeeAmount,Suma
MsgServiceFeeEnterAmount,Įvesti sumą
MsgServiceFeeEnterReason,Įvesti priežastį
MsgServiceFeePercent,Proc.
MsgServiceFeeTaxed,Apmokestinama
MsgServiceFeePostTax,Atskaičius mokesčius
MsgServiceFeeEnterReasonAndAmount,Įveskite priežastį ir sumą.
MsgServiceFeePleaseEnterPositiveServiceFeeValue,Įveskite teigiamą vertę.
BtnServiceFeesTitle,Aptarnavimo mokestis
BtnServiceFeesNoServiceFee,Aptarnavimo mokestis netaikomas
MsgServiceFeeWrongName,Aptarnavimo mokestis tokiu pavadinimu jau yra. Pervadinkite jį arba pritaikykite kitą mokestį.
MsgServiceFeeAlreadyHasServiceFees,Šiam užsakymui jau pritaikytas (-) aptarnavimo mokestis (-iai).\n Nuvilkite mokesčius į užsakymą jų taikymo eilės tvarka.
MsgServiceFeeAdded,%@ aptarnavimo mokestis pridėtas\nprie %@ mokėjimo.
MsgBalanceDue,Liko mokėti
MsgServiceFee,Aptarnavimo mokestis
MsgServiceFeeCardType,Aptarnavimo mokestis. Kortelės tipas
MsgServiceFeeChooseCardType,Žemiau pasirinkite kortelės tipą.
MsgNoFee,Be mokesčio
MsgServiceFeeForCreditPayments,Mokėjimams kreditine kortele taikomas aptarnavimo mokestis.
MsgOldTotal,Senoji bendra suma
MsgNewTotal,Naujoji bendra suma
MsgOrderFieldName,Pavadinimas
MsgOrderFieldQty,Vnt. skaičius
MsgOrderFieldEach,Vnt. kaina
MsgOrderFieldTotal,Iš viso
MsgOrderTotalsDiscount,Iš viso nuolaidų:
MsgOrderTotalsSubtotal,Tarpinė suma:
MsgOrderTotalsSubtotal2,Tarpinė suma:
MsgOrderTotalsSurcharge,Priemoka:
MsgOrderTotalsTax,Mokesčiai:
MsgOrderTotalsTotal,IŠ VISO:
MsgOrderTotalsTotal2,Iš viso:
MsgOrderTotalsDue,Liko mokėti:
MsgOrderInvoiceTitle,Sąskaita faktūra
MsgOrderInvoiceErrorNoCustomer,Nenurodytas pirkėjas
BtnOrderCancelInvoice,Atšaukti sąskaitą faktūrą
BtnOrderOpenInvoice,Atidaryti sąskaitą faktūrą
BtnOrderSendInvoice,Siųsti sąskaitą faktūrą
BtnOrderHoldInvoice,Atidėti sąskaitą faktūrą
BtnOrderCloseInvoice,Uždaryti sąskaitą faktūrą
BtnOrderResetMenu,Atkurti meniu
BtnOrderBackMenu,Atgal
BtnOrderPay,Mokėti
BtnOrderPayAgain,Mokėti vėl
BtnOrderSetGuestCount,Lankytojų\nskaičius
BtnOrderDeliveryClockOut,Vairuotojo\nseanso pabaiga
BtnOrderDeliveryClockIn,Vairuotojo\nseanso pradžia
BtnOrderAddGratuity,Pridėti\narbatpinigių
BtnOrderRemoveGratuity,Panaikinti\narbatpinigius
BtnOrderAutoGratuity,Įskaičiuotieji\narbatpinigiai
BtnOrderFastCredit,Greitasis apmokėjimas kreditine kortele
BtnOrderFastCash,Greitasis apmokėjimas grynaisiais pinigais
BtnOrderAddExtraItem,Pridėti\npapildomą produktą
BtnOrderDonate,Paaukoti
BtnOrderDiscountOrder,Nuolaida\nužsakymui
BtnOrderDiningOption,Pietų\nparinktys
BtnOrderOrderOption,Užsakymo\nparinktys
BtnOrderPrintGuestCheck,Spausdinti\nišankstinę sąskaitą
BtnOrderEnterBarcode,Įvesti\nbrūkšninį kodą
BtnOrderOpenCashDrawer,Atidaryti\ngrynųjų pinigų stalčių
BtnOrderMoveTable,Perkelti\nstalelį
BtnOrderTransferOwner,Perduoti kitam\nužsakymo valdytojui
BtnOrderRemoveTax,Pašalinti\nmokesčius
BtnOrderAddTax,Pridėti\nmokesčius
BtnOrderSetTax,Nustatyti\nmokesčius
BtnOrderAttachCard,Susieti mokėjimo kortelę\nsu užsakymu
BtnOrderAttachOtherCard,Susieti kitą\nmokėjimo kortelę
BtnUseShipping,Siųsti
BtnOrderScanCoupon,Nuskaityti\nkuponą
BtnFindLinkedOrder,Ieškoti susietų\nužsakymų
BtnOrderPrintInvoice,Spausdinti\nsąskaitą faktūrą
BtnOrderSendToKitchen,Siųsti į\nvirtuvę
BtnOrderNextBill,Suapvalinti grynųjų pinigų sumą
BtnOrderAddStoreCredit,Parduotuvės\nkreditas
BtnInclude,Įtraukti
BtnView,Žiūrėti
MsgOrderPaidSplitNotAllowed,Užsakymas visiškai apmokėtas. Nėra ką dalyti.
MsgOrderProductAdded,Pridėtas produktas
MsgOrderAddProducts,Pridėti produktų
MsgOrderSpeakCancelOrderConfirm,Ar tikrai norite panaikinti užsakymą?
MsgOrderSpeakCancelInvoiceConfirm,Ar tikrai norite atšaukti sąskaitą faktūrą?
BtnPinAccessibilityOn,Įjungti pasiekiamumo veikseną
BtnPinAccessibilityOff,Išjungti pasiekiamumo veikseną
MsgPinAccessibilityModeIsUnavailable,"Pasiekiamumo veiksena negalima, nes šis terminalas prijungtas prie skaitytuvo per „Bluetooth“."
MsgOrderClockIn,Pradėti seansą
MsgOrderClockOut,Užbaigti seansą
MsgOrderPaidBreak,Apmokama pertrauka
MsgOrderUnPaidBreak,Neapmokama pertrauka
MsgOrderGoOnBreak,Išeiti į pertrauką
MsgOrderDeliveryTrackingDate,"Data, laikas"
MsgOrderDeliveryTrackingEmployee,Darbuotojas
MsgOrderDeliveryTrackingEmployeeClockOut,Seanso pabaigos laikas: %@
MsgOrderDeliveryTrackingInvalidClockInTime,Seanso pradžios laikas turi būti ankstesnis už seanso pabaigos laiką.
