LocaleIdentifier,SP
MsgDiscountLoaylTreeTitle,LoyalTree
MsgDiscountLoaylTreeReset,Para aplicar este descuento primero debe cancelar las recompensas LoyalTree.
MsgDiscountRegularPrice,Precio Regular
MsgDiscountSavingValue,Valor ahorrado
MsgDiscountType,Tipo de descuento
MsgNoDiscountsToApply,No aplican descuentos
MsgDiscountENTCardAmountHasBeenReturned,Importe ENT ha sido devuelto a la tarjeta
MsgDiscountENTCardDoesntBelongToAnyUser,tarjeta inválida. Tarjeta ingresada no pertenece a ningún usuario.
MsgDiscountENTCardDoesntBelongToCurrentUser,Tarjeta inválida. Tarjeta ingresada no pertenece a %@
MsgDiscountENTCardTipWontBeAppliedForENT,Propinas no se aplicarán a Tarjetas ENT
MsgDiscountENTCardDisabled,Por favor activa Tarjetas ENT en Consola web para proceder
MsgPleaseRemoveOrderDiscountToProceedENTCard,por favor remueve descuento del pedido para proceder con tarjeta ENT
MsgDiscountENTCardCantApplyToPartiallyPaid,Tarjeta ENT no puede aplicarse al pedido pagado parcialmente
MsgDiscountENTNotSupported,Tarjetas ENT no están apoyadas en el modo POS actual
MsgDiscountENTCardCantUpdate,Balance en tarjeta ENT no puede actualizarse
BtnDiscountScan,Escanear
BtnDiscountPart,% Descuento
BtnDiscountNoDiscount,No Descuento
BtnApplyDiscounts,Aplique Descuento
MsgChoosePrevailingTaxes,Elige Taxes prevalecientes
MsgTitleSelectTaxExeptionReason,Seleccione una razón de exención fiscal
MsgTaxExemptionReasonPaidWithEBT,Pagado con EBT
MsgTaxExemptionReasonColdItem,Artículo frío para llevar
MsgTaxExemptionReasonColdItemDelivery,Entrega de artículo frío
MsgTaxExemptionReasonTaxFreeCustomer,Cliente libre de impuestos
MsgTaxExemptionReasonZeroTaxRate,Impuesto tasa cero
MsgServiceFeeTitle,Cargo por servicio
MsgServiceFeeAmountOff,Monto agregado
MsgServiceFeeAmount,Cantidad
MsgServiceFeeEnterAmount,Ingrese Monto
MsgServiceFeeEnterReason,Ingrese la Razon
MsgServiceFeePercent,Porcentaje
MsgServiceFeeTaxed,Gravado
MsgServiceFeePostTax,Después de impuestos
MsgServiceFeeEnterReasonAndAmount,Favor ingresar ambos
MsgServiceFeePleaseEnterPositiveServiceFeeValue,Ingrese un valor positivo.
BtnServiceFeesTitle,Cargo por servicio
BtnServiceFeesNoServiceFee,Sin cargo por servicio
MsgServiceFeeWrongName,Ya existe un cargo por servicio con el mismo nombre. Cambie el nombre de este cargo o aplique un cargo diferente.
MsgServiceFeeAlreadyHasServiceFees,Este pedido ya tiene uno o más cargos por servicio.\n Arrastre los cargos en el orden en que deben aplicarse.
MsgServiceFeeAdded,Se agregó un cargo por servicio de %@ \nal pago de %@.
MsgBalanceDue,Saldo a pagar
MsgServiceFee,Cargo por servicio
MsgServiceFeeCardType,Cargo por servicio - Tipo de tarjeta
MsgServiceFeeChooseCardType,Elija el tipo de tarjeta a continuación.
MsgNoFee,Sin cargo
MsgServiceFeeForCreditPayments,Existe un cargo por servicio para los pagos con crédito.
MsgOldTotal,Total anterior
MsgNewTotal,Nuevo total
MsgOrderFieldName,Nombre
MsgOrderFieldQty,Cant.
MsgOrderFieldEach,Cada Uno
MsgOrderFieldTotal,Total
MsgOrderTotalsDiscount,Descuento:
MsgOrderTotalsSubtotal,Subtotal:
MsgOrderTotalsSubtotal2,Subtotal:
MsgOrderTotalsSurcharge,Cargo Extra
MsgOrderTotalsTax,Impuesto:
MsgOrderTotalsTotal,TOTAL:
MsgOrderTotalsTotal2,Total:
MsgOrderTotalsDue,Gran Total:
MsgOrderInvoiceTitle,Factura
MsgOrderInvoiceErrorNoCustomer,Ningún cliente
BtnOrderCancelInvoice,Cancelar factura
BtnOrderOpenInvoice,Abrir factura
BtnOrderSendInvoice,Enviar factura
BtnOrderHoldInvoice,Retener factura
BtnOrderCloseInvoice,Cerrar factura
BtnOrderResetMenu,Reinicializar Menu
BtnOrderBackMenu,Atras
BtnOrderPay,Pagar
BtnOrderPayAgain,Pagar Nuevamente
BtnOrderSetGuestCount,Establecer\nCant. Clientes
BtnOrderDeliveryClockOut,Chofer\nSalida
BtnOrderDeliveryClockIn,Chofer\nEntrada
BtnOrderAddGratuity,Agregar\nPropina
BtnOrderRemoveGratuity,Quitar\nPropina
BtnOrderAutoGratuity,Propina\nautomática
BtnOrderFastCredit,Credito Rapido
BtnOrderFastCash,Efectivo Rapido
BtnOrderAddExtraItem,Agregar\nArticulo
BtnOrderDonate,Donar
BtnOrderDiscountOrder,Descontar\nOrden
BtnOrderDiningOption,Comer\nOpcion
BtnOrderOrderOption,Opción\nde pedido
BtnOrderPrintGuestCheck,Imprimir\nCuenta
BtnOrderEnterBarcode,Introducir\nCod. Barra
BtnOrderOpenCashDrawer,Abrir\nCaja
BtnOrderMoveTable,Mover\nde Mesa
BtnOrderTransferOwner,Transferir\nCuenta Waiter
BtnOrderRemoveTax,Remover\nImpuesto
BtnOrderAddTax,Agregar\nimpuesto
BtnOrderSetTax,Establecer\nImpuesto
BtnOrderAttachCard,Enlace Tarjeta\nA la Orden
BtnOrderAttachOtherCard,Enlace Otra\nTarjeta
BtnUseShipping,Embarcar
BtnOrderScanCoupon,Escanear\ncupón
BtnFindLinkedOrder,Encontrar pedidos\nrelacionados
BtnOrderPrintInvoice,Imprimir\nfactura
BtnOrderSendToKitchen,Enviar a\ncocina
BtnOrderNextBill,Redondear efectivo
BtnOrderAddStoreCredit,Total Credito en Tienda:
BtnInclude,Incluir
BtnView,Ver
MsgOrderPaidSplitNotAllowed,El pedido fue pagado en su totalidad. No hay nada para dividir.
MsgOrderProductAdded,Producto añadido
MsgOrderAddProducts,Añadir productos
MsgOrderSpeakCancelOrderConfirm,¿Estás seguro que quieres cancelar el pedido?
MsgOrderSpeakCancelInvoiceConfirm,¿Estás seguro que quieres cancelar invoice?
BtnPinAccessibilityOn,Accesibilidad activada
BtnPinAccessibilityOff,Accesibilidad desactivada
MsgPinAccessibilityModeIsUnavailable,El modo de accesibilidad no está disponible debido a que esta estación tiene un escáner Bluetooth.
MsgOrderClockIn,Marque Entrada
MsgOrderClockOut,Marque salida
MsgOrderPaidBreak,Descanso pagado
MsgOrderUnPaidBreak,Descanso sin paga
MsgOrderGoOnBreak,Descanso
MsgOrderDeliveryTrackingDate,Fecha & Hora
MsgOrderDeliveryTrackingEmployee,Empleado
MsgOrderDeliveryTrackingEmployeeClockOut,Salida: %@
MsgOrderDeliveryTrackingInvalidClockInTime,La hora de entrada debe ser posterior a la hora de salida.
MsgOrderItemShare,Compartir
MsgOrderItemSplitWithSeat,Compartir con Asiento %d
MsgOrderItemDiscount,Descuento
MsgOrderItemNoCourseWithDate,***** Sin plato %@ *****
MsgOrderItemCourseWithDate,***** Plato %d%@ *****
MsgOrderItemSeat,Asiento %d
MsgOrderItemS,S%d
MsgOrderItemLayaway,**Apartado**
MsgOrderItemVoided,Anulado
MsgOrderItemComps,Gratuitos
MsgOrderItemReturned,Devuelto
MsgOrderGratuityNonEditableHasPayments,Orden tiene pagos. Puede agregar o remover Propina
MsgOrderGratuityFullAmountAllowed,Solo pagos completos se permiten cuando auto propina esta activado
MsgOrderCategory,CATEGORIA
MsgOrderSubCategory,SUB CATEGORIA
MsgOrderProducts,PRODUCTOS
MsgOrderTopMenu,MENU PRINC.
MsgOrderNoTipsTitle,Sin propina
MsgOrderNoTips,No points to add for the order
MsgOrderNoTipsForBill,Algunas cuentas no tienen propinas. ¿Dejar pedido abierto?
BtnLeaveTip,LevelUp Tips
BtnCloseOrder,Cerrar Orden
MsgOrderRefundExtraAmount,Por favor
MsgOrderPayRemainingAmount,No se puede cerrar el pedido. Pague el saldo restante.
MsgOrderNoItemsForNextCourse,La orden no tiene productos para el siguiente plato
MsgOrderEnterPrice,Ingrese Precio
MsgOrderSelectSeat,Seleccione Asiento
MsgOrderSelectSeatPlease,Seleccione la cuenta del comensal
MsgOrderSeatWithNumber,Asiento %d
MsgOrderSetSeat,Ingrese Cant. Clientes
MsgOrderSetGuestCount,Ingresa Número de clientes
MsgOrderSeat,Silla
MsgOrderSeats,Sienta
MsgOrderGuest,Clientes
MsgOrderGuests,Clientes
MsgOrderSelectCourse,Seleccione Plato
MsgOrderCourseWithNumber,Plato %d
MsgOrderTableCantMoveIsUnsynced,No es posible realizar el movimiento porque el pedido de destino no está sincronizado con el POS principal.
MsgOrderSplitBillsClear,Separar Cuenta se cancelara. Seguro?
MsgOrderSplitBillsNumberExceeded,No se soporta mas de 15 cheques
MsgOrderSmallAmountForSplitting,Cantidad de cada factura dividida debe ser mayor que $%.2f
MsgOrderAddExtraItemTitle,Agregar Producto extra
MsgOrderAddExtraItemName,Nombre
MsgOrderAddExtraItemPrice,Precio
MsgOrderAddExtraItemPricePerUnit,Precio unitario
MsgOrderAddExtraItemTax,Impuesto
BtnOrderAddExtraItemWeight,Peso
BtnOrderAddExtraEnterName,Favor ingrese Nombre
BtnOrderAddExtraEnterPrice,Por favor
MsgOrderAddExtraItemSelectName,Seleccione un Nombre
MsgOrderAddExtraItemSelectNameTax,Impuesto: %.1f%%
MsgOrderAddExtraItemSaveToServer,Guardar en el Servidor
MsgOrderAddExtraItemTaxFreeItem,Sin Impuesto
MsgOrderAddExtraItemWeightedItem,Producto pesado
MsgOrderAddExtraItemEmbeddedItem,Elemento incrustado
MsgOrderAddExtraItemSaving,Guardando..
MsgOrderAddExtraItemSavingFailed,Almacenamiento en servidor fallo. El producto sera almacenado localmente
MsgOrderAddExtraItemTaxSavingWarning,"El impuesto personalizado no se guardará en el servidor, sino en el artículo del pedido."
MsgOrderAddExtraItemNoMatchFound,No se encontraron coincidencias
MsgOrderExtraItem,Artículo
BtnOrderAddItem,Agregar artículo
MsgOrderAddItemCopying,Copiando artículos
MsgOrderPrintReceiptsTitle,Imprimir Recibo
MsgOrderPrintReceiptsPrintWhat,Orden tiene recibos de tarjetas de credito. Que recibos quieres imprimir?
MsgOrderPrintReceiptsSplitPrintWhat,Cual recibo quisiera imprimir?
BtnOrderPrintReceiptsGuest,Clientes
BtnOrderPrintReceiptsSummary,Resumen
BtnOrderPrintReceiptsCredit,Credito
MsgOrderHappyHour,Happy Hour
